Date,Depth,Temperature
26/01/2021 22:00:00,30,14.604
26/01/2021 22:30:00,30,14.604
26/01/2021 23:00:00,30,14.604
26/01/2021 23:30:00,30,14.604
27/01/2021 00:00:00,30,14.604
27/01/2021 00:30:00,30,14.604
27/01/2021 01:00:00,30,14.604
27/01/2021 01:30:00,30,14.604
27/01/2021 02:00:00,30,14.604
27/01/2021 02:30:00,30,14.604
27/01/2021 03:00:00,30,14.604
27/01/2021 03:30:00,30,14.604
27/01/2021 04:00:00,30,14.604
27/01/2021 04:30:00,30,14.604
27/01/2021 05:00:00,30,14.604
27/01/2021 05:30:00,30,14.604
27/01/2021 06:00:00,30,14.604
27/01/2021 06:30:00,30,14.604
27/01/2021 07:00:00,30,14.604
27/01/2021 07:30:00,30,14.604
27/01/2021 08:00:00,30,14.604
27/01/2021 08:30:00,30,14.604
27/01/2021 09:00:00,30,14.604
27/01/2021 09:30:00,30,14.604
27/01/2021 10:00:00,30,14.604
27/01/2021 10:30:00,30,14.604
27/01/2021 11:00:00,30,14.604
27/01/2021 11:30:00,30,14.604
27/01/2021 12:00:00,30,14.604
27/01/2021 12:30:00,30,14.604
27/01/2021 13:00:00,30,14.604
27/01/2021 13:30:00,30,14.604
27/01/2021 14:00:00,30,14.604
27/01/2021 14:30:00,30,14.604
27/01/2021 15:00:00,30,14.604
27/01/2021 15:30:00,30,14.604
27/01/2021 16:00:00,30,14.604
27/01/2021 16:30:00,30,14.604
27/01/2021 17:00:00,30,14.604
27/01/2021 17:30:00,30,14.604
27/01/2021 18:00:00,30,14.604
27/01/2021 18:30:00,30,14.604
27/01/2021 19:00:00,30,14.7
27/01/2021 19:30:00,30,14.7
27/01/2021 20:00:00,30,14.7
27/01/2021 20:30:00,30,14.7
27/01/2021 21:00:00,30,14.7
27/01/2021 21:30:00,30,14.7
27/01/2021 22:00:00,30,14.7
27/01/2021 22:30:00,30,14.7
27/01/2021 23:00:00,30,14.604
27/01/2021 23:30:00,30,14.604
28/01/2021 00:00:00,30,14.604
28/01/2021 00:30:00,30,14.604
28/01/2021 01:00:00,30,14.604
28/01/2021 01:30:00,30,14.604
28/01/2021 02:00:00,30,14.604
28/01/2021 02:30:00,30,14.604
28/01/2021 03:00:00,30,14.604
28/01/2021 03:30:00,30,14.604
28/01/2021 04:00:00,30,14.604
28/01/2021 04:30:00,30,14.604
28/01/2021 05:00:00,30,14.604
28/01/2021 05:30:00,30,14.604
28/01/2021 06:00:00,30,14.604
28/01/2021 06:30:00,30,14.604
28/01/2021 07:00:00,30,14.604
28/01/2021 07:30:00,30,14.604
28/01/2021 08:00:00,30,14.604
28/01/2021 08:30:00,30,14.604
28/01/2021 09:00:00,30,14.604
28/01/2021 09:30:00,30,14.7
28/01/2021 10:00:00,30,14.7
28/01/2021 10:30:00,30,14.7
28/01/2021 11:00:00,30,14.7
28/01/2021 11:30:00,30,14.7
28/01/2021 12:00:00,30,14.604
28/01/2021 12:30:00,30,14.604
28/01/2021 13:00:00,30,14.604
28/01/2021 13:30:00,30,14.604
28/01/2021 14:00:00,30,14.604
28/01/2021 14:30:00,30,14.604
28/01/2021 15:00:00,30,14.604
28/01/2021 15:30:00,30,14.604
28/01/2021 16:00:00,30,14.604
28/01/2021 16:30:00,30,14.604
28/01/2021 17:00:00,30,14.604
28/01/2021 17:30:00,30,14.604
28/01/2021 18:00:00,30,14.604
28/01/2021 18:30:00,30,14.604
28/01/2021 19:00:00,30,14.604
28/01/2021 19:30:00,30,14.604
28/01/2021 20:00:00,30,14.604
28/01/2021 20:30:00,30,14.604
28/01/2021 21:00:00,30,14.604
28/01/2021 21:30:00,30,14.604
28/01/2021 22:00:00,30,14.604
28/01/2021 22:30:00,30,14.604
