Date	Time	35
23/05/2021	10:45:00	16.141
23/05/2021	11:00:00	16.237
23/05/2021	11:15:00	16.237
23/05/2021	11:30:00	16.237
23/05/2021	11:45:00	16.237
23/05/2021	12:00:00	16.141
23/05/2021	12:15:00	16.237
23/05/2021	12:30:00	16.237
23/05/2021	12:45:00	16.237
23/05/2021	13:00:00	16.237
23/05/2021	13:15:00	16.046
23/05/2021	13:30:00	15.378
23/05/2021	13:45:00	15.378
23/05/2021	14:00:00	15.855
23/05/2021	14:15:00	15.569
23/05/2021	14:30:00	15.282
23/05/2021	14:45:00	15.282
23/05/2021	15:00:00	15.187
23/05/2021	15:15:00	15.282
23/05/2021	15:30:00	15.282
23/05/2021	15:45:00	15.282
23/05/2021	16:00:00	15.282
23/05/2021	16:15:00	15.282
23/05/2021	16:30:00	15.282
23/05/2021	16:45:00	15.282
23/05/2021	17:00:00	15.378
23/05/2021	17:15:00	15.187
23/05/2021	17:30:00	15.282
23/05/2021	17:45:00	15.282
23/05/2021	18:00:00	15.473
23/05/2021	18:15:00	15.569
23/05/2021	18:30:00	15.664
23/05/2021	18:45:00	15.569
23/05/2021	19:00:00	15.569
23/05/2021	19:15:00	15.473
23/05/2021	19:30:00	15.473
23/05/2021	19:45:00	15.473
23/05/2021	20:00:00	15.473
23/05/2021	20:15:00	15.473
23/05/2021	20:30:00	15.473
23/05/2021	20:45:00	15.378
23/05/2021	21:00:00	15.473
23/05/2021	21:15:00	15.569
23/05/2021	21:30:00	15.76
23/05/2021	21:45:00	15.664
23/05/2021	22:00:00	15.76
23/05/2021	22:15:00	15.569
23/05/2021	22:30:00	15.664
23/05/2021	22:45:00	15.569
23/05/2021	23:00:00	15.569
23/05/2021	23:15:00	15.76
23/05/2021	23:30:00	15.76
23/05/2021	23:45:00	15.855
24/05/2021	00:00:00	16.046
24/05/2021	00:15:00	16.141
24/05/2021	00:30:00	15.76
24/05/2021	00:45:00	15.76
24/05/2021	01:00:00	15.855
24/05/2021	01:15:00	15.473
24/05/2021	01:30:00	15.664
24/05/2021	01:45:00	15.282
24/05/2021	02:00:00	15.378
24/05/2021	02:15:00	15.378
24/05/2021	02:30:00	15.473
24/05/2021	02:45:00	15.664
24/05/2021	03:00:00	15.855
