"#"	"Date"	"Heure, GMT+02:00"	"Temp., °C (LGR S/N: 10663778, SEN S/N: 10663778)"	"Intensité, Lux (LGR S/N: 10663778, SEN S/N: 10663778)"	"Pile défectueuse (LGR S/N: 10663778, SEN S/N: 10663778)"	"Coupleur attaché (LGR S/N: 10663778, SEN S/N: 10663778)"	"Hôte connecté (LGR S/N: 10663778, SEN S/N: 10663778)"	"Arrêté (LGR S/N: 10663778, SEN S/N: 10663778)"	"Fin de fichier (LGR S/N: 10663778, SEN S/N: 10663778)"
1	10/05/18	10:00:00	15.091	86.1					
2	10/05/18	11:00:00	15.282	107.6					
3	10/05/18	12:00:00	15.664	118.4					
4	10/05/18	13:00:00	15.569	150.7					
5	10/05/18	14:00:00	15.569	215.3					
6	10/05/18	15:00:00	15.473	312.2					
7	10/05/18	16:00:00	15.664	312.2					
8	10/05/18	17:00:00	15.473	236.8					
9	10/05/18	18:00:00	15.664	129.2					
10	10/05/18	19:00:00	15.855	21.5					
11	10/05/18	20:00:00	15.664	0.0					
12	10/05/18	21:00:00	16.903	0.0					
13	10/05/18	22:00:00	17.094	0.0					
14	10/05/18	23:00:00	16.618	0.0					
15	11/05/18	00:00:00	16.332	0.0					
16	11/05/18	01:00:00	16.046	0.0					
17	11/05/18	02:00:00	15.664	0.0					
18	11/05/18	03:00:00	15.473	0.0					
19	11/05/18	04:00:00	15.378	0.0					
20	11/05/18	05:00:00	15.282	0.0					
21	11/05/18	06:00:00	15.378	0.0					
22	11/05/18	07:00:00	15.473	10.8					
23	11/05/18	08:00:00	15.282	21.5					
24	11/05/18	09:00:00	15.282	43.1					
25	11/05/18	10:00:00	15.282	75.3					
26	11/05/18	11:00:00	15.282	107.6					
27	11/05/18	12:00:00	15.282	129.2					
28	11/05/18	13:00:00	15.187	193.8					
29	11/05/18	14:00:00	15.091	226.0					
30	11/05/18	15:00:00	15.187	279.9					
31	11/05/18	16:00:00	15.187	258.3					
32	11/05/18	17:00:00	15.187	161.5					
33	11/05/18	18:00:00	15.187	75.3					
34	11/05/18	19:00:00	15.187	21.5					
35	11/05/18	20:00:00	15.473	0.0					
36	11/05/18	21:00:00	15.282	0.0					
37	11/05/18	22:00:00	15.473	0.0					
38	11/05/18	23:00:00	15.378	0.0					
39	12/05/18	00:00:00	15.282	0.0					
40	12/05/18	01:00:00	15.378	0.0					
41	12/05/18	02:00:00	15.569	0.0					
42	12/05/18	03:00:00	16.046	0.0					
43	12/05/18	04:00:00	15.951	0.0					
44	12/05/18	05:00:00	15.951	0.0					
45	12/05/18	06:00:00	15.855	0.0					
46	12/05/18	07:00:00	15.760	21.5					
47	12/05/18	08:00:00	15.569	32.3					
48	12/05/18	09:00:00	15.664	32.3					
49	12/05/18	10:00:00	15.569	64.6					
50	12/05/18	11:00:00	15.473	86.1					
51	12/05/18	12:00:00	15.378	139.9					
52	12/05/18	13:00:00	15.855	183.0					
53	12/05/18	14:00:00	15.951	258.3					
54	12/05/18	15:00:00	15.951	344.4					
55	12/05/18	16:00:00	15.378	387.5					
56	12/05/18	17:00:00	15.473	247.6					
57	12/05/18	18:00:00	15.473	118.4					
58	12/05/18	19:00:00	15.664	32.3					
59	12/05/18	20:00:00	15.664	0.0					
60	12/05/18	21:00:00	15.664	0.0					
61	12/05/18	22:00:00	16.903	0.0					
62	12/05/18	23:00:00	17.284	0.0					
63	13/05/18	00:00:00	17.284	0.0					
64	13/05/18	01:00:00	16.523	0.0					
65	13/05/18	02:00:00	15.951	0.0					
66	13/05/18	03:00:00	15.951	0.0					
67	13/05/18	04:00:00	15.855	0.0					
68	13/05/18	05:00:00	15.569	0.0					
69	13/05/18	06:00:00	15.760	0.0					
70	13/05/18	07:00:00	15.378	10.8					
71	13/05/18	08:00:00	15.378	32.3					
72	13/05/18	09:00:00	15.378	43.1					
73	13/05/18	10:00:00	15.378	75.3					
74	13/05/18	11:00:00	15.473	64.6					
75	13/05/18	12:00:00	15.378	150.7					
76	13/05/18	13:00:00	15.378	172.2					
77	13/05/18	14:00:00	15.378	226.0					
78	13/05/18	15:00:00	15.378	366.0					
79	13/05/18	16:00:00	15.378	419.8					
80	13/05/18	17:00:00	15.282	279.9					
81	13/05/18	18:00:00	15.378	129.2					
82	13/05/18	19:00:00	15.282	32.3					
83	13/05/18	20:00:00	15.473	0.0					
84	13/05/18	21:00:00	15.569	0.0					
85	13/05/18	22:00:00	15.664	0.0					
86	13/05/18	23:00:00	16.046	0.0					
87	14/05/18	00:00:00	15.760	0.0					
88	14/05/18	01:00:00	15.951	0.0					
89	14/05/18	02:00:00	15.473	0.0					
90	14/05/18	03:00:00	15.473	0.0					
91	14/05/18	04:00:00	15.760	0.0					
92	14/05/18	05:00:00	15.760	0.0					
93	14/05/18	06:00:00	15.951	0.0					
94	14/05/18	07:00:00	15.855	10.8					
95	14/05/18	08:00:00	15.664	21.5					
96	14/05/18	09:00:00	15.473	53.8					
97	14/05/18	10:00:00	15.378	53.8					
98	14/05/18	11:00:00	15.282	86.1					
99	14/05/18	12:00:00	15.664	107.6					
100	14/05/18	13:00:00	15.569	183.0					
101	14/05/18	14:00:00	15.951	312.2					
102	14/05/18	15:00:00	16.141	419.8					
103	14/05/18	16:00:00	16.808	344.4					
104	14/05/18	17:00:00	16.713	129.2					
105	14/05/18	18:00:00	16.427	64.6					
106	14/05/18	19:00:00	16.237	53.8					
107	14/05/18	20:00:00	17.094	0.0					
108	14/05/18	21:00:00	16.618	0.0					
109	14/05/18	22:00:00	17.570	0.0					
110	14/05/18	23:00:00	17.760	0.0					
111	15/05/18	00:00:00	17.094	0.0					
112	15/05/18	01:00:00	20.329	0.0					
113	15/05/18	02:00:00	20.424	0.0					
114	15/05/18	03:00:00	20.424	0.0					
115	15/05/18	04:00:00	20.138	0.0					
116	15/05/18	05:00:00	15.569	0.0					
117	15/05/18	06:00:00	15.378	0.0					
118	15/05/18	07:00:00	15.282	10.8					
119	15/05/18	08:00:00	15.282	21.5					
120	15/05/18	09:00:00	15.378	32.3					
121	15/05/18	10:00:00	15.378	64.6					
122	15/05/18	11:00:00	15.378	96.9					
123	15/05/18	12:00:00	15.282	107.6					
124	15/05/18	13:00:00	15.282	129.2					
125	15/05/18	14:00:00	15.187	172.2					
126	15/05/18	15:00:00	15.282	0.0					
127	15/05/18	16:00:00	15.282	32.3					
128	15/05/18	17:00:00	15.282	0.0					
129	15/05/18	18:00:00	15.187	0.0					
130	15/05/18	19:00:00	15.091	0.0					
131	15/05/18	20:00:00	15.091	0.0					
132	15/05/18	21:00:00	17.284	0.0					
133	15/05/18	22:00:00	18.426	0.0					
134	15/05/18	23:00:00	18.521	0.0					
135	16/05/18	00:00:00	18.616	0.0					
136	16/05/18	01:00:00	17.665	0.0					
137	16/05/18	02:00:00	18.806	0.0					
138	16/05/18	03:00:00	18.806	0.0					
139	16/05/18	04:00:00	16.618	0.0					
140	16/05/18	05:00:00	16.237	0.0					
141	16/05/18	06:00:00	15.951	0.0					
142	16/05/18	07:00:00	16.237	10.8					
143	16/05/18	08:00:00	16.141	53.8					
144	16/05/18	09:00:00	15.855	43.1					
145	16/05/18	10:00:00	15.855	64.6					
146	16/05/18	11:00:00	15.951	75.3					
147	16/05/18	12:00:00	16.141	86.1					
148	16/05/18	13:00:00	16.427	129.2					
149	16/05/18	14:00:00	16.808	21.5					
150	16/05/18	15:00:00	16.618	21.5					
151	16/05/18	16:00:00	16.332	53.8					
152	16/05/18	17:00:00	18.331	96.9					
153	16/05/18	18:00:00	18.426	161.5					
154	16/05/18	19:00:00	18.521	53.8					
155	16/05/18	20:00:00	17.950	0.0					
156	16/05/18	21:00:00	18.901	0.0					
157	16/05/18	22:00:00	17.379	0.0					
158	16/05/18	23:00:00	17.094	0.0					
159	17/05/18	00:00:00	16.618	0.0					
160	17/05/18	01:00:00	16.427	0.0					
161	17/05/18	02:00:00	16.903	0.0					
162	17/05/18	03:00:00	15.855	0.0					
163	17/05/18	04:00:00	15.760	0.0					
164	17/05/18	05:00:00	15.378	0.0					
165	17/05/18	06:00:00	15.473	0.0					
166	17/05/18	07:00:00	15.569	10.8					
167	17/05/18	08:00:00	15.473	43.1					
168	17/05/18	09:00:00	16.141	10.8					
169	17/05/18	10:00:00	15.664	10.8					
170	17/05/18	11:00:00	15.855	21.5					
171	17/05/18	12:00:00	15.855	10.8					
172	17/05/18	13:00:00	16.808	129.2					
173	17/05/18	14:00:00	17.094	236.8					
174	17/05/18	15:00:00	17.379	269.1					
175	17/05/18	16:00:00	17.379	333.7					
176	17/05/18	17:00:00	16.523	312.2					
177	17/05/18	18:00:00	16.141	161.5					
178	17/05/18	19:00:00	15.855	53.8					
179	17/05/18	20:00:00	15.951	0.0					
180	17/05/18	21:00:00	15.760	0.0					
181	17/05/18	22:00:00	16.618	0.0					
182	17/05/18	23:00:00	18.521	0.0					
183	18/05/18	00:00:00	17.284	0.0					
184	18/05/18	01:00:00	17.950	0.0					
185	18/05/18	02:00:00	18.426	0.0					
186	18/05/18	03:00:00	17.570	0.0					
187	18/05/18	04:00:00	17.284	0.0					
188	18/05/18	05:00:00	18.045	0.0					
189	18/05/18	06:00:00	17.665	0.0					
190	18/05/18	07:00:00	17.475	32.3					
191	18/05/18	08:00:00	18.236	32.3					
192	18/05/18	09:00:00	17.475	53.8					
193	18/05/18	10:00:00	17.665	75.3					
194	18/05/18	11:00:00	17.284	86.1					
195	18/05/18	12:00:00	16.808	139.9					
196	18/05/18	13:00:00	17.189	43.1					
197	18/05/18	14:00:00	16.999	269.1					
198	18/05/18	15:00:00	16.808	409.0					
199	18/05/18	16:00:00	15.760	441.3					
200	18/05/18	17:00:00	15.855	333.7					
201	18/05/18	18:00:00	15.855	172.2					
202	18/05/18	19:00:00	15.951	43.1					
203	18/05/18	20:00:00	15.855	0.0					
204	18/05/18	21:00:00	15.951	0.0					
205	18/05/18	22:00:00	16.332	0.0					
206	18/05/18	23:00:00	16.332	0.0					
207	19/05/18	00:00:00	16.618	0.0					
208	19/05/18	01:00:00	15.569	0.0					
209	19/05/18	02:00:00	17.475	0.0					
210	19/05/18	03:00:00	16.332	0.0					
211	19/05/18	04:00:00	16.046	0.0					
212	19/05/18	05:00:00	17.094	0.0					
213	19/05/18	06:00:00	16.332	0.0					
214	19/05/18	07:00:00	16.237	21.5					
215	19/05/18	08:00:00	15.855	43.1					
216	19/05/18	09:00:00	15.473	53.8					
217	19/05/18	10:00:00	15.473	64.6					
218	19/05/18	11:00:00	15.473	86.1					
219	19/05/18	12:00:00	15.569	107.6					
