NaN	NaN	5	10	15	20	25	30	35	40
41752	0.541666667	NaN	NaN	NaN	16.392	16.463	16.058	16.01	15.963
41752	0.583333333	NaN	NaN	NaN	16.439	16.511	16.439	16.487	16.177
41752	0.625	NaN	NaN	NaN	16.439	16.439	15.986	15.915	15.891
41752	0.666666667	NaN	NaN	NaN	16.487	16.201	15.724	15.223	15.199
41752	0.708333333	NaN	NaN	NaN	16.249	15.461	15.318	15.247	15.008
41752	0.75	NaN	NaN	NaN	16.487	16.106	15.438	14.984	14.888
41752	0.791666667	NaN	NaN	NaN	16.654	16.677	16.582	16.511	15.27
41752	0.833333333	NaN	NaN	NaN	16.439	16.487	16.415	16.272	15.986
41752	0.875	NaN	NaN	NaN	16.534	16.606	16.534	16.677	16.677
41752	0.916666667	NaN	NaN	NaN	16.487	16.558	16.511	16.677	16.654
41752	0.958333333	NaN	NaN	NaN	16.534	16.582	16.534	16.677	16.654
41753	0	NaN	NaN	NaN	16.511	16.582	16.487	16.582	16.582
41753	0.041666667	NaN	NaN	NaN	16.368	16.439	16.344	16.439	16.439
41753	0.083333333	NaN	NaN	NaN	16.296	16.32	16.249	16.344	16.392
41753	0.125	NaN	NaN	NaN	16.392	16.439	16.272	16.225	16.082
41753	0.166666667	NaN	NaN	NaN	16.415	16.415	16.249	16.01	15.629
41753	0.208333333	NaN	NaN	NaN	16.439	16.511	16.415	16.487	16.46299999
41753	0.25	NaN	NaN	NaN	16.344	16.415	16.32	16.392	16.344
41753	0.291666667	NaN	NaN	NaN	16.392	16.463	16.392	16.487	16.439
41753	0.333333333	NaN	NaN	NaN	16.296	16.344	16.272	16.392	16.415
41753	0.375	NaN	NaN	NaN	16.296	16.368	16.296	16.392	16.368
41753	0.416666667	NaN	NaN	NaN	16.32	16.392	16.344	16.439	16.439
41753	0.458333333	NaN	NaN	NaN	16.32	16.368	16.082	16.153	16.153
41753	0.5	NaN	16.582	16.392	16.296	16.344	16.272	16.129	16.058
41753	0.541666667	NaN	16.534	16.344	16.01	16.082	16.01	16.082	16.058
41753	0.583333333	NaN	16.725	16.534	16.344	16.32	16.249	16.296	16.129
41753	0.625	NaN	16.892	16.654	16.511	16.582	16.487	16.534	16.487
41753	0.666666667	NaN	16.939	16.725	16.558	16.606	16.463	16.534	16.392
41753	0.708333333	NaN	17.011	16.63	16.534	16.034	15.19900001	15.24700001	15.27000001
41753	0.75	NaN	16.963	16.796	16.439	15.843	15.079	15.151	15.151
41753	0.791666667	NaN	16.963	16.844	16.487	16.487	15.652	15.294	15.199
41753	0.833333333	NaN	16.963	16.654	16.534	16.606	16.392	15.581	15.366
41753	0.875	NaN	16.987	16.606	16.534	16.606	16.534	16.606	16.463
41753	0.916666667	NaN	16.963	16.677	16.558	16.63	16.534	16.63	16.558
41753	0.958333333	NaN	16.963	16.725	16.392	16.511	16.439	16.63	16.63
41754	0	NaN	16.915	16.654	16.272	16.344	16.272	16.392	16.415
41754	0.041666667	NaN	16.868	16.63	16.201	16.296	16.225	16.344	16.32
41754	0.083333333	NaN	16.82	16.773	16.225	16.272	16.201	16.296	16.296
41754	0.125	NaN	16.796	16.701	16.201	16.272	16.201	16.249	16.177
41754	0.166666667	NaN	16.844	16.725	16.082	15.986	15.819	15.915	15.939
41754	0.208333333	NaN	16.82	16.392	15.652	15.414	15.223	15.294	15.342
41754	0.25	NaN	16.796	16.463	16.01	16.034	15.724	15.724	15.676
41754	0.291666667	NaN	16.701	16.415	16.082	16.129	16.034	16.129	16.129
41754	0.333333333	NaN	16.677	16.249	16.153	16.225	16.106	16.201	16.177
41754	0.375	NaN	16.534	16.225	16.082	16.153	16.082	16.177	16.177
41754	0.416666667	NaN	16.487	16.201	16.177	16.249	16.177	16.272	16.272
41754	0.458333333	NaN	16.582	16.272	16.153	16.225	16.153	16.249	16.249
41754	0.5	NaN	16.558	16.201	16.129	16.201	16.106	16.201	16.201
41754	0.541666667	NaN	16.558	16.225	16.249	16.296	16.153	16.272	16.249
41754	0.583333333	NaN	16.487	16.32	16.177	16.249	16.177	16.272	16.249
41754	0.625	NaN	16.606	16.463	16.153	16.225	16.153	16.249	16.225
41754	0.666666667	NaN	16.725	16.654	16.439	16.511	16.392	16.439	16.368
41754	0.708333333	NaN	16.796	16.63	16.487	16.558	16.463	16.558	16.534
41754	0.75	NaN	16.892	16.606	16.439	16.106	15.485	15.175	15.199
41754	0.791666667	NaN	16.82	16.63	16.392	15.223	14.768	14.864	14.888
41754	0.833333333	NaN	16.892	16.82	16.439	16.487	15.93899999	15.485	14.888
41754	0.875	NaN	16.868	16.582	16.439	16.511	16.439	16.344	15.103
41754	0.916666667	NaN	16.915	16.677	16.439	16.511	16.439	16.534	16.487
41754	0.958333333	NaN	16.915	16.725	15.796	15.867	15.796	15.891	15.915
41755	0	NaN	16.844	16.582	16.368	16.415	15.963	15.939	15.915
41755	0.041666667	NaN	16.844	16.606	16.439	16.511	16.415	16.463	16.439
41755	0.083333333	NaN	16.796	16.487	16.439	16.511	16.439	16.558	16.487
41755	0.125	NaN	16.796	16.487	16.439	16.487	16.415	16.511	16.487
41755	0.166666667	NaN	16.773	16.511	16.344	16.392	16.225	16.082	16.034
41755	0.208333333	NaN	16.677	16.582	16.344	16.392	16.201	16.272	16.296
41755	0.25	NaN	16.725	16.582	15.103	14.984	14.888	15.008	15.079
41755	0.291666667	NaN	16.725	16.534	14.912	14.721	14.601	14.745	14.768
41755	0.333333333	NaN	16.749	15.629	15.98599999	15.77199999	15.414	15.247	14.912
