WKT,ECO_CODE,ECOREGION,PROV_CODE,PROVINCE,RLM_CODE,REALM,ALT_CODE,ECO_CODE_X,Lat_Zone,Lat1,Lon1,Lat2,Lon2
"MULTIPOLYGON (((20.4694976350383 43.0532919887788,20.9600811555933 40.5246127948935,20.9051957443851 40.4942752706025,19.6813570516298 40.5205126283806,19.5591810252081 40.5354606384442,19.3890383111692 40.5732850204277,19.2947017964119 40.5908935829841,18.4657869198655 40.1929639105961,18.2899674018912 40.2822221849797,18.1141471275872 40.3614897299611,17.4413343439639 40.6437115229941,16.8118016155631 40.7718378353816,16.2818894629315 40.6929222086001,15.9867283522448 40.6483085694248,12.6753115173421 42.8542925660085,11.5285606324039 44.0038633309276,11.503065477902 45.5193664453139,12.2097338310721 47.0248775082948,14.3604638670855 47.1170516742791,16.8099609443874 45.5539753697302,20.4694976350383 43.0532919887788)))",20030.00000000000,Adriatic Sea,4.00000000000,Mediterranean Sea,2.00000000000,Temperate Northern Atlantic,0.00000000000,30.00000000000,Temperate,40,11.6,47,21.03
"MULTIPOLYGON (((32.1597342887079 39.149862515555,39.9991906315997 38.4347770468844,36.3143079066299 31.4444767248746,34.9815849907789 31.1369251518691,33.9051549578536 30.3680466919492,31.5472608889137 30.8806324578009,30.2145381619202 30.163012499103,29.6300363841967 27.5053457193173,29.5682537962539 27.499278441448,29.4485676561849 27.471568206426,29.0761843582855 27.4568813936539,28.9430306450978 27.4618742074281,28.8688475781877 27.4703631418864,28.5813821693524 27.4917059656003,28.3978493722776 27.5415677576576,28.1874723387316 27.5692248841165,28.0451290679635 27.6106497144348,27.7695220852323 27.7049580687215,27.6704966699902 27.7386826619073,27.6152865567647 27.7467629786098,27.5226797692202 27.770077451659,27.4464515333988 27.7788440284115,27.2422950563702 27.8021087941335,26.9595780840374 27.8885872560307,26.861993792777 27.9014042910695,26.7477557671452 27.9320667062355,26.5920804357998 27.970171184763,26.1531903061171 28.1166312541057,26.0607080701771 28.1648884344294,25.942940280224 28.1829230040325,25.8183478888241 28.1677529189843,25.708471604712 28.1548538576824,25.3537796519619 28.1368328966204,25.1895360066 28.1403912000269,24.9706205192267 28.1532301587382,24.8170315592314 28.1856230574468,24.7281883291589 28.1977889878331,24.6137953233617 28.2134795788881,24.3854937180887 28.2809826301528,24.2688631424254 28.2998397268784,24.1227317438082 28.3516998142834,24.0228560168894 28.3804607002526,23.9105737621631 28.4195423092521,23.3891586729617 28.7110526968046,22.7980018267857 28.888952537289,22.7348607067977 28.9811699849445,22.7402305748224 34.2649250475554,22.8142667887405 34.2549715509846,23.1512556790747 34.2096674950928,25.5928491537551 34.0874270205565,27.3006329306746 34.0874270205565,28.9474243287374 34.0874270205565,30.1062776393362 35.2462803311553,30.1062778281938 36.7100949685649,30.411239155904 38.1739096086725,32.0564624214329 39.2573494620138,32.1597342887079 39.149862515555)))",25032.00000000000,Levantine Sea,4.00000000000,Mediterranean Sea,2.00000000000,Temperate Northern Atlantic,0.00000000000,32.00000000000,Temperate,28,22.7,39.14,40.15
"MULTIPOLYGON (((21.8413032939339 34.3791933128905,22.7402305748224 34.2649250475554,22.7348607067977 28.9811699849445,22.7980018267857 28.888952537289,22.6597035338355 28.7591416679361,22.5866697761971 28.6447974233794,22.4777454847076 28.5221562694027,22.4328175387783 28.4716488540606,22.3755885276367 28.4084816519351,22.3276723027773 28.3498152957629,22.2764455539182 28.2905010473164,22.1986788577938 28.2147245220644,22.1319202778955 28.1421679887616,22.0696854128103 28.0814704499343,22.0200706447294 28.0425075325569,21.7053176048842 27.7750562791769,21.6402974468441 27.7376516674418,21.5854778075525 27.6965118475629,21.5382446285662 27.660643049426,21.3546375555857 27.5587716720655,21.2748880603315 27.4994256721554,21.0315186193277 27.3812475629292,20.8805457970081 27.3013453555997,20.8037108713511 27.2718350852679,20.7318128144435 27.2330666489773,20.6347172777264 27.1892717579735,20.1965935421832 27.0389266048737,20.0942443721156 27.0234106495662,19.9659075131525 26.9844817526419,19.8681294971352 26.9650336529549,19.5029546592037 26.9290705438161,19.4021904425894 26.9061185730877,19.3023721715564 26.9043795837572,19.180848385631 26.90071997712,19.0516203920663 26.9006487238356,18.7434585373331 26.9110200993806,18.6421715484205 26.9335615619782,18.3856486521945 26.9583955951787,18.1417265751058 27.0283286190631,18.0114520881597 27.0480800636679,17.6352980508026 27.1848089011813,17.5079400229295 27.2432199182458,17.4472266083704 27.2762705370198,17.3816093994283 27.3012606844306,17.2555482892494 27.3616287962027,17.1319774431386 27.4360845897128,16.7596844884323 27.6389101285941,16.628499587219 27.747394617437,16.5142672309132 27.8011172996901,16.4018870750916 27.8332711136372,16.3384930729435 27.8533510410091,16.2556761080585 27.8633366667588,16.1735297145507 27.8674171767901,16.0750612827162 27.872680449074,15.97970246634 27.8818416564268,15.7963333431766 27.8985269552029,15.6863971462309 27.9126286231972,15.5885989071591 27.9328814847995,15.4605623695931 27.9559992086718,15.2940393835547 28.0032815284123,15.1893435900331 28.0175515935574,15.094346519648 28.0439386407892,14.8061145269163 28.1427697647015,14.7149900666917 28.1744546694446,14.6364346741408 28.2104691874279,14.5780053225982 28.2314353346065,14.5222295340176 28.2572567037853,14.4386427719586 28.295597054696,14.2779324810115 28.375096501554,14.1136100217649 28.4558972152276,14.0206310938654 28.5209591422793,13.8887340420201 28.592983640267,13.715146424586 28.7310165765612,13.6423704630032 28.7734950831461,13.4354655481357 28.9515567089654,13.3813486111989 28.9921113831672,13.3285815116619 29.0437153769332,13.2843670410659 29.0809156797905,13.1359101872365 29.2545832433557,13.0599265184437 29.3425245658481,12.9444418472189 29.4380595297322,12.7953720658564 29.4372216925514,12.7174985851335 29.429097715563,12.6302138495608 29.4336293695911,12.5337954996338 29.4353076897581,12.4656394533416 29.43760876435,12.2466967506852 29.4549461120669,12.0361121940843 29.4766442570152,11.930871135321 29.488191212827,11.8342244736111 29.5123926620128,11.681312133833 29.5290261742291,11.4661515092864 29.5923995756074,11.3487350709602 29.6109637226786,11.0088225395674 29.7327815932028,10.8646132718159 29.798267825784,10.7731329246834 29.8431772492767,10.6998750128278 29.8803892703,10.5322270990371 29.9195126483111,10.3360715591527 29.9497401747261,9.90108049858389 30.0957177263238,9.48494804829977 30.3032126989652,9.28431944521748 30.4579985963269,8.91051448916164 30.6587275583518,8.65925297484466 30.7847567273101,8.53886659026801 30.8755215198769,8.38387600631302 30.9637189369076,8.3285214970432 31.0043966509535,8.23709520456049 31.0785462648828,8.11126543058452 31.1826075858135,8.05626548532001 31.2204992505747,8.01415458470854 31.2618137062011,7.8106756721852 31.4389157778982,7.62088943218509 31.6583236099083,7.46373309732189 31.8411478464446,7.36808945756513 31.997996677925,7.275128107814 32.1160782080593,7.22983652641813 32.1758107131952,7.10453538472285 32.4206976351176,7.05700490875944 32.4934752973184,7.03098546840027 32.5654846759041,6.97680956291799 32.6717204405898,6.82493199655659 33.0968697048803,6.81009927777853 33.1672601086604,6.77823255440279 33.3701935661852,6.71233638206246 33.5346974645504,9.62826731459546 35.8716333246273,10.325770302847 36.4217987165763,10.9582007799259 36.8797653730632,11.0758428842295 36.9655872489399,11.4490592942717 37.2405848942315,11.6658555247863 36.9988510591956,11.7249321993323 36.6812049966096,12.2331104850451 36.313095178068,12.8766243003426 36.0971804441209,13.1701758871989 35.9608961351912,13.7163858872939 35.7453370992944,13.8864076407212 35.6331310117482,14.097391931575 35.6069873983991,15.2068877035756 35.3119268346132,16.8335982290791 34.9789732840627,18.6453815237207 34.6095869588395,19.6805460529163 34.4985439779636,21.1957189839176 34.4246364732157,21.5495143206984 34.3964499581463,21.7436103277003 34.3807569101435,21.8413032939339 34.3791933128905)))",25033.00000000000,Tunisian Plateau-Gulf of Sidra,4.00000000000,Mediterranean Sea,2.00000000000,Temperate Northern Atlantic,0.00000000000,33.00000000000,Temperate,26.70,6.83,37,22.84
"MULTIPOLYGON (((18.2899674018912 40.2822221849797,18.4657869198655 40.1929639105961,19.2947017964119 40.5908935829841,19.3890383111692 40.5732850204277,19.5591810252081 40.5354606384442,19.6813570516298 40.5205126283806,20.9051957443851 40.4942752706025,21.684183057857 39.5783413919553,21.9568722577132 38.7999017997735,22.9290455434336 38.4786361980446,23.4499887008096 38.2740762060133,23.4373859912975 38.1412250823129,23.1611466161072 38.0081127604216,22.9887003696293 37.9489043522854,22.8821455713531 37.8546009127937,22.6533251615905 37.8427385161828,22.5376229515614 37.8374841274019,22.5004604499071 37.6886647712516,22.5773046367823 37.4273949511827,22.6695175482575 37.104650046554,22.8232055433934 36.9509620514181,22.8078366308351 36.6589547830484,22.6848862719583 36.3208411538196,22.5926733595837 35.8905146140148,22.5320652187621 35.6708179899161,22.6894844524341 34.595015437353,22.7402305748224 34.2649250475554,21.8413032939339 34.3791933128905,21.7436103277003 34.3807569101435,21.5495143206984 34.3964499581463,21.1957189839176 34.4246364732157,19.6805460529163 34.4985439779636,18.6453815237207 34.6095869588395,16.8335982290791 34.9789732840627,15.2068877035756 35.3119268346132,14.097391931575 35.6069873983991,13.8864076407212 35.6331310117482,13.7163858872939 35.7453370992944,13.1701758871989 35.9608961351912,12.8766243003426 36.0971804441209,12.2331104850451 36.313095178068,11.7249321993323 36.6812049966096,11.6658555247863 36.9988510591956,11.4490592942717 37.2405848942315,11.485287133239 37.5077372102709,11.5601215674038 37.7571853226548,11.6599008123574 37.840334694049,11.9509236099886 37.8569645676084,12.4840214040649 37.9923656586682,13.0702871192114 37.8374737321385,14.0254659030543 37.5788652217917,15.1841973087533 37.9984316136349,15.6664793819094 38.010489623579,15.9799494894171 38.1913446704257,16.2692931799746 38.5530566490983,16.5586185378526 39.1438536387589,16.281282773096 39.457336599377,16.0883241683423 40.0481326438501,15.9194779942825 40.6389286883233,15.9867283522448 40.6483085694248,16.2818894629315 40.6929222086001,16.8118016155631 40.7718378353816,17.4413343439639 40.6437115229941,18.1141471275872 40.3614897299611,18.2899674018912 40.2822221849797)))",25034.00000000000,Ionian Sea,4.00000000000,Mediterranean Sea,2.00000000000,Temperate Northern Atlantic,0.00000000000,34.00000000000,Temperate,34.07,11.60,40.44,23.50
"MULTIPOLYGON (((26.8098348957352 41.8777817314303,29.1919638686403 41.0338084674303,30.1998700613417 40.9243341865606,30.8619863896874 40.5005799326154,32.0564624214329 39.2573494620138,30.411239155904 38.1739096086725,30.1062778281938 36.7100949685649,30.1062776393362 35.2462803311553,28.9474243287374 34.0874270205565,27.3006329306746 34.0874270205565,25.5928491537551 34.0874270205565,23.1512556790747 34.2096674950928,22.8142667887405 34.2549715509846,22.7402305748224 34.2649250475554,22.6894844524341 34.595015437353,22.5320652187621 35.6708179899161,22.5926733595837 35.8905146140148,22.6848862719583 36.3208411538196,22.8078366308351 36.6589547830484,22.8232055433934 36.9509620514181,22.6695175482575 37.104650046554,22.5773046367823 37.4273949511827,22.5004604499071 37.6886647712516,22.5376229515614 37.8374841274019,22.6533251615905 37.8427385161828,22.8821455713531 37.8546009127937,22.9887003696293 37.9489043522854,23.1611466161072 38.0081127604216,23.4373859912975 38.1412250823129,23.4499887008096 38.2740762060133,22.9290455434336 38.4786361980446,21.9568722577132 38.7999017997735,21.684183057857 39.5783413919553,20.9051957443851 40.4942752706025,20.9600811555933 40.5246127948935,23.4581192914121 42.5043615233574,26.8098348957352 41.8777817314303)))",25031.00000000000,Aegean Sea,4.00000000000,Mediterranean Sea,2.00000000000,Temperate Northern Atlantic,0.00000000000,31.00000000000,Temperate,33.81,21.03,42.21,32.04
"MULTIPOLYGON (((0.321792593993393 32.4457227463703,0.230321319221446 32.3891229171082,-0.138358523796512 32.2047012526227,-0.225743240596501 32.1643977590637,-0.468519978020936 32.0471603029086,-0.555931154673658 32.0061951196767,-0.607177370257375 31.9921843614483,-0.684832556745391 31.9684142091214,-1.08986069032596 31.8359098999684,-1.16180732141504 31.8251495631492,-1.25871990455511 31.7979832695667,-1.35589160935149 31.7719935014386,-1.5562822617174 31.7515610901932,-1.61884088363246 31.7377582309363,-1.69564670363127 31.7326308498083,-1.7862281667044 31.7225303122871,-1.99963524819219 31.7089644585591,-2.10188746055309 31.7063483208834,-2.26028911720726 31.7184110567648,-2.44816078694191 31.7322921624341,-2.50690047473171 31.7367769428986,-2.58549688086373 31.7285437252634,-2.65211352166551 31.7348122875907,-2.74594427300201 31.7340717858318,-2.85802051733305 31.741670530876,-3.15585484386611 31.7622284389133,-3.26124294537846 31.7875578411705,-3.4386281389389 31.806287362771,-3.53843525927806 31.824758521743,-3.71392478272486 31.8387004854334,-3.90196636406847 31.8341212042101,-3.9920033173305 31.8195283247247,-4.09987620244232 31.7987112977291,-4.37276158400329 31.7659063791294,-5.55696811000735 34.1487686709083,-5.62128499911984 35.513022457424,-5.41001040441705 35.9199105400472,-5.46199088496144 36.1036965969973,-5.61237402722236 36.3927257919432,-5.75855532112507 36.5121295655795,-5.47279582635468 36.9674621294263,-4.55683624328515 38.4365729264271,-3.47806960355456 38.6985547082703,-2.55199058281204 38.5442082358398,-2.10608023655067 39.2808463202686,-1.50055712295352 38.4541431212078,-0.952349204326708 37.8197838996489,-0.870320180437659 37.6705338123135,-0.754161536599725 37.6187521592792,-0.615610928961701 37.4760029165606,-0.444203805021857 37.3623341581761,-0.240476547418098 37.1580601235704,-0.060464820019206 36.7620348159414,-0.024462587674122 36.2940048547646,0.047541876116725 35.6459635448035,0.083544297319406 34.9619198154384,0.26355583496138 34.0258598921856,0.335560489408465 33.0177953171836,0.321792593993393 32.4457227463703)))",25036.00000000000,Alboran Sea,4.00000000000,Mediterranean Sea,2.00000000000,Temperate Northern Atlantic,0.00000000000,36.00000000000,Temperate,31.53,-9.5,38.40,0.10
"MULTIPOLYGON (((12.4840214040649 37.9923656586682,11.9509236099886 37.8569645676084,11.6599008123574 37.840334694049,11.5601215674038 37.7571853226548,11.485287133239 37.5077372102709,11.4490592942717 37.2405848942315,11.0758428842295 36.9655872489399,10.9582007799259 36.8797653730632,10.325770302847 36.4217987165763,9.62826731459546 35.8716333246273,6.71233638206246 33.5346974645504,6.587408326809 33.5244067932651,6.52955240277737 33.4967198057175,6.42337711659894 33.4682932606992,6.33366032917394 33.4444512894143,6.1689175340054 33.397945003646,6.0492960318079 33.3659204654419,5.95885272798085 33.3548407182162,5.85289649326631 33.3244364777205,5.74368303197286 33.310871758937,5.60020273667192 33.2963336904313,5.50707166416947 33.2893558094372,5.36331391723064 33.2793603558964,5.26682412516163 33.2750849861637,5.04592224766566 33.2843520347261,4.98088923831381 33.2880365885564,4.82009805514883 33.3055669055997,4.65031557534064 33.3248186356236,4.47223939759152 33.3753124424247,4.3267630732343 33.394982995711,4.15883392705604 33.4517585956651,4.09513979326778 33.4649969118133,4.00076793515473 33.4516529442124,3.65388754121511 33.4169754132164,3.50469566609524 33.3895670113519,3.10395821140628 33.2750282866077,2.73897104939181 33.2414110445931,2.64179178579377 33.2267431337715,2.55770852063284 33.2257799895557,2.47589023127767 33.220195984862,2.3565250133754 33.2229988541666,2.28649163144775 33.2160434652164,2.07183979474189 33.2019673127867,1.90860994521108 33.1058145065746,1.74608752217358 33.0146386393042,1.59518103924279 32.9051800453086,1.31155686592047 32.7603291229804,1.12848844186937 32.6776833917077,0.687923960727801 32.5270683466711,0.400158797967663 32.4891863208434,0.321792593993393 32.4457227463703,0.335560489408465 33.0177953171836,0.26355583496138 34.0258598921856,0.083544297319406 34.9619198154384,0.047541876116725 35.6459635448035,-0.024462587674122 36.2940048547646,-0.060464820019206 36.7620348159414,-0.240476547418098 37.1580601235704,-0.444203805021857 37.3623341581761,-0.615610928961701 37.4760029165606,-0.754161536599725 37.6187521592792,-0.870320180437659 37.6705338123135,-0.952349204326708 37.8197838996489,-1.50055712295352 38.4541431212078,-2.10608023655067 39.2808463202686,-1.67736038591323 39.9847754968181,-0.494037245952143 41.7340358906158,0.964488038834702 42.5083443202516,1.4560836537035 43.245737648126,2.34710033974159 44.1674789302537,3.82188661777514 44.9663216382658,6.27986374693171 44.8434226873342,9.16798710992009 45.4271922793296,10.5505992219693 44.6590745451225,11.0114698630332 44.198203715201,11.5285606324039 44.0038633309276,12.6753115173421 42.8542925660085,15.9867283522448 40.6483085694248,15.9194779942825 40.6389286883233,16.0883241683423 40.0481326438501,16.281282773096 39.457336599377,16.5586185378526 39.1438536387589,16.2692931799746 38.5530566490983,15.9799494894171 38.1913446704257,15.6664793819094 38.010489623579,15.1841973087533 37.9984316136349,14.0254659030543 37.5788652217917,13.0702871192114 37.8374737321385,12.4840214040649 37.9923656586682)))",25035.00000000000,Western Mediterranean,4.00000000000,Mediterranean Sea,2.00000000000,Temperate Northern Atlantic,0.00000000000,35.00000000000,Temperate,31.53,-0.91,45.20,16.50
