Date	Time	5
03/12/2019	05:51:56	17.9
03/12/2019	06:51:56	17.93
03/12/2019	07:51:56	17.93
03/12/2019	08:51:56	17.93
03/12/2019	09:51:56	17.94
03/12/2019	10:51:56	17.94
03/12/2019	11:51:56	17.94
03/12/2019	12:51:56	17.94
03/12/2019	13:51:56	17.99
03/12/2019	14:51:56	18.01
03/12/2019	15:51:56	18.0
03/12/2019	16:51:56	18.01
03/12/2019	17:51:56	17.99
03/12/2019	18:51:56	17.97
03/12/2019	19:51:56	17.95
03/12/2019	20:51:56	17.94
03/12/2019	21:51:56	17.92
03/12/2019	22:51:56	17.9
03/12/2019	23:51:56	17.89
04/12/2019	00:51:56	17.85
04/12/2019	01:51:56	17.83
04/12/2019	02:51:56	17.83
04/12/2019	03:51:56	17.81
04/12/2019	04:51:56	17.78
04/12/2019	05:51:56	17.71
04/12/2019	06:51:56	17.69
04/12/2019	07:51:56	17.65
04/12/2019	08:51:56	17.61
04/12/2019	09:51:56	17.63
04/12/2019	10:51:56	17.54
04/12/2019	11:51:56	17.67
04/12/2019	12:51:56	17.73
04/12/2019	13:51:56	17.76
04/12/2019	14:51:56	17.71
04/12/2019	15:51:56	17.75
04/12/2019	16:51:56	17.75
04/12/2019	17:51:56	17.75
04/12/2019	18:51:56	17.73
04/12/2019	19:51:56	17.68
04/12/2019	20:51:56	17.64
04/12/2019	21:51:56	17.63
04/12/2019	22:51:56	17.67
04/12/2019	23:51:56	17.66
05/12/2019	00:51:56	17.73
05/12/2019	01:51:56	17.73
05/12/2019	02:51:56	17.73
05/12/2019	03:51:56	17.74
05/12/2019	04:51:56	17.71
05/12/2019	05:51:56	17.7
05/12/2019	06:51:56	17.67
05/12/2019	07:51:56	17.68
05/12/2019	08:51:56	17.67
05/12/2019	09:51:56	17.7
05/12/2019	10:51:56	17.64
05/12/2019	11:51:56	17.68
05/12/2019	12:51:56	17.65
05/12/2019	13:51:56	17.63
05/12/2019	14:51:56	17.74
05/12/2019	15:51:56	17.75
05/12/2019	16:51:56	17.77
05/12/2019	17:51:56	17.75
05/12/2019	18:51:56	17.75
05/12/2019	19:51:56	17.75
05/12/2019	20:51:56	17.71
05/12/2019	21:51:56	17.73
05/12/2019	22:51:56	17.74
05/12/2019	23:51:56	17.73
06/12/2019	00:51:56	17.73
06/12/2019	01:51:56	17.68
06/12/2019	02:51:56	17.69
06/12/2019	03:51:56	17.67
06/12/2019	04:51:56	17.65
06/12/2019	05:51:56	17.66
06/12/2019	06:51:56	17.62
06/12/2019	07:51:56	17.63
06/12/2019	08:51:56	17.6
06/12/2019	09:51:56	17.61
06/12/2019	10:51:56	17.52
06/12/2019	11:51:56	17.47
06/12/2019	12:51:56	17.51
06/12/2019	13:51:56	17.57
06/12/2019	14:51:56	17.6
06/12/2019	15:51:56	17.56
06/12/2019	16:51:56	17.56
06/12/2019	17:51:56	17.57
06/12/2019	18:51:56	17.57
06/12/2019	19:51:56	17.55
06/12/2019	20:51:56	17.63
06/12/2019	21:51:56	17.67
06/12/2019	22:51:56	17.64
06/12/2019	23:51:56	17.65
07/12/2019	00:51:56	17.63
07/12/2019	01:51:56	17.62
07/12/2019	02:51:56	17.62
07/12/2019	03:51:56	17.63
07/12/2019	04:51:56	17.59
07/12/2019	05:51:56	17.56
07/12/2019	06:51:56	17.61
07/12/2019	07:51:56	17.63
07/12/2019	08:51:56	17.59
07/12/2019	09:51:56	17.61
07/12/2019	10:51:56	17.63
07/12/2019	11:51:56	17.6
07/12/2019	12:51:56	17.65
07/12/2019	13:51:56	17.69
07/12/2019	14:51:56	17.67
07/12/2019	15:51:56	17.67
07/12/2019	16:51:56	17.67
07/12/2019	17:51:56	17.7
07/12/2019	18:51:56	17.73
07/12/2019	19:51:56	17.73
07/12/2019	20:51:56	17.7
07/12/2019	21:51:56	17.7
07/12/2019	22:51:56	17.69
07/12/2019	23:51:56	17.67
08/12/2019	00:51:56	17.66
08/12/2019	01:51:56	17.65
08/12/2019	02:51:56	17.64
08/12/2019	03:51:56	17.67
08/12/2019	04:51:56	17.62
08/12/2019	05:51:56	17.64
08/12/2019	06:51:56	17.61
08/12/2019	07:51:56	17.59
08/12/2019	08:51:56	17.56
08/12/2019	09:51:56	17.59
08/12/2019	10:51:56	17.6
08/12/2019	11:51:56	17.6
08/12/2019	12:51:56	17.59
08/12/2019	13:51:56	17.62
08/12/2019	14:51:56	17.68
08/12/2019	15:51:56	17.68
08/12/2019	16:51:56	17.69
08/12/2019	17:51:56	17.67
08/12/2019	18:51:56	17.69
08/12/2019	19:51:56	17.66
08/12/2019	20:51:56	17.66
08/12/2019	21:51:56	17.67
08/12/2019	22:51:56	17.68
08/12/2019	23:51:56	17.67
09/12/2019	00:51:56	17.69
09/12/2019	01:51:56	17.69
09/12/2019	02:51:56	17.68
09/12/2019	03:51:56	17.65
09/12/2019	04:51:56	17.66
09/12/2019	05:51:56	17.66
09/12/2019	06:51:56	17.66
09/12/2019	07:51:56	17.67
09/12/2019	08:51:56	17.68
09/12/2019	09:51:56	17.68
09/12/2019	10:51:56	17.67
09/12/2019	11:51:56	17.67
09/12/2019	12:51:56	17.66
09/12/2019	13:51:56	17.69
09/12/2019	14:51:56	17.7
09/12/2019	15:51:56	17.71
09/12/2019	16:51:56	17.68
09/12/2019	17:51:56	17.68
09/12/2019	18:51:56	17.67
09/12/2019	19:51:56	17.63
09/12/2019	20:51:56	17.62
09/12/2019	21:51:56	17.61
09/12/2019	22:51:56	17.61
09/12/2019	23:51:56	17.59
10/12/2019	00:51:56	17.56
10/12/2019	01:51:56	17.51
10/12/2019	02:51:56	17.48
10/12/2019	03:51:56	17.48
10/12/2019	04:51:56	17.45
10/12/2019	05:51:56	17.42
10/12/2019	06:51:56	17.38
10/12/2019	07:51:56	17.38
10/12/2019	08:51:56	17.39
10/12/2019	09:51:56	17.33
10/12/2019	10:51:56	17.32
10/12/2019	11:51:56	17.36
10/12/2019	12:51:56	17.36
