"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235950, SEN S/N: 20235950, LBL: 10m)"	"Acoplador separado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Acoplador adjunto (LGR S/N: 20235950, SEN S/N: 20235950)"	"Host conectado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Parado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Final de archivo (LGR S/N: 20235950, SEN S/N: 20235950)"
156	30/09/21	20:22:17	24.098					
157	30/09/21	21:22:17	24.074					
158	30/09/21	22:22:17	24.074					
159	30/09/21	23:22:17	24.050					
160	01/10/21	00:22:17	24.002					
161	01/10/21	01:22:17	24.002					
162	01/10/21	02:22:17	23.978					
163	01/10/21	03:22:17	23.978					
164	01/10/21	04:22:17	23.978					
165	01/10/21	05:22:17	23.978					
166	01/10/21	06:22:17	23.930					
167	01/10/21	07:22:17	23.905					
168	01/10/21	08:22:17	23.905					
169	01/10/21	09:22:17	23.881					
170	01/10/21	10:22:17	24.002					
171	01/10/21	11:22:17	24.026					
172	01/10/21	12:22:17	24.098					
173	01/10/21	13:22:17	24.122					
174	01/10/21	14:22:17	24.098					
175	01/10/21	15:22:17	24.122					
176	01/10/21	16:22:17	24.050					
177	01/10/21	17:22:17	23.978					
178	01/10/21	18:22:17	23.954					
179	01/10/21	19:22:17	23.905					
180	01/10/21	20:22:17	23.954					
181	01/10/21	21:22:17	23.978					
182	01/10/21	22:22:17	24.074					
183	01/10/21	23:22:17	24.026					
184	02/10/21	00:22:17	24.026					
185	02/10/21	01:22:17	23.978					
186	02/10/21	02:22:17	23.954					
187	02/10/21	03:22:17	23.905					
188	02/10/21	04:22:17	23.930					
189	02/10/21	05:22:17	23.930					
190	02/10/21	06:22:17	23.905					
191	02/10/21	07:22:17	23.881					
192	02/10/21	08:22:17	23.905					
193	02/10/21	09:22:17	23.905					
194	02/10/21	10:22:17	24.002					
195	02/10/21	11:22:17	24.098					
196	02/10/21	12:22:17	24.122					
197	02/10/21	13:22:17	24.219					
198	02/10/21	14:22:17	24.195					
199	02/10/21	15:22:17	24.122					
200	02/10/21	16:22:17	24.002					
201	02/10/21	17:22:17	23.978					
202	02/10/21	18:22:17	23.930					
203	02/10/21	19:22:17	24.026					
204	02/10/21	20:22:17	23.930					
205	02/10/21	21:22:17	23.905					
206	02/10/21	22:22:17	23.905					
207	02/10/21	23:22:17	23.930					
208	03/10/21	00:22:17	23.930					
209	03/10/21	01:22:17	23.905					
210	03/10/21	02:22:17	23.881					
211	03/10/21	03:22:17	23.881					
212	03/10/21	04:22:17	23.857					
213	03/10/21	05:22:17	23.905					
214	03/10/21	06:22:17	23.881					
215	03/10/21	07:22:17	23.857					
216	03/10/21	08:22:17	23.881					
217	03/10/21	09:22:17	23.905					
218	03/10/21	10:22:17	24.050					
219	03/10/21	11:22:17	24.074					
220	03/10/21	12:22:17	24.122					
221	03/10/21	13:22:17	24.171					
222	03/10/21	14:22:17	24.146					
223	03/10/21	15:22:17	24.146					
224	03/10/21	16:22:17	24.146					
225	03/10/21	17:22:17	24.219					
226	03/10/21	18:22:17	24.098					
227	03/10/21	19:22:17	24.050					
228	03/10/21	20:22:17	24.026					
229	03/10/21	21:22:17	23.978					
230	03/10/21	22:22:17	23.954					
231	03/10/21	23:22:17	23.954					
232	04/10/21	00:22:17	23.930					
233	04/10/21	01:22:17	23.881					
234	04/10/21	02:22:17	23.881					
235	04/10/21	03:22:17	23.857					
236	04/10/21	04:22:17	23.833					
237	04/10/21	05:22:17	23.833					
238	04/10/21	06:22:17	23.833					
239	04/10/21	07:22:17	23.833					
240	04/10/21	08:22:17	23.833					
241	04/10/21	09:22:17	23.857					
242	04/10/21	10:22:17	23.954					
243	04/10/21	11:22:17	23.857					
244	04/10/21	12:22:17	23.833					
245	04/10/21	13:22:17	23.785					
246	04/10/21	14:22:17	23.761					
247	04/10/21	15:22:17	23.737					
248	04/10/21	16:22:17	23.737					
249	04/10/21	17:22:17	23.713					
250	04/10/21	18:22:17	23.689					
251	04/10/21	19:22:17	23.689					
252	04/10/21	20:22:17	23.713					
253	04/10/21	21:22:17	23.689					
254	04/10/21	22:22:17	23.689					
255	04/10/21	23:22:17	23.689					
256	05/10/21	00:22:17	23.665					
257	05/10/21	01:22:17	23.641					
258	05/10/21	02:22:17	23.617					
259	05/10/21	03:22:17	23.617					
260	05/10/21	04:22:17	23.593					
261	05/10/21	05:22:17	23.617					
262	05/10/21	06:22:17	23.593					
263	05/10/21	07:22:17	23.521					
264	05/10/21	08:22:17	23.569					
265	05/10/21	09:22:17	23.545					
266	05/10/21	10:22:17	23.569					
267	05/10/21	11:22:17	23.593					
268	05/10/21	12:22:17	23.617					
269	05/10/21	13:22:17	23.641					
270	05/10/21	14:22:17	23.641					
271	05/10/21	15:22:17	23.665					
272	05/10/21	16:22:17	23.641					
273	05/10/21	17:22:17	23.593					
274	05/10/21	18:22:17	23.569					
275	05/10/21	19:22:17	23.569					
276	05/10/21	20:22:17	23.545					
277	05/10/21	21:22:17	23.569					
278	05/10/21	22:22:17	23.569					
279	05/10/21	23:22:17	23.545					
280	06/10/21	00:22:17	23.521					
281	06/10/21	01:22:17	23.472					
282	06/10/21	02:22:17	23.472					
283	06/10/21	03:22:17	23.472					
284	06/10/21	04:22:17	23.448					
285	06/10/21	05:22:17	23.400					
286	06/10/21	06:22:17	23.400					
287	06/10/21	07:22:17	23.424					
288	06/10/21	08:22:17	23.424					
289	06/10/21	09:22:17	23.424					
290	06/10/21	10:22:17	23.424					
291	06/10/21	11:22:17	23.400					
292	06/10/21	12:22:17	23.448					
293	06/10/21	13:22:17	23.424					
294	06/10/21	14:22:17	23.472					
295	06/10/21	15:22:17	23.472					
296	06/10/21	16:22:17	23.424					
297	06/10/21	17:22:17	23.424					
298	06/10/21	18:22:17	23.376					
299	06/10/21	19:22:17	23.328					
300	06/10/21	20:22:17	23.304					
301	06/10/21	21:22:17	23.256					
302	06/10/21	22:22:17	23.208					
303	06/10/21	23:22:17	23.160					
304	07/10/21	00:22:17	23.184					
305	07/10/21	01:22:17	23.160					
306	07/10/21	02:22:17	23.184					
307	07/10/21	03:22:17	23.088					
308	07/10/21	04:22:17	23.208					
309	07/10/21	05:22:17	23.160					
310	07/10/21	06:22:17	23.160					
311	07/10/21	07:22:17	22.992					
312	07/10/21	08:22:17	23.016					
313	07/10/21	09:22:17	23.016					
314	07/10/21	10:22:17	23.064					
315	07/10/21	11:22:17	23.160					
316	07/10/21	12:22:17	23.088					
317	07/10/21	13:22:17	23.160					
318	07/10/21	14:22:17	23.232					
319	07/10/21	15:22:17	23.184					
320	07/10/21	16:22:17	23.184					
321	07/10/21	17:22:17	23.160					
322	07/10/21	18:22:17	23.112					
323	07/10/21	19:22:17	23.064					
324	07/10/21	20:22:17	23.064					
325	07/10/21	21:22:17	23.064					
326	07/10/21	22:22:17	23.064					
327	07/10/21	23:22:17	23.040					
328	08/10/21	00:22:17	23.064					
