"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235958, SEN S/N: 20235958, LBL: 25 mètres)"	"Acoplador separado (LGR S/N: 20235958, SEN S/N: 20235958)"	"Acoplador adjunto (LGR S/N: 20235958, SEN S/N: 20235958)"	"Host conectado (LGR S/N: 20235958, SEN S/N: 20235958)"	"Parado (LGR S/N: 20235958, SEN S/N: 20235958)"	"Final de archivo (LGR S/N: 20235958, SEN S/N: 20235958)"
1	24/09/21	10:37:06	25.307					
2	24/09/21	10:37:14		Registrado				
3	24/09/21	11:37:06	22.992					
4	24/09/21	12:37:06	23.905					
5	24/09/21	13:37:06	26.134					
6	24/09/21	14:37:06	30.142					
7	24/09/21	15:37:06	23.809					
8	24/09/21	16:37:06	23.809					
9	24/09/21	17:37:06	23.665					
10	24/09/21	18:37:06	23.737					
11	24/09/21	19:37:06	23.617					
12	24/09/21	20:37:06	23.689					
13	24/09/21	21:37:06	23.737					
14	24/09/21	22:37:06	23.785					
15	24/09/21	23:37:06	23.545					
16	25/09/21	00:37:06	23.665					
17	25/09/21	01:37:06	23.665					
18	25/09/21	02:37:06	23.617					
19	25/09/21	03:37:06	23.713					
20	25/09/21	04:37:06	23.857					
21	25/09/21	05:37:06	23.881					
22	25/09/21	06:37:06	23.881					
23	25/09/21	07:37:06	23.857					
24	25/09/21	08:37:06	23.833					
25	25/09/21	09:37:06	23.593					
26	25/09/21	10:37:06	23.713					
27	25/09/21	11:37:06	23.617					
28	25/09/21	12:37:06	23.689					
29	25/09/21	13:37:06	23.737					
30	25/09/21	14:37:06	23.737					
31	25/09/21	15:37:06	23.761					
32	25/09/21	16:37:06	23.737					
33	25/09/21	17:37:06	23.785					
34	25/09/21	18:37:06	23.809					
35	25/09/21	19:37:06	23.833					
36	25/09/21	20:37:06	23.833					
37	25/09/21	21:37:06	23.833					
38	25/09/21	22:37:06	23.857					
39	25/09/21	23:37:06	23.857					
40	26/09/21	00:37:06	23.857					
41	26/09/21	01:37:06	23.833					
42	26/09/21	02:37:06	23.785					
43	26/09/21	03:37:06	23.785					
44	26/09/21	04:37:06	23.905					
45	26/09/21	05:37:06	23.881					
46	26/09/21	06:37:06	23.905					
47	26/09/21	07:37:06	23.930					
48	26/09/21	08:37:06	23.930					
49	26/09/21	09:37:06	23.930					
50	26/09/21	10:37:06	23.930					
51	26/09/21	11:37:06	23.954					
52	26/09/21	12:37:06	23.978					
53	26/09/21	13:37:06	24.002					
54	26/09/21	14:37:06	23.954					
55	26/09/21	15:37:06	23.833					
56	26/09/21	16:37:06	23.930					
57	26/09/21	17:37:06	23.905					
58	26/09/21	18:37:06	23.905					
59	26/09/21	19:37:06	23.954					
60	26/09/21	20:37:06	23.954					
61	26/09/21	21:37:06	23.881					
62	26/09/21	22:37:06	23.881					
63	26/09/21	23:37:06	23.881					
64	27/09/21	00:37:06	23.881					
65	27/09/21	01:37:06	23.905					
66	27/09/21	02:37:06	23.930					
67	27/09/21	03:37:06	23.930					
68	27/09/21	04:37:06	23.930					
69	27/09/21	05:37:06	23.930					
70	27/09/21	06:37:06	23.930					
71	27/09/21	07:37:06	23.930					
72	27/09/21	08:37:06	23.930					
73	27/09/21	09:37:06	23.930					
74	27/09/21	10:37:06	23.930					
75	27/09/21	11:37:06	23.930					
76	27/09/21	12:37:06	23.954					
77	27/09/21	13:37:06	23.978					
78	27/09/21	14:37:06	23.954					
79	27/09/21	15:37:06	23.954					
80	27/09/21	16:37:06	23.954					
81	27/09/21	17:37:06	23.978					
82	27/09/21	18:37:06	23.954					
83	27/09/21	19:37:06	23.930					
84	27/09/21	20:37:06	23.978					
85	27/09/21	21:37:06	24.002					
86	27/09/21	22:37:06	24.026					
87	27/09/21	23:37:06	24.002					
88	28/09/21	00:37:06	24.026					
89	28/09/21	01:37:06	23.978					
90	28/09/21	02:37:06	23.954					
91	28/09/21	03:37:06	23.905					
92	28/09/21	04:37:06	23.881					
93	28/09/21	05:37:06	23.905					
94	28/09/21	06:37:06	23.954					
95	28/09/21	07:37:06	23.954					
96	28/09/21	08:37:06	23.954					
97	28/09/21	09:37:06	23.978					
98	28/09/21	10:37:06	23.954					
99	28/09/21	11:37:06	23.930					
100	28/09/21	12:37:06	23.881					
101	28/09/21	13:37:06	23.881					
102	28/09/21	14:37:06	23.737					
103	28/09/21	15:37:06	23.857					
104	28/09/21	16:37:06	23.737					
105	28/09/21	17:37:06	23.689					
106	28/09/21	18:37:06	23.930					
107	28/09/21	19:37:06	23.905					
108	28/09/21	20:37:06	23.905					
109	28/09/21	21:37:06	23.905					
110	28/09/21	22:37:06	23.930					
111	28/09/21	23:37:06	23.930					
112	29/09/21	00:37:06	23.905					
113	29/09/21	01:37:06	23.881					
