Date	Time	10	15	20	25	30	35	40
26/01/2020	18:00:00	18.604		18.675	18.652	18.675	18.628	18.652
26/01/2020	19:00:00	18.604		18.675	18.652	18.675	18.652	18.652
26/01/2020	20:00:00	18.604		18.675	18.652	18.652	18.628	18.652
26/01/2020	21:00:00	18.604		18.675	18.652	18.675	18.628	18.652
26/01/2020	22:00:00	18.58		18.675	18.652	18.652	18.652	18.652
26/01/2020	23:00:00	18.58		18.675	18.652	18.652	18.628	18.652
27/01/2020	00:00:00	18.604		18.652	18.652	18.628	18.628	18.628
27/01/2020	01:00:00	18.58		18.652	18.628	18.628	18.628	18.628
27/01/2020	02:00:00	18.58		18.652	18.628	18.628	18.604	18.628
27/01/2020	03:00:00	18.58		18.652	18.628	18.675	18.604	18.628
27/01/2020	04:00:00	18.557		18.652	18.628	18.604	18.604	18.604
27/01/2020	05:00:00	18.58		18.652	18.628	18.652	18.604	18.628
27/01/2020	06:00:00	18.557		18.652	18.628	18.604	18.604	18.628
27/01/2020	07:00:00	18.557		18.628	18.628	18.604	18.604	18.604
27/01/2020	08:00:00	18.557		18.652	18.628	18.628	18.604	18.628
27/01/2020	09:00:00	18.58		18.675	18.628	18.628	18.604	18.628
27/01/2020	10:00:00	18.58		18.652	18.628	18.652	18.628	18.628
27/01/2020	11:00:00	18.58		18.675	18.628	18.699	18.604	18.628
27/01/2020	12:00:00	18.58		18.675	18.628	18.675	18.628	18.628
27/01/2020	13:00:00	18.58		18.652	18.628	18.675	18.604	18.628
27/01/2020	14:00:00	18.58		18.652	18.628	18.699	18.604	18.628
27/01/2020	15:00:00	18.58		18.652	18.628	18.675	18.628	18.628
27/01/2020	16:00:00	18.58		18.652	18.628	18.628	18.604	18.628
27/01/2020	17:00:00	18.557		18.652	18.628	18.675	18.628	18.628
27/01/2020	18:00:00	18.557		18.628	18.628	18.675	18.604	18.628
27/01/2020	19:00:00	18.557		18.652	18.628	18.675	18.604	18.628
27/01/2020	20:00:00	18.557		18.652	18.628	18.652	18.604	18.628
27/01/2020	21:00:00	18.557		18.652	18.628	18.675	18.604	18.628
27/01/2020	22:00:00	18.557		18.652	18.628	18.652	18.604	18.628
27/01/2020	23:00:00	18.557		18.628	18.628	18.652	18.604	18.628
28/01/2020	00:00:00	18.557		18.628	18.628	18.604	18.58	18.628
28/01/2020	01:00:00	18.533		18.628	18.628	18.604	18.58	18.604
28/01/2020	02:00:00	18.533		18.628	18.604	18.628	18.58	18.604
28/01/2020	03:00:00	18.533		18.628	18.604	18.604	18.58	18.604
28/01/2020	04:00:00	18.533		18.604	18.58	18.58	18.557	18.58
28/01/2020	05:00:00	18.533		18.604	18.58	18.58	18.58	18.58
28/01/2020	06:00:00	18.533		18.628	18.604	18.628	18.58	18.604
28/01/2020	07:00:00	18.533		18.628	18.604	18.652	18.58	18.604
28/01/2020	08:00:00	18.533		18.628	18.604	18.652	18.604	18.604
28/01/2020	09:00:00	18.485		18.628	18.604	18.628	18.58	18.604
28/01/2020	10:00:00	18.485		18.58	18.604	18.58	18.604	18.604
28/01/2020	11:00:00	18.533		18.628	18.604	18.675	18.628	18.628
28/01/2020	12:00:00	18.58		18.628	18.604	18.652	18.628	18.604
28/01/2020	13:00:00	18.58		18.628	18.628	18.675	18.628	18.604
28/01/2020	14:00:00	18.604		18.652	18.628	18.675	18.604	18.604
28/01/2020	15:00:00	18.604		18.652	18.628	18.675	18.604	18.604
28/01/2020	16:00:00	18.58		18.652	18.628	18.652	18.604	18.604
28/01/2020	17:00:00	18.58		18.652	18.628	18.652	18.604	18.604
28/01/2020	18:00:00	18.58		18.652	18.628	18.652	18.604	18.604
28/01/2020	19:00:00	18.533		18.652	18.628	18.628	18.604	18.604
28/01/2020	20:00:00	18.485		18.652	18.628	18.675	18.604	18.604
28/01/2020	21:00:00	18.485		18.652	18.628	18.628	18.604	18.604
28/01/2020	22:00:00	18.509		18.652	18.628	18.675	18.604	18.604
28/01/2020	23:00:00	18.533		18.628	18.628	18.628	18.604	18.604
29/01/2020	00:00:00	18.557		18.652	18.628	18.604	18.604	18.604
29/01/2020	01:00:00	18.461		18.533	18.557	18.58	18.58	18.628
29/01/2020	02:00:00	18.461		18.628	18.604	18.604	18.604	18.604
29/01/2020	03:00:00	18.485		18.58	18.58	18.58	18.58	18.58
29/01/2020	04:00:00	18.509		18.604	18.557	18.557	18.557	18.58
29/01/2020	05:00:00	18.509		18.604	18.58	18.58	18.557	18.58
29/01/2020	06:00:00	18.509		18.604	18.58	18.628	18.557	18.58
29/01/2020	07:00:00	18.509		18.604	18.58	18.604	18.557	18.58
29/01/2020	08:00:00	18.509		18.58	18.58	18.604	18.557	18.58
29/01/2020	09:00:00	18.58		18.604	18.58	18.58	18.58	18.58
29/01/2020	10:00:00	18.604		18.628	18.604	18.604	18.604	18.58
29/01/2020	11:00:00	18.58		18.628	18.604	18.652	18.604	18.604
29/01/2020	12:00:00	18.58		18.628	18.604	18.652	18.604	18.604
29/01/2020	13:00:00	18.58		18.628	18.604	18.604	18.604	18.604
29/01/2020	14:00:00	18.58		18.628	18.604	18.628	18.58	18.604
29/01/2020	15:00:00	18.58		18.628	18.604	18.628	18.58	18.604
29/01/2020	16:00:00	18.557		18.628	18.604	18.675	18.58	18.604
29/01/2020	17:00:00	18.557		18.628	18.604	18.652	18.58	18.58
29/01/2020	18:00:00	18.557		18.628	18.604	18.604	18.58	18.58
29/01/2020	19:00:00	18.533		18.628	18.604	18.58	18.58	18.604
29/01/2020	20:00:00	18.533		18.628	18.604	18.628	18.58	18.58
