"N.º" "Fecha" "Tiempo, GMT+02:00" "Temp, °C (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)" "Acoplador separado (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)" "Acoplador adjunto (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)" "Host conectado (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)" "Parado (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)" "Final de archivo (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)"	
16/07/2021	22:45:00	26.862
16/07/2021	23:00:00	26.862
16/07/2021	23:15:00	26.862
16/07/2021	23:30:00	26.862
16/07/2021	23:45:00	26.862
17/07/2021	0:00:00	26.862
17/07/2021	0:15:00	26.764
17/07/2021	0:30:00	26.764
17/07/2021	0:45:00	26.764
17/07/2021	1:00:00	26.764
17/07/2021	1:15:00	26.764
17/07/2021	1:30:00	26.764
17/07/2021	1:45:00	26.764
17/07/2021	2:00:00	26.764
17/07/2021	2:15:00	26.764
17/07/2021	2:30:00	26.764
17/07/2021	2:45:00	26.764
17/07/2021	3:00:00	26.764
17/07/2021	3:15:00	26.764
17/07/2021	3:30:00	26.764
17/07/2021	3:45:00	26.764
17/07/2021	4:00:00	26.764
17/07/2021	4:15:00	26.764
17/07/2021	4:30:00	26.764
17/07/2021	4:45:00	26.764
17/07/2021	5:00:00	26.764
17/07/2021	5:15:00	26.764
17/07/2021	5:30:00	26.666
17/07/2021	5:45:00	26.666
17/07/2021	6:00:00	26.666
17/07/2021	6:15:00	26.666
17/07/2021	6:30:00	26.666
17/07/2021	6:45:00	26.666
17/07/2021	7:00:00	26.666
17/07/2021	7:15:00	26.666
17/07/2021	7:30:00	26.666
17/07/2021	7:45:00	26.666
17/07/2021	8:00:00	26.666
17/07/2021	8:15:00	26.666
17/07/2021	8:30:00	26.666
17/07/2021	8:45:00	26.666
17/07/2021	9:00:00	26.666
17/07/2021	9:15:00	26.666
17/07/2021	9:30:00	26.666
17/07/2021	9:45:00	26.568
17/07/2021	10:00:00	26.568
17/07/2021	10:15:00	26.568
17/07/2021	10:30:00	26.568
17/07/2021	10:45:00	26.568
17/07/2021	11:00:00	26.469
17/07/2021	11:15:00	26.371
17/07/2021	11:30:00	26.371
17/07/2021	11:45:00	26.371
17/07/2021	12:00:00	26.469
17/07/2021	12:15:00	26.568
17/07/2021	12:30:00	26.568
17/07/2021	12:45:00	26.568
17/07/2021	13:00:00	26.666
17/07/2021	13:15:00	26.666
17/07/2021	13:30:00	26.666
17/07/2021	13:45:00	26.764
17/07/2021	14:00:00	26.764
17/07/2021	14:15:00	26.764
17/07/2021	14:30:00	26.862
17/07/2021	14:45:00	26.862
17/07/2021	15:00:00	26.862
17/07/2021	15:15:00	26.862
17/07/2021	15:30:00	26.862
17/07/2021	15:45:00	26.862
17/07/2021	16:00:00	26.862
17/07/2021	16:15:00	26.764
17/07/2021	16:30:00	26.764
17/07/2021	16:45:00	26.764
17/07/2021	17:00:00	26.764
17/07/2021	17:15:00	26.764
17/07/2021	17:30:00	26.764
17/07/2021	17:45:00	26.764
17/07/2021	18:00:00	26.764
17/07/2021	18:15:00	26.764
17/07/2021	18:30:00	26.764
17/07/2021	18:45:00	26.764
17/07/2021	19:00:00	26.764
17/07/2021	19:15:00	26.764
17/07/2021	19:30:00	26.666
17/07/2021	19:45:00	26.666
17/07/2021	20:00:00	26.666
17/07/2021	20:15:00	26.666
17/07/2021	20:30:00	26.568
17/07/2021	20:45:00	26.568
17/07/2021	21:00:00	26.568
17/07/2021	21:15:00	26.568
17/07/2021	21:30:00	26.568
17/07/2021	21:45:00	26.568
17/07/2021	22:00:00	26.568
17/07/2021	22:15:00	26.568
17/07/2021	22:30:00	26.568
17/07/2021	22:45:00	26.568
17/07/2021	23:00:00	26.568
17/07/2021	23:15:00	26.568
17/07/2021	23:30:00	26.568
17/07/2021	23:45:00	26.568
18/07/2021	0:00:00	26.568
18/07/2021	0:15:00	26.568
18/07/2021	0:30:00	26.568
18/07/2021	0:45:00	26.568
18/07/2021	1:00:00	26.568
18/07/2021	1:15:00	26.568
18/07/2021	1:30:00	26.568
18/07/2021	1:45:00	26.568
18/07/2021	2:00:00	26.568
18/07/2021	2:15:00	26.568
18/07/2021	2:30:00	26.568
18/07/2021	2:45:00	26.568
18/07/2021	3:00:00	26.568
18/07/2021	3:15:00	26.568
18/07/2021	3:30:00	26.568
18/07/2021	3:45:00	26.568
18/07/2021	4:00:00	26.568
18/07/2021	4:15:00	26.568
18/07/2021	4:30:00	26.568
18/07/2021	4:45:00	26.568
18/07/2021	5:00:00	26.568
18/07/2021	5:15:00	26.568
18/07/2021	5:30:00	26.568
18/07/2021	5:45:00	26.568
18/07/2021	6:00:00	26.568
18/07/2021	6:15:00	26.469
18/07/2021	6:30:00	26.469
18/07/2021	6:45:00	26.469
18/07/2021	7:00:00	26.469
18/07/2021	7:15:00	26.469
18/07/2021	7:30:00	26.568
18/07/2021	7:45:00	26.568
18/07/2021	8:00:00	26.469
18/07/2021	8:15:00	26.469
18/07/2021	8:30:00	26.469
18/07/2021	8:45:00	26.469
18/07/2021	9:00:00	26.469
18/07/2021	9:15:00	26.469
18/07/2021	9:30:00	26.469
18/07/2021	9:45:00	26.469
18/07/2021	10:00:00	26.568
18/07/2021	10:15:00	26.568
18/07/2021	10:30:00	26.568
18/07/2021	10:45:00	26.666
18/07/2021	11:00:00	26.568
18/07/2021	11:15:00	26.568
18/07/2021	11:30:00	26.568
18/07/2021	11:45:00	26.568
18/07/2021	12:00:00	26.568
18/07/2021	12:15:00	26.568
18/07/2021	12:30:00	26.568
18/07/2021	12:45:00	26.568
18/07/2021	13:00:00	26.568
18/07/2021	13:15:00	26.469
18/07/2021	13:30:00	26.666
18/07/2021	13:45:00	26.568
18/07/2021	14:00:00	26.666
18/07/2021	14:15:00	26.666
18/07/2021	14:30:00	26.568
18/07/2021	14:45:00	26.568
18/07/2021	15:00:00	26.568
18/07/2021	15:15:00	26.568
18/07/2021	15:30:00	26.469
18/07/2021	15:45:00	26.469
18/07/2021	16:00:00	26.469
18/07/2021	16:15:00	26.469
18/07/2021	16:30:00	26.469
18/07/2021	16:45:00	26.469
18/07/2021	17:00:00	26.469
18/07/2021	17:15:00	26.469
18/07/2021	17:30:00	26.469
18/07/2021	17:45:00	26.469
18/07/2021	18:00:00	26.469
18/07/2021	18:15:00	26.469
18/07/2021	18:30:00	26.469
18/07/2021	18:45:00	26.469
18/07/2021	19:00:00	26.469
18/07/2021	19:15:00	26.469
18/07/2021	19:30:00	26.469
18/07/2021	19:45:00	26.469
18/07/2021	20:00:00	26.469
18/07/2021	20:15:00	26.469
18/07/2021	20:30:00	26.469
18/07/2021	20:45:00	26.469
18/07/2021	21:00:00	26.469
18/07/2021	21:15:00	26.469
18/07/2021	21:30:00	26.469
18/07/2021	21:45:00	26.469
18/07/2021	22:00:00	26.469
18/07/2021	22:15:00	26.469
18/07/2021	22:30:00	26.469
18/07/2021	22:45:00	26.469
18/07/2021	23:00:00	26.469
18/07/2021	23:15:00	26.469
18/07/2021	23:30:00	26.469
18/07/2021	23:45:00	26.469
19/07/2021	0:00:00	26.469
19/07/2021	0:15:00	26.469
19/07/2021	0:30:00	26.469
19/07/2021	0:45:00	26.469
19/07/2021	1:00:00	26.469
19/07/2021	1:15:00	26.469
19/07/2021	1:30:00	26.469
19/07/2021	1:45:00	26.469
19/07/2021	2:00:00	26.371
19/07/2021	2:15:00	26.371
19/07/2021	2:30:00	26.371
19/07/2021	2:45:00	26.371
19/07/2021	3:00:00	26.371
19/07/2021	3:15:00	26.371
19/07/2021	3:30:00	26.371
19/07/2021	3:45:00	26.371
19/07/2021	4:00:00	26.371
19/07/2021	4:15:00	26.371
19/07/2021	4:30:00	26.371
19/07/2021	4:45:00	26.371
19/07/2021	5:00:00	26.371
19/07/2021	5:15:00	26.371
19/07/2021	5:30:00	26.371
19/07/2021	5:45:00	26.371
19/07/2021	6:00:00	26.371
19/07/2021	6:15:00	26.371
19/07/2021	6:30:00	26.371
19/07/2021	6:45:00	26.371
19/07/2021	7:00:00	26.371
19/07/2021	7:15:00	26.371
19/07/2021	7:30:00	26.371
19/07/2021	7:45:00	26.371
19/07/2021	8:00:00	26.371
19/07/2021	8:15:00	26.371
19/07/2021	8:30:00	26.371
19/07/2021	8:45:00	26.371
19/07/2021	9:00:00	26.371
19/07/2021	9:15:00	26.371
19/07/2021	9:30:00	26.469
19/07/2021	9:45:00	26.469
19/07/2021	10:00:00	26.371
19/07/2021	10:15:00	26.371
19/07/2021	10:30:00	26.371
19/07/2021	10:45:00	26.371
19/07/2021	11:00:00	26.371
19/07/2021	11:15:00	26.469
19/07/2021	11:30:00	26.371
19/07/2021	11:45:00	26.469
19/07/2021	12:00:00	26.469
19/07/2021	12:15:00	26.469
19/07/2021	12:30:00	26.371
19/07/2021	12:45:00	26.469
19/07/2021	13:00:00	26.469
19/07/2021	13:15:00	26.469
19/07/2021	13:30:00	26.469
19/07/2021	13:45:00	26.568
19/07/2021	14:00:00	26.371
19/07/2021	14:15:00	26.568
19/07/2021	14:30:00	26.666
19/07/2021	14:45:00	26.666
19/07/2021	15:00:00	26.568
19/07/2021	15:15:00	26.666
19/07/2021	15:30:00	26.568
19/07/2021	15:45:00	26.568
19/07/2021	16:00:00	26.666
19/07/2021	16:15:00	26.568
19/07/2021	16:30:00	26.666
19/07/2021	16:45:00	26.764
19/07/2021	17:00:00	26.666
19/07/2021	17:15:00	26.666
19/07/2021	17:30:00	26.666
19/07/2021	17:45:00	26.764
19/07/2021	18:00:00	26.568
19/07/2021	18:15:00	26.568
19/07/2021	18:30:00	26.666
19/07/2021	18:45:00	26.568
19/07/2021	19:00:00	26.666
19/07/2021	19:15:00	26.568
19/07/2021	19:30:00	26.666
19/07/2021	19:45:00	26.666
19/07/2021	20:00:00	26.666
19/07/2021	20:15:00	26.666
19/07/2021	20:30:00	26.764
19/07/2021	20:45:00	26.666
19/07/2021	21:00:00	26.666
19/07/2021	21:15:00	26.666
19/07/2021	21:30:00	26.568
19/07/2021	21:45:00	26.568
19/07/2021	22:00:00	26.666
19/07/2021	22:15:00	26.568
19/07/2021	22:30:00	26.469
19/07/2021	22:45:00	26.568
19/07/2021	23:00:00	26.469
19/07/2021	23:15:00	26.469
19/07/2021	23:30:00	26.568
19/07/2021	23:45:00	26.568
20/07/2021	0:00:00	26.568
20/07/2021	0:15:00	26.568
20/07/2021	0:30:00	26.568
20/07/2021	0:45:00	26.568
20/07/2021	1:00:00	26.568
20/07/2021	1:15:00	26.568
20/07/2021	1:30:00	26.568
20/07/2021	1:45:00	26.568
20/07/2021	2:00:00	26.568
20/07/2021	2:15:00	26.568
20/07/2021	2:30:00	26.568
20/07/2021	2:45:00	26.568
20/07/2021	3:00:00	26.469
20/07/2021	3:15:00	26.469
20/07/2021	3:30:00	26.469
20/07/2021	3:45:00	26.469
20/07/2021	4:00:00	26.371
20/07/2021	4:15:00	26.371
20/07/2021	4:30:00	26.371
20/07/2021	4:45:00	26.371
20/07/2021	5:00:00	26.371
20/07/2021	5:15:00	26.274
20/07/2021	5:30:00	26.371
20/07/2021	5:45:00	26.371
20/07/2021	6:00:00	26.274
20/07/2021	6:15:00	26.371
20/07/2021	6:30:00	26.371
20/07/2021	6:45:00	26.371
20/07/2021	7:00:00	26.371
20/07/2021	7:15:00	26.371
20/07/2021	7:30:00	26.371
20/07/2021	7:45:00	26.371
20/07/2021	8:00:00	26.371
20/07/2021	8:15:00	26.371
20/07/2021	8:30:00	26.371
20/07/2021	8:45:00	26.371
20/07/2021	9:00:00	26.469
20/07/2021	9:15:00	26.469
20/07/2021	9:30:00	26.469
20/07/2021	9:45:00	26.371
20/07/2021	10:00:00	26.568
20/07/2021	10:15:00	26.469
20/07/2021	10:30:00	26.371
20/07/2021	10:45:00	26.469
20/07/2021	11:00:00	26.469
20/07/2021	11:15:00	26.469
20/07/2021	11:30:00	26.469
20/07/2021	11:45:00	26.469
20/07/2021	12:00:00	26.666
20/07/2021	12:15:00	26.568
20/07/2021	12:30:00	26.568
20/07/2021	12:45:00	26.371
20/07/2021	13:00:00	26.666
20/07/2021	13:15:00	26.469
20/07/2021	13:30:00	26.568
20/07/2021	13:45:00	26.469
20/07/2021	14:00:00	26.469
20/07/2021	14:15:00	26.469
20/07/2021	14:30:00	26.666
20/07/2021	14:45:00	26.862
20/07/2021	15:00:00	26.568
20/07/2021	15:15:00	26.568
20/07/2021	15:30:00	26.666
20/07/2021	15:45:00	26.666
20/07/2021	16:00:00	26.666
20/07/2021	16:15:00	26.666
20/07/2021	16:30:00	26.568
20/07/2021	16:45:00	26.764
20/07/2021	17:00:00	26.764
20/07/2021	17:15:00	26.764
20/07/2021	17:30:00	26.666
20/07/2021	17:45:00	26.666
20/07/2021	18:00:00	27.059
20/07/2021	18:15:00	26.960
20/07/2021	18:30:00	26.862
20/07/2021	18:45:00	26.764
20/07/2021	19:00:00	26.862
20/07/2021	19:15:00	26.960
20/07/2021	19:30:00	26.862
20/07/2021	19:45:00	26.862
20/07/2021	20:00:00	26.960
20/07/2021	20:15:00	26.764
20/07/2021	20:30:00	27.059
20/07/2021	20:45:00	26.960
20/07/2021	21:00:00	26.960
20/07/2021	21:15:00	27.059
20/07/2021	21:30:00	27.157
20/07/2021	21:45:00	26.862
20/07/2021	22:00:00	27.157
20/07/2021	22:15:00	27.059
20/07/2021	22:30:00	27.059
20/07/2021	22:45:00	26.960
20/07/2021	23:00:00	26.960
20/07/2021	23:15:00	26.960
20/07/2021	23:30:00	26.960
20/07/2021	23:45:00	26.960
21/07/2021	0:00:00	26.862
21/07/2021	0:15:00	26.862
21/07/2021	0:30:00	26.764
21/07/2021	0:45:00	26.764
21/07/2021	1:00:00	26.764
21/07/2021	1:15:00	26.666
21/07/2021	1:30:00	26.666
21/07/2021	1:45:00	26.666
21/07/2021	2:00:00	26.666
21/07/2021	2:15:00	26.666
21/07/2021	2:30:00	26.666
21/07/2021	2:45:00	26.666
21/07/2021	3:00:00	26.666
21/07/2021	3:15:00	26.568
21/07/2021	3:30:00	26.666
21/07/2021	3:45:00	26.666
21/07/2021	4:00:00	26.568
21/07/2021	4:15:00	26.568
21/07/2021	4:30:00	26.568
21/07/2021	4:45:00	26.568
21/07/2021	5:00:00	26.568
21/07/2021	5:15:00	26.568
21/07/2021	5:30:00	26.469
21/07/2021	5:45:00	26.469
21/07/2021	6:00:00	26.469
21/07/2021	6:15:00	26.469
21/07/2021	6:30:00	26.469
21/07/2021	6:45:00	26.469
21/07/2021	7:00:00	26.568
21/07/2021	7:15:00	26.568
21/07/2021	7:30:00	26.469
21/07/2021	7:45:00	26.469
21/07/2021	8:00:00	26.469
21/07/2021	8:15:00	26.469
21/07/2021	8:30:00	26.469
21/07/2021	8:45:00	26.469
21/07/2021	9:00:00	26.469
21/07/2021	9:15:00	26.469
21/07/2021	9:30:00	26.469
21/07/2021	9:45:00	26.469
21/07/2021	10:00:00	26.469
21/07/2021	10:15:00	26.568
21/07/2021	10:30:00	26.568
21/07/2021	10:45:00	26.469
21/07/2021	11:00:00	26.568
21/07/2021	11:15:00	26.568
21/07/2021	11:30:00	26.666
21/07/2021	11:45:00	26.568
21/07/2021	12:00:00	26.862
21/07/2021	12:15:00	26.764
21/07/2021	12:30:00	26.862
21/07/2021	12:45:00	27.059
21/07/2021	13:00:00	27.059
21/07/2021	13:15:00	27.059
21/07/2021	13:30:00	27.059
21/07/2021	13:45:00	26.960
21/07/2021	14:00:00	27.059
21/07/2021	14:15:00	27.059
21/07/2021	14:30:00	27.059
21/07/2021	14:45:00	27.157
21/07/2021	15:00:00	27.059
21/07/2021	15:15:00	27.059
21/07/2021	15:30:00	27.059
21/07/2021	15:45:00	27.157
21/07/2021	16:00:00	27.157
21/07/2021	16:15:00	27.157
21/07/2021	16:30:00	27.255
21/07/2021	16:45:00	27.157
21/07/2021	17:00:00	27.157
21/07/2021	17:15:00	27.157
21/07/2021	17:30:00	27.157
21/07/2021	17:45:00	27.255
21/07/2021	18:00:00	27.255
21/07/2021	18:15:00	27.255
21/07/2021	18:30:00	27.255
21/07/2021	18:45:00	27.255
21/07/2021	19:00:00	27.059
21/07/2021	19:15:00	26.960
21/07/2021	19:30:00	26.960
21/07/2021	19:45:00	26.960
21/07/2021	20:00:00	26.960
21/07/2021	20:15:00	27.059
21/07/2021	20:30:00	26.862
21/07/2021	20:45:00	26.960
21/07/2021	21:00:00	26.960
21/07/2021	21:15:00	26.862
21/07/2021	21:30:00	26.960
21/07/2021	21:45:00	26.960
21/07/2021	22:00:00	26.960
21/07/2021	22:15:00	26.862
21/07/2021	22:30:00	26.764
21/07/2021	22:45:00	26.764
21/07/2021	23:00:00	26.960
21/07/2021	23:15:00	26.764
21/07/2021	23:30:00	26.862
21/07/2021	23:45:00	26.764
22/07/2021	0:00:00	26.764
22/07/2021	0:15:00	26.764
22/07/2021	0:30:00	26.764
22/07/2021	0:45:00	26.764
22/07/2021	1:00:00	26.764
22/07/2021	1:15:00	26.764
22/07/2021	1:30:00	26.666
22/07/2021	1:45:00	26.666
22/07/2021	2:00:00	26.666
22/07/2021	2:15:00	26.666
22/07/2021	2:30:00	26.666
22/07/2021	2:45:00	26.666
22/07/2021	3:00:00	26.568
22/07/2021	3:15:00	26.568
22/07/2021	3:30:00	26.666
22/07/2021	3:45:00	26.469
22/07/2021	4:00:00	26.469
22/07/2021	4:15:00	26.371
22/07/2021	4:30:00	26.469
22/07/2021	4:45:00	26.469
22/07/2021	5:00:00	26.371
22/07/2021	5:15:00	26.469
22/07/2021	5:30:00	26.371
22/07/2021	5:45:00	26.371
22/07/2021	6:00:00	26.371
22/07/2021	6:15:00	26.469
22/07/2021	6:30:00	26.469
22/07/2021	6:45:00	26.469
22/07/2021	7:00:00	26.469
22/07/2021	7:15:00	26.469
22/07/2021	7:30:00	26.469
22/07/2021	7:45:00	26.469
22/07/2021	8:00:00	26.469
22/07/2021	8:15:00	26.469
22/07/2021	8:30:00	26.469
22/07/2021	8:45:00	26.568
22/07/2021	9:00:00	26.568
22/07/2021	9:15:00	26.568
22/07/2021	9:30:00	26.568
22/07/2021	9:45:00	26.666
22/07/2021	10:00:00	26.568
22/07/2021	10:15:00	26.764
22/07/2021	10:30:00	26.764
22/07/2021	10:45:00	26.764
22/07/2021	11:00:00	26.862
22/07/2021	11:15:00	26.568
22/07/2021	11:30:00	26.764
22/07/2021	11:45:00	26.764
22/07/2021	12:00:00	26.568
22/07/2021	12:15:00	26.666
22/07/2021	12:30:00	26.960
22/07/2021	12:45:00	27.157
22/07/2021	13:00:00	27.551
22/07/2021	13:15:00	27.649
22/07/2021	13:30:00	27.649
22/07/2021	13:45:00	27.649
22/07/2021	14:00:00	27.649
22/07/2021	14:15:00	27.649
22/07/2021	14:30:00	27.749
22/07/2021	14:45:00	27.749
22/07/2021	15:00:00	27.749
22/07/2021	15:15:00	27.649
22/07/2021	15:30:00	27.551
22/07/2021	15:45:00	27.551
22/07/2021	16:00:00	27.354
22/07/2021	16:15:00	27.452
22/07/2021	16:30:00	27.354
22/07/2021	16:45:00	27.452
22/07/2021	17:00:00	27.354
22/07/2021	17:15:00	27.452
22/07/2021	17:30:00	27.354
22/07/2021	17:45:00	27.354
22/07/2021	18:00:00	27.354
22/07/2021	18:15:00	27.354
22/07/2021	18:30:00	27.354
22/07/2021	18:45:00	27.354
22/07/2021	19:00:00	27.354
22/07/2021	19:15:00	27.354
22/07/2021	19:30:00	27.354
22/07/2021	19:45:00	27.354
22/07/2021	20:00:00	27.354
22/07/2021	20:15:00	27.354
22/07/2021	20:30:00	27.354
22/07/2021	20:45:00	27.354
22/07/2021	21:00:00	27.255
22/07/2021	21:15:00	27.354
22/07/2021	21:30:00	27.354
22/07/2021	21:45:00	27.354
22/07/2021	22:00:00	27.255
22/07/2021	22:15:00	27.354
22/07/2021	22:30:00	27.354
22/07/2021	22:45:00	27.255
22/07/2021	23:00:00	27.255
22/07/2021	23:15:00	27.157
22/07/2021	23:30:00	27.157
22/07/2021	23:45:00	27.059
23/07/2021	0:00:00	27.059
23/07/2021	0:15:00	26.960
23/07/2021	0:30:00	27.157
23/07/2021	0:45:00	27.059
23/07/2021	1:00:00	27.059
23/07/2021	1:15:00	27.059
23/07/2021	1:30:00	26.960
23/07/2021	1:45:00	26.862
23/07/2021	2:00:00	26.862
23/07/2021	2:15:00	26.666
23/07/2021	2:30:00	26.666
23/07/2021	2:45:00	26.568
23/07/2021	3:00:00	26.568
23/07/2021	3:15:00	26.371
23/07/2021	3:30:00	26.078
23/07/2021	3:45:00	26.371
23/07/2021	4:00:00	26.371
23/07/2021	4:15:00	26.274
23/07/2021	4:30:00	26.469
23/07/2021	4:45:00	26.469
23/07/2021	5:00:00	26.469
23/07/2021	5:15:00	26.568
23/07/2021	5:30:00	26.568
23/07/2021	5:45:00	26.568
23/07/2021	6:00:00	26.568
23/07/2021	6:15:00	26.666
23/07/2021	6:30:00	26.666
23/07/2021	6:45:00	26.666
23/07/2021	7:00:00	26.666
23/07/2021	7:15:00	26.666
23/07/2021	7:30:00	26.666
23/07/2021	7:45:00	26.666
23/07/2021	8:00:00	26.666
23/07/2021	8:15:00	26.666
23/07/2021	8:30:00	26.666
23/07/2021	8:45:00	26.666
23/07/2021	9:00:00	26.764
23/07/2021	9:15:00	26.666
23/07/2021	9:30:00	27.059
23/07/2021	9:45:00	26.960
23/07/2021	10:00:00	26.960
23/07/2021	10:15:00	26.960
23/07/2021	10:30:00	27.059
23/07/2021	10:45:00	27.059
23/07/2021	11:00:00	26.960
23/07/2021	11:15:00	27.059
23/07/2021	11:30:00	26.862
23/07/2021	11:45:00	26.764
23/07/2021	12:00:00	26.666
23/07/2021	12:15:00	26.862
23/07/2021	12:30:00	26.862
23/07/2021	12:45:00	26.960
23/07/2021	13:00:00	26.862
23/07/2021	13:15:00	26.960
23/07/2021	13:30:00	26.862
23/07/2021	13:45:00	27.059
23/07/2021	14:00:00	27.157
23/07/2021	14:15:00	27.157
23/07/2021	14:30:00	27.157
23/07/2021	14:45:00	27.255
23/07/2021	15:00:00	27.255
23/07/2021	15:15:00	27.059
23/07/2021	15:30:00	27.354
23/07/2021	15:45:00	27.354
23/07/2021	16:00:00	27.255
23/07/2021	16:15:00	27.157
23/07/2021	16:30:00	27.157
23/07/2021	16:45:00	27.157
23/07/2021	17:00:00	27.157
23/07/2021	17:15:00	27.255
23/07/2021	17:30:00	27.157
23/07/2021	17:45:00	27.157
23/07/2021	18:00:00	27.157
23/07/2021	18:15:00	27.157
23/07/2021	18:30:00	27.157
23/07/2021	18:45:00	27.059
23/07/2021	19:00:00	27.157
23/07/2021	19:15:00	27.059
23/07/2021	19:30:00	27.157
23/07/2021	19:45:00	27.354
23/07/2021	20:00:00	27.354
23/07/2021	20:15:00	27.354
23/07/2021	20:30:00	27.452
23/07/2021	20:45:00	27.551
23/07/2021	21:00:00	27.354
23/07/2021	21:15:00	27.354
23/07/2021	21:30:00	27.354
23/07/2021	21:45:00	27.354
23/07/2021	22:00:00	27.354
23/07/2021	22:15:00	27.255
23/07/2021	22:30:00	27.354
23/07/2021	22:45:00	27.354
23/07/2021	23:00:00	27.059
23/07/2021	23:15:00	27.059
23/07/2021	23:30:00	27.059
23/07/2021	23:45:00	27.059
24/07/2021	0:00:00	27.059
24/07/2021	0:15:00	27.059
24/07/2021	0:30:00	27.059
24/07/2021	0:45:00	27.059
24/07/2021	1:00:00	27.157
24/07/2021	1:15:00	27.157
24/07/2021	1:30:00	27.157
24/07/2021	1:45:00	27.059
24/07/2021	2:00:00	26.960
24/07/2021	2:15:00	26.960
24/07/2021	2:30:00	26.960
24/07/2021	2:45:00	26.862
24/07/2021	3:00:00	26.666
24/07/2021	3:15:00	26.862
24/07/2021	3:30:00	26.666
24/07/2021	3:45:00	26.764
24/07/2021	4:00:00	26.764
24/07/2021	4:15:00	26.666
24/07/2021	4:30:00	26.666
24/07/2021	4:45:00	26.568
24/07/2021	5:00:00	26.666
24/07/2021	5:15:00	26.862
24/07/2021	5:30:00	26.960
24/07/2021	5:45:00	26.960
24/07/2021	6:00:00	27.059
24/07/2021	6:15:00	27.059
24/07/2021	6:30:00	27.157
24/07/2021	6:45:00	27.157
24/07/2021	7:00:00	27.157
24/07/2021	7:15:00	27.059
24/07/2021	7:30:00	27.059
24/07/2021	7:45:00	27.059
24/07/2021	8:00:00	27.059
24/07/2021	8:15:00	27.059
24/07/2021	8:30:00	26.960
24/07/2021	8:45:00	26.960
24/07/2021	9:00:00	27.059
24/07/2021	9:15:00	27.059
24/07/2021	9:30:00	27.157
24/07/2021	9:45:00	27.059
24/07/2021	10:00:00	27.157
24/07/2021	10:15:00	27.157
24/07/2021	10:30:00	27.157
24/07/2021	10:45:00	27.157
24/07/2021	11:00:00	27.157
24/07/2021	11:15:00	27.157
24/07/2021	11:30:00	27.157
24/07/2021	11:45:00	27.157
24/07/2021	12:00:00	27.255
24/07/2021	12:15:00	27.255
24/07/2021	12:30:00	27.255
24/07/2021	12:45:00	27.157
24/07/2021	13:00:00	27.157
24/07/2021	13:15:00	27.255
24/07/2021	13:30:00	27.255
24/07/2021	13:45:00	27.354
24/07/2021	14:00:00	27.354
24/07/2021	14:15:00	27.452
24/07/2021	14:30:00	27.649
24/07/2021	14:45:00	27.649
24/07/2021	15:00:00	27.749
