"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21202611, SEN S/N: 21202611, LBL: Porros_30m)"	"Acoplador separado (LGR S/N: 21202611, SEN S/N: 21202611)"	"Acoplador adjunto (LGR S/N: 21202611, SEN S/N: 21202611)"	"Host conectado (LGR S/N: 21202611, SEN S/N: 21202611)"	"Parado (LGR S/N: 21202611, SEN S/N: 21202611)"	"Final de archivo (LGR S/N: 21202611, SEN S/N: 21202611)"
1	18/05/22	10:00:00	20.841	Registrado				
2	18/05/22	11:00:00	22.130					
3	18/05/22	12:00:00	20.484					
4	18/05/22	13:00:00	17.724					
5	18/05/22	14:00:00	16.630					
6	18/05/22	15:00:00	16.773					
7	18/05/22	16:00:00	16.963					
8	18/05/22	17:00:00	16.939					
9	18/05/22	18:00:00	16.915					
10	18/05/22	19:00:00	16.773					
11	18/05/22	20:00:00	17.130					
12	18/05/22	21:00:00	17.153					
13	18/05/22	22:00:00	16.868					
14	18/05/22	23:00:00	16.654					
15	19/05/22	00:00:00	16.606					
16	19/05/22	01:00:00	16.511					
17	19/05/22	02:00:00	16.677					
18	19/05/22	03:00:00	16.725					
19	19/05/22	04:00:00	16.320					
20	19/05/22	05:00:00	16.177					
21	19/05/22	06:00:00	16.201					
22	19/05/22	07:00:00	16.249					
23	19/05/22	08:00:00	16.296					
24	19/05/22	09:00:00	16.415					
25	19/05/22	10:00:00	16.487					
26	19/05/22	11:00:00	16.582					
27	19/05/22	12:00:00	16.582					
28	19/05/22	13:00:00	16.415					
29	19/05/22	14:00:00	16.225					
30	19/05/22	15:00:00	16.272					
31	19/05/22	16:00:00	16.034					
32	19/05/22	17:00:00	16.249					
33	19/05/22	18:00:00	16.415					
34	19/05/22	19:00:00	16.296					
35	19/05/22	20:00:00	16.225					
36	19/05/22	21:00:00	16.272					
37	19/05/22	22:00:00	16.153					
38	19/05/22	23:00:00	16.058					
39	20/05/22	00:00:00	16.177					
40	20/05/22	01:00:00	16.201					
41	20/05/22	02:00:00	16.201					
42	20/05/22	03:00:00	16.249					
43	20/05/22	04:00:00	16.177					
44	20/05/22	05:00:00	16.272					
45	20/05/22	06:00:00	16.201					
46	20/05/22	07:00:00	16.225					
47	20/05/22	08:00:00	16.296					
48	20/05/22	09:00:00	16.272					
49	20/05/22	10:00:00	16.296					
50	20/05/22	11:00:00	16.606					
51	20/05/22	12:00:00	16.654					
52	20/05/22	13:00:00	16.392					
53	20/05/22	14:00:00	16.463					
54	20/05/22	15:00:00	16.534					
55	20/05/22	16:00:00	16.487					
56	20/05/22	17:00:00	16.630					
57	20/05/22	18:00:00	16.558					
58	20/05/22	19:00:00	16.582					
59	20/05/22	20:00:00	16.511					
60	20/05/22	21:00:00	16.225					
61	20/05/22	22:00:00	16.225					
62	20/05/22	23:00:00	16.249					
63	21/05/22	00:00:00	16.415					
64	21/05/22	01:00:00	16.463					
65	21/05/22	02:00:00	16.892					
66	21/05/22	03:00:00	16.344					
67	21/05/22	04:00:00	16.439					
68	21/05/22	05:00:00	17.201					
69	21/05/22	06:00:00	17.891					
70	21/05/22	07:00:00	17.153					
71	21/05/22	08:00:00	17.082					
72	21/05/22	09:00:00	17.177					
73	21/05/22	10:00:00	17.153					
74	21/05/22	11:00:00	16.939					
75	21/05/22	12:00:00	17.082					
76	21/05/22	13:00:00	17.653					
77	21/05/22	14:00:00	17.225					
78	21/05/22	15:00:00	17.605					
79	21/05/22	16:00:00	17.201					
80	21/05/22	17:00:00	17.463					
81	21/05/22	18:00:00	17.558					
82	21/05/22	19:00:00	17.439					
83	21/05/22	20:00:00	17.629					
84	21/05/22	21:00:00	17.605					
85	21/05/22	22:00:00	17.368					
86	21/05/22	23:00:00	17.296					
87	22/05/22	00:00:00	17.153					
88	22/05/22	01:00:00	16.654					
89	22/05/22	02:00:00	16.558					
90	22/05/22	03:00:00	16.534					
91	22/05/22	04:00:00	16.725					
92	22/05/22	05:00:00	16.987					
93	22/05/22	06:00:00	17.106					
94	22/05/22	07:00:00	17.058					
95	22/05/22	08:00:00	17.082					
96	22/05/22	09:00:00	17.701					
97	22/05/22	10:00:00	18.105					
98	22/05/22	11:00:00	18.652					
99	22/05/22	12:00:00	17.867					
100	22/05/22	13:00:00	17.391					
101	22/05/22	14:00:00	17.391					
102	22/05/22	15:00:00	17.296					
103	22/05/22	16:00:00	17.296					
104	22/05/22	17:00:00	17.296					
105	22/05/22	18:00:00	17.249					
106	22/05/22	19:00:00	16.725					
107	22/05/22	20:00:00	16.392					
108	22/05/22	21:00:00	16.749					
109	22/05/22	22:00:00	16.654					
110	22/05/22	23:00:00	16.487					
111	23/05/22	00:00:00	16.463					
112	23/05/22	01:00:00	16.558					
