"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954381, SEN S/N: 20954381, LBL: Porros_5m_130722)"	"Acoplador separado (LGR S/N: 20954381, SEN S/N: 20954381)"	"Acoplador adjunto (LGR S/N: 20954381, SEN S/N: 20954381)"	"Host conectado (LGR S/N: 20954381, SEN S/N: 20954381)"	"Parado (LGR S/N: 20954381, SEN S/N: 20954381)"	"Final de archivo (LGR S/N: 20954381, SEN S/N: 20954381)"
1	13/07/22	16:00:00	32.021	Registrado				
2	13/07/22	17:00:00	26.012					
3	13/07/22	18:00:00	25.380					
4	13/07/22	19:00:00	25.453					
5	13/07/22	20:00:00	25.477					
6	13/07/22	21:00:00	25.695					
7	13/07/22	22:00:00	25.671					
8	13/07/22	23:00:00	25.647					
9	14/07/22	00:00:00	25.574					
10	14/07/22	01:00:00	25.647					
11	14/07/22	02:00:00	25.647					
12	14/07/22	03:00:00	25.720					
13	14/07/22	04:00:00	25.841					
14	14/07/22	05:00:00	25.647					
15	14/07/22	06:00:00	25.550					
16	14/07/22	07:00:00	25.477					
17	14/07/22	08:00:00	25.477					
18	14/07/22	09:00:00	25.477					
19	14/07/22	10:00:00	25.525					
20	14/07/22	11:00:00	25.720					
21	14/07/22	12:00:00	26.061					
22	14/07/22	13:00:00	26.256					
23	14/07/22	14:00:00	26.134					
24	14/07/22	15:00:00	25.890					
25	14/07/22	16:00:00	26.012					
26	14/07/22	17:00:00	25.841					
27	14/07/22	18:00:00	26.109					
28	14/07/22	19:00:00	26.085					
29	14/07/22	20:00:00	25.574					
30	14/07/22	21:00:00	25.671					
31	14/07/22	22:00:00	25.939					
32	14/07/22	23:00:00	26.036					
33	15/07/22	00:00:00	26.109					
34	15/07/22	01:00:00	26.329					
35	15/07/22	02:00:00	26.353					
36	15/07/22	03:00:00	26.426					
37	15/07/22	04:00:00	25.987					
38	15/07/22	05:00:00	25.793					
39	15/07/22	06:00:00	25.963					
40	15/07/22	07:00:00	25.890					
41	15/07/22	08:00:00	25.866					
42	15/07/22	09:00:00	25.793					
43	15/07/22	10:00:00	25.768					
44	15/07/22	11:00:00	26.353					
45	15/07/22	12:00:00	26.500					
46	15/07/22	13:00:00	26.720					
47	15/07/22	14:00:00	26.402					
48	15/07/22	15:00:00	26.402					
49	15/07/22	16:00:00	26.671					
50	15/07/22	17:00:00	26.549					
51	15/07/22	18:00:00	26.549					
52	15/07/22	19:00:00	26.402					
53	15/07/22	20:00:00	26.426					
54	15/07/22	21:00:00	26.329					
55	15/07/22	22:00:00	26.378					
56	15/07/22	23:00:00	26.720					
57	16/07/22	00:00:00	26.891					
58	16/07/22	01:00:00	26.989					
59	16/07/22	02:00:00	27.038					
60	16/07/22	03:00:00	27.038					
61	16/07/22	04:00:00	27.038					
62	16/07/22	05:00:00	27.014					
63	16/07/22	06:00:00	27.014					
64	16/07/22	07:00:00	26.940					
65	16/07/22	08:00:00	26.891					
66	16/07/22	09:00:00	26.842					
67	16/07/22	10:00:00	26.989					
68	16/07/22	11:00:00	27.112					
69	16/07/22	12:00:00	27.186					
70	16/07/22	13:00:00	27.284					
71	16/07/22	14:00:00	27.407					
72	16/07/22	15:00:00	27.554					
73	16/07/22	16:00:00	27.604					
74	16/07/22	17:00:00	26.989					
75	16/07/22	18:00:00	27.014					
76	16/07/22	19:00:00	27.014					
77	16/07/22	20:00:00	27.014					
78	16/07/22	21:00:00	27.038					
79	16/07/22	22:00:00	27.038					
80	16/07/22	23:00:00	27.112					
81	17/07/22	00:00:00	27.136					
82	17/07/22	01:00:00	26.916					
83	17/07/22	02:00:00	27.161					
84	17/07/22	03:00:00	27.259					
85	17/07/22	04:00:00	27.284					
86	17/07/22	05:00:00	27.259					
87	17/07/22	06:00:00	27.186					
88	17/07/22	07:00:00	27.235					
89	17/07/22	08:00:00	27.210					
90	17/07/22	09:00:00	27.284					
91	17/07/22	10:00:00	27.358					
92	17/07/22	11:00:00	27.333					
93	17/07/22	12:00:00	27.628					
94	17/07/22	13:00:00	27.751					
95	17/07/22	14:00:00	27.628					
96	17/07/22	15:00:00	27.628					
97	17/07/22	16:00:00	27.530					
98	17/07/22	17:00:00	27.456					
99	17/07/22	18:00:00	27.333					
100	17/07/22	19:00:00	27.284					
101	17/07/22	20:00:00	27.235					
102	17/07/22	21:00:00	27.210					
103	17/07/22	22:00:00	27.235					
104	17/07/22	23:00:00	27.259					
105	18/07/22	00:00:00	27.308					
106	18/07/22	01:00:00	27.505					
107	18/07/22	02:00:00	27.481					
108	18/07/22	03:00:00	27.407					
109	18/07/22	04:00:00	27.505					
110	18/07/22	05:00:00	27.456					
111	18/07/22	06:00:00	27.431					
112	18/07/22	07:00:00	26.916					
113	18/07/22	08:00:00	26.720					
114	18/07/22	09:00:00	26.622					
115	18/07/22	10:00:00	26.965					
116	18/07/22	11:00:00	26.744					
117	18/07/22	12:00:00	27.308					
118	18/07/22	13:00:00	27.235					
119	18/07/22	14:00:00	27.087					
120	18/07/22	15:00:00	26.451					
121	18/07/22	16:00:00	25.987					
122	18/07/22	17:00:00	25.890					
123	18/07/22	18:00:00	26.426					
124	18/07/22	19:00:00	26.304					
125	18/07/22	20:00:00	26.158					
126	18/07/22	21:00:00	26.256					
127	18/07/22	22:00:00	26.940					
128	18/07/22	23:00:00	27.063					
129	19/07/22	00:00:00	26.231					
130	19/07/22	01:00:00	27.186					
131	19/07/22	02:00:00	27.161					
132	19/07/22	03:00:00	27.136					
133	19/07/22	04:00:00	27.136					
134	19/07/22	05:00:00	25.671					
135	19/07/22	06:00:00	27.014					
136	19/07/22	07:00:00	26.109					
137	19/07/22	08:00:00	27.136					
138	19/07/22	09:00:00	25.866					
139	19/07/22	10:00:00	25.841					
140	19/07/22	11:00:00	25.987					
141	19/07/22	12:00:00	26.158					
142	19/07/22	13:00:00	26.500					
143	19/07/22	14:00:00	26.549					
144	19/07/22	15:00:00	26.475					
145	19/07/22	16:00:00	26.549					
146	19/07/22	17:00:00	26.475					
147	19/07/22	18:00:00	26.598					
148	19/07/22	19:00:00	26.304					
149	19/07/22	20:00:00	26.207					
150	19/07/22	21:00:00	26.426					
151	19/07/22	22:00:00	26.158					
152	19/07/22	23:00:00	26.134					
153	20/07/22	00:00:00	26.012					
154	20/07/22	01:00:00	25.939					
155	20/07/22	02:00:00	26.402					
156	20/07/22	03:00:00	26.744					
157	20/07/22	04:00:00	26.842					
158	20/07/22	05:00:00	26.451					
159	20/07/22	06:00:00	26.695					
160	20/07/22	07:00:00	26.500					
161	20/07/22	08:00:00	26.916					
162	20/07/22	09:00:00	27.235					
163	20/07/22	10:00:00	26.793					
164	20/07/22	11:00:00	26.842					
165	20/07/22	12:00:00	26.965					
166	20/07/22	13:00:00	27.014					
167	20/07/22	14:00:00	26.940					
168	20/07/22	15:00:00	26.818					
169	20/07/22	16:00:00	26.793					
170	20/07/22	17:00:00	26.744					
171	20/07/22	18:00:00	26.842					
172	20/07/22	19:00:00	26.940					
173	20/07/22	20:00:00	26.891					
174	20/07/22	21:00:00	26.744					
175	20/07/22	22:00:00	26.769					
176	20/07/22	23:00:00	26.965					
177	21/07/22	00:00:00	27.308					
178	21/07/22	01:00:00	27.382					
179	21/07/22	02:00:00	27.186					
180	21/07/22	03:00:00	26.793					
181	21/07/22	04:00:00	27.259					
182	21/07/22	05:00:00	26.940					
183	21/07/22	06:00:00	26.573					
184	21/07/22	07:00:00	26.744					
185	21/07/22	08:00:00	26.598					
186	21/07/22	09:00:00	26.524					
187	21/07/22	10:00:00	26.598					
188	21/07/22	11:00:00	26.744					
189	21/07/22	12:00:00	26.671					
190	21/07/22	13:00:00	26.622					
191	21/07/22	14:00:00	26.646					
192	21/07/22	15:00:00	26.793					
193	21/07/22	16:00:00	26.573					
194	21/07/22	17:00:00	26.793					
195	21/07/22	18:00:00	27.063					
196	21/07/22	19:00:00	26.940					
197	21/07/22	20:00:00	26.378					
198	21/07/22	21:00:00	26.500					
199	21/07/22	22:00:00	26.720					
200	21/07/22	23:00:00	26.916					
201	22/07/22	00:00:00	26.769					
202	22/07/22	01:00:00	26.524					
203	22/07/22	02:00:00	26.646					
204	22/07/22	03:00:00	26.842					
205	22/07/22	04:00:00	27.284					
206	22/07/22	05:00:00	27.456					
207	22/07/22	06:00:00	26.012					
208	22/07/22	07:00:00	26.720					
209	22/07/22	08:00:00	26.280					
210	22/07/22	09:00:00	26.109					
211	22/07/22	10:00:00	25.671					
212	22/07/22	11:00:00	25.890					
213	22/07/22	12:00:00	26.378					
214	22/07/22	13:00:00	26.549					
215	22/07/22	14:00:00	26.280					
216	22/07/22	15:00:00	26.646					
217	22/07/22	16:00:00	26.940					
218	22/07/22	17:00:00	27.063					
219	22/07/22	18:00:00	27.087					
220	22/07/22	19:00:00	27.038					
221	22/07/22	20:00:00	26.549					
222	22/07/22	21:00:00	26.671					
223	22/07/22	22:00:00	26.720					
224	22/07/22	23:00:00	26.989					
225	23/07/22	00:00:00	27.186					
226	23/07/22	01:00:00	27.407					
227	23/07/22	02:00:00	27.358					
228	23/07/22	03:00:00	27.653					
229	23/07/22	04:00:00	27.702					
230	23/07/22	05:00:00	27.751					
231	23/07/22	06:00:00	27.358					
232	23/07/22	07:00:00	27.727					
233	23/07/22	08:00:00	27.308					
234	23/07/22	09:00:00	27.382					
235	23/07/22	10:00:00	27.554					
236	23/07/22	11:00:00	27.751					
237	23/07/22	12:00:00	27.899					
238	23/07/22	13:00:00	27.653					
239	23/07/22	14:00:00	27.431					
240	23/07/22	15:00:00	27.161					
241	23/07/22	16:00:00	27.456					
242	23/07/22	17:00:00	27.579					
243	23/07/22	18:00:00	27.284					
244	23/07/22	19:00:00	27.431					
245	23/07/22	20:00:00	27.801					
246	23/07/22	21:00:00	27.776					
247	23/07/22	22:00:00	27.727					
