"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20291508, SEN S/N: 20291508, LBL: Porros_25m)"	"Acoplador separado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Acoplador adjunto (LGR S/N: 20291508, SEN S/N: 20291508)"	"Host conectado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Parado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Final de archivo (LGR S/N: 20291508, SEN S/N: 20291508)"
1	18/05/22	10:00:00	20.793	Registrado				
2	18/05/22	11:00:00	22.417					
3	18/05/22	12:00:00	20.269					
4	18/05/22	13:00:00	17.891					
5	18/05/22	14:00:00	17.962					
6	18/05/22	15:00:00	18.033					
7	18/05/22	16:00:00	18.081					
8	18/05/22	17:00:00	17.677					
9	18/05/22	18:00:00	17.106					
10	18/05/22	19:00:00	17.748					
11	18/05/22	20:00:00	17.629					
12	18/05/22	21:00:00	17.534					
13	18/05/22	22:00:00	17.439					
14	18/05/22	23:00:00	17.249					
15	19/05/22	00:00:00	17.106					
16	19/05/22	01:00:00	17.130					
17	19/05/22	02:00:00	17.344					
18	19/05/22	03:00:00	17.534					
19	19/05/22	04:00:00	17.534					
20	19/05/22	05:00:00	16.487					
21	19/05/22	06:00:00	16.582					
22	19/05/22	07:00:00	16.630					
23	19/05/22	08:00:00	16.749					
24	19/05/22	09:00:00	16.606					
25	19/05/22	10:00:00	16.725					
26	19/05/22	11:00:00	16.773					
27	19/05/22	12:00:00	16.725					
28	19/05/22	13:00:00	16.749					
29	19/05/22	14:00:00	16.796					
30	19/05/22	15:00:00	16.749					
31	19/05/22	16:00:00	16.249					
32	19/05/22	17:00:00	16.773					
33	19/05/22	18:00:00	16.773					
34	19/05/22	19:00:00	16.630					
35	19/05/22	20:00:00	16.439					
36	19/05/22	21:00:00	16.392					
37	19/05/22	22:00:00	16.439					
38	19/05/22	23:00:00	16.344					
39	20/05/22	00:00:00	16.296					
40	20/05/22	01:00:00	16.320					
41	20/05/22	02:00:00	16.392					
42	20/05/22	03:00:00	16.415					
43	20/05/22	04:00:00	16.487					
44	20/05/22	05:00:00	16.534					
45	20/05/22	06:00:00	16.463					
46	20/05/22	07:00:00	16.415					
47	20/05/22	08:00:00	16.415					
48	20/05/22	09:00:00	16.415					
49	20/05/22	10:00:00	16.582					
50	20/05/22	11:00:00	16.677					
51	20/05/22	12:00:00	16.749					
52	20/05/22	13:00:00	16.749					
53	20/05/22	14:00:00	16.654					
54	20/05/22	15:00:00	16.654					
55	20/05/22	16:00:00	16.677					
56	20/05/22	17:00:00	16.654					
