"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10933126, SEN S/N: 10933126, LBL: Aire_05m_Febrero_2021)"	"Acoplador separado (LGR S/N: 10933126, SEN S/N: 10933126)"	"Acoplador adjunto (LGR S/N: 10933126, SEN S/N: 10933126)"	"Host conectado (LGR S/N: 10933126, SEN S/N: 10933126)"	"Parado (LGR S/N: 10933126, SEN S/N: 10933126)"	"Final de archivo (LGR S/N: 10933126, SEN S/N: 10933126)"
1	04/02/21	14:00:00	14.290	Registrado				
2	04/02/21	15:00:00	14.361					
3	04/02/21	16:00:00	14.337					
4	04/02/21	17:00:00	14.337					
5	04/02/21	18:00:00	14.314					
6	04/02/21	19:00:00	14.314					
7	04/02/21	20:00:00	14.481					
8	04/02/21	21:00:00	14.433					
9	04/02/21	22:00:00	14.385					
10	04/02/21	23:00:00	14.361					
11	05/02/21	00:00:00	14.409					
12	05/02/21	01:00:00	14.409					
13	05/02/21	02:00:00	14.385					
14	05/02/21	03:00:00	14.361					
15	05/02/21	04:00:00	14.314					
16	05/02/21	05:00:00	14.290					
17	05/02/21	06:00:00	14.266					
18	05/02/21	07:00:00	14.266					
19	05/02/21	08:00:00	14.242					
20	05/02/21	09:00:00	14.218					
21	05/02/21	10:00:00	14.242					
22	05/02/21	11:00:00	14.505					
23	05/02/21	12:00:00	14.577					
24	05/02/21	13:00:00	14.673					
25	05/02/21	14:00:00	14.697					
26	05/02/21	15:00:00	14.601					
27	05/02/21	16:00:00	15.055					
28	05/02/21	17:00:00	14.864					
29	05/02/21	18:00:00	14.529					
30	05/02/21	19:00:00	14.433					
31	05/02/21	20:00:00	14.457					
32	05/02/21	21:00:00	14.433					
33	05/02/21	22:00:00	14.385					
34	05/02/21	23:00:00	14.337					
35	06/02/21	00:00:00	14.505					
36	06/02/21	01:00:00	14.649					
37	06/02/21	02:00:00	14.697					
38	06/02/21	03:00:00	14.721					
39	06/02/21	04:00:00	14.721					
40	06/02/21	05:00:00	14.745					
41	06/02/21	06:00:00	14.768					
42	06/02/21	07:00:00	14.768					
43	06/02/21	08:00:00	14.768					
44	06/02/21	09:00:00	14.721					
45	06/02/21	10:00:00	14.505					
46	06/02/21	11:00:00	14.529					
47	06/02/21	12:00:00	14.577					
48	06/02/21	13:00:00	14.457					
49	06/02/21	14:00:00	14.505					
50	06/02/21	15:00:00	14.529					
51	06/02/21	16:00:00	14.577					
52	06/02/21	17:00:00	14.697					
53	06/02/21	18:00:00	14.577					
54	06/02/21	19:00:00	14.673					
55	06/02/21	20:00:00	14.625					
56	06/02/21	21:00:00	14.553					
57	06/02/21	22:00:00	14.529					
58	06/02/21	23:00:00	14.457					
59	07/02/21	00:00:00	14.433					
60	07/02/21	01:00:00	14.433					
61	07/02/21	02:00:00	14.385					
62	07/02/21	03:00:00	14.242					
63	07/02/21	04:00:00	14.242					
64	07/02/21	05:00:00	14.218					
65	07/02/21	06:00:00	14.242					
66	07/02/21	07:00:00	14.337					
67	07/02/21	08:00:00	14.314					
68	07/02/21	09:00:00	14.290					
69	07/02/21	10:00:00	14.242					
70	07/02/21	11:00:00	14.361					
71	07/02/21	12:00:00	14.337					
72	07/02/21	13:00:00	14.385					
73	07/02/21	14:00:00	14.266					
74	07/02/21	15:00:00	14.242					
75	07/02/21	16:00:00	14.218					
76	07/02/21	17:00:00	14.218					
77	07/02/21	18:00:00	14.194					
78	07/02/21	19:00:00	14.194					
79	07/02/21	20:00:00	14.194					
80	07/02/21	21:00:00	14.194					
81	07/02/21	22:00:00	14.194					
82	07/02/21	23:00:00	14.481					
83	08/02/21	00:00:00	14.529					
84	08/02/21	01:00:00	14.529					
85	08/02/21	02:00:00	14.553					
86	08/02/21	03:00:00	14.553					
87	08/02/21	04:00:00	14.529					
88	08/02/21	05:00:00	14.457					
89	08/02/21	06:00:00	14.409					
90	08/02/21	07:00:00	14.361					
91	08/02/21	08:00:00	14.290					
92	08/02/21	09:00:00	14.290					
93	08/02/21	10:00:00	14.290					
94	08/02/21	11:00:00	14.242					
95	08/02/21	12:00:00	14.242					
96	08/02/21	13:00:00	14.242					
97	08/02/21	14:00:00	14.242					
98	08/02/21	15:00:00	14.242					
99	08/02/21	16:00:00	14.218					
100	08/02/21	17:00:00	14.218					
101	08/02/21	18:00:00	14.242					
102	08/02/21	19:00:00	14.218					
103	08/02/21	20:00:00	14.170					
104	08/02/21	21:00:00	14.170					
105	08/02/21	22:00:00	14.170					
106	08/02/21	23:00:00	14.146					
107	09/02/21	00:00:00	14.146					
108	09/02/21	01:00:00	14.170					
109	09/02/21	02:00:00	14.170					
110	09/02/21	03:00:00	14.146					
111	09/02/21	04:00:00	14.146					
112	09/02/21	05:00:00	14.146					
113	09/02/21	06:00:00	14.146					
114	09/02/21	07:00:00	14.146					
115	09/02/21	08:00:00	14.146					
116	09/02/21	09:00:00	14.146					
117	09/02/21	10:00:00	14.122					
118	09/02/21	11:00:00	14.122					
119	09/02/21	12:00:00	14.122					
120	09/02/21	13:00:00	14.122					
121	09/02/21	14:00:00	14.146					
122	09/02/21	15:00:00	14.146					
123	09/02/21	16:00:00	14.146					
124	09/02/21	17:00:00	14.170					
125	09/02/21	18:00:00	14.194					
126	09/02/21	19:00:00	14.170					
127	09/02/21	20:00:00	14.290					
128	09/02/21	21:00:00	14.290					
129	09/02/21	22:00:00	14.242					
130	09/02/21	23:00:00	14.194					
131	10/02/21	00:00:00	14.170					
132	10/02/21	01:00:00	14.194					
133	10/02/21	02:00:00	14.194					
134	10/02/21	03:00:00	14.218					
135	10/02/21	04:00:00	14.242					
136	10/02/21	05:00:00	14.242					
137	10/02/21	06:00:00	14.242					
138	10/02/21	07:00:00	14.242					
139	10/02/21	08:00:00	14.242					
140	10/02/21	09:00:00	14.218					
141	10/02/21	10:00:00	14.194					
142	10/02/21	11:00:00	14.194					
143	10/02/21	12:00:00	14.194					
144	10/02/21	13:00:00	14.218					
145	10/02/21	14:00:00	14.218					
146	10/02/21	15:00:00	14.218					
147	10/02/21	16:00:00	14.218					
148	10/02/21	17:00:00	14.218					
149	10/02/21	18:00:00	14.218					
150	10/02/21	19:00:00	14.194					
151	10/02/21	20:00:00	14.170					
152	10/02/21	21:00:00	14.146					
153	10/02/21	22:00:00	14.170					
154	10/02/21	23:00:00	14.170					
155	11/02/21	00:00:00	14.170					
156	11/02/21	01:00:00	14.146					
157	11/02/21	02:00:00	14.146					
158	11/02/21	03:00:00	14.146					
159	11/02/21	04:00:00	14.122					
160	11/02/21	05:00:00	14.122					
161	11/02/21	06:00:00	14.122					
162	11/02/21	07:00:00	14.122					
163	11/02/21	08:00:00	14.122					
164	11/02/21	09:00:00	14.122					
165	11/02/21	10:00:00	14.146					
166	11/02/21	11:00:00	14.170					
167	11/02/21	12:00:00	14.218					
168	11/02/21	13:00:00	14.314					
169	11/02/21	14:00:00	14.242					
170	11/02/21	15:00:00	14.266					
171	11/02/21	16:00:00	14.337					
172	11/02/21	17:00:00	14.361					
173	11/02/21	18:00:00	14.361					
174	11/02/21	19:00:00	14.194					
175	11/02/21	20:00:00	14.146					
176	11/02/21	21:00:00	14.146					
177	11/02/21	22:00:00	14.170					
178	11/02/21	23:00:00	14.170					
179	12/02/21	00:00:00	14.170					
180	12/02/21	01:00:00	14.170					
181	12/02/21	02:00:00	14.170					
182	12/02/21	03:00:00	14.170					
183	12/02/21	04:00:00	14.170					
184	12/02/21	05:00:00	14.170					
185	12/02/21	06:00:00	14.170					
186	12/02/21	07:00:00	14.194					
187	12/02/21	08:00:00	14.194					
188	12/02/21	09:00:00	14.242					
189	12/02/21	10:00:00	14.218					
190	12/02/21	11:00:00	14.242					
191	12/02/21	12:00:00	14.242					
192	12/02/21	13:00:00	14.218					
193	12/02/21	14:00:00	14.242					
194	12/02/21	15:00:00	14.242					
195	12/02/21	16:00:00	14.218					
196	12/02/21	17:00:00	14.218					
197	12/02/21	18:00:00	14.218					
198	12/02/21	19:00:00	14.218					
199	12/02/21	20:00:00	14.218					
200	12/02/21	21:00:00	14.242					
201	12/02/21	22:00:00	14.242					
202	12/02/21	23:00:00	14.218					
203	13/02/21	00:00:00	14.194					
204	13/02/21	01:00:00	14.194					
205	13/02/21	02:00:00	14.194					
206	13/02/21	03:00:00	14.194					
207	13/02/21	04:00:00	14.194					
208	13/02/21	05:00:00	14.194					
209	13/02/21	06:00:00	14.170					
210	13/02/21	07:00:00	14.146					
211	13/02/21	08:00:00	14.074					
212	13/02/21	09:00:00	14.098					
213	13/02/21	10:00:00	14.122					
214	13/02/21	11:00:00	14.122					
215	13/02/21	12:00:00	14.122					
216	13/02/21	13:00:00	14.122					
217	13/02/21	14:00:00	14.122					
218	13/02/21	15:00:00	14.194					
219	13/02/21	16:00:00	14.170					
220	13/02/21	17:00:00	14.146					
221	13/02/21	18:00:00	14.098					
222	13/02/21	19:00:00	14.098					
223	13/02/21	20:00:00	14.098					
224	13/02/21	21:00:00	14.122					
225	13/02/21	22:00:00	14.122					
226	13/02/21	23:00:00	14.194					
227	14/02/21	00:00:00	14.194					
228	14/02/21	01:00:00	14.194					
229	14/02/21	02:00:00	14.194					
230	14/02/21	03:00:00	14.170					
231	14/02/21	04:00:00	14.146					
232	14/02/21	05:00:00	14.098					
233	14/02/21	06:00:00	14.050					
234	14/02/21	07:00:00	14.026					
235	14/02/21	08:00:00	14.026					
236	14/02/21	09:00:00	14.026					
237	14/02/21	10:00:00	14.026					
238	14/02/21	11:00:00	14.050					
239	14/02/21	12:00:00	14.050					
240	14/02/21	13:00:00	14.266					
241	14/02/21	14:00:00	14.050					
242	14/02/21	15:00:00	14.337					
243	14/02/21	16:00:00	14.481					
244	14/02/21	17:00:00	14.457					
245	14/02/21	18:00:00	14.433					
246	14/02/21	19:00:00	14.409					
247	14/02/21	20:00:00	14.385					
