"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10718615, SEN S/N: 10718615, LBL: Porros_20m_05022021)"	"Acoplador separado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Acoplador adjunto (LGR S/N: 10718615, SEN S/N: 10718615)"	"Host conectado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Parado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Final de archivo (LGR S/N: 10718615, SEN S/N: 10718615)"
135	11/02/21	02:00:00	14.002					
136	11/02/21	03:00:00	14.002					
137	11/02/21	04:00:00	13.978					
138	11/02/21	05:00:00	13.978					
139	11/02/21	06:00:00	13.978					
140	11/02/21	07:00:00	13.978					
141	11/02/21	08:00:00	13.978					
142	11/02/21	09:00:00	13.978					
143	11/02/21	10:00:00	13.978					
144	11/02/21	11:00:00	13.978					
145	11/02/21	12:00:00	13.978					
146	11/02/21	13:00:00	13.978					
147	11/02/21	14:00:00	14.050					
148	11/02/21	15:00:00	14.074					
149	11/02/21	16:00:00	14.002					
150	11/02/21	17:00:00	14.026					
151	11/02/21	18:00:00	14.050					
152	11/02/21	19:00:00	14.050					
153	11/02/21	20:00:00	14.002					
154	11/02/21	21:00:00	14.002					
155	11/02/21	22:00:00	13.978					
156	11/02/21	23:00:00	14.002					
157	12/02/21	00:00:00	14.026					
158	12/02/21	01:00:00	14.002					
159	12/02/21	02:00:00	14.026					
160	12/02/21	03:00:00	14.026					
161	12/02/21	04:00:00	14.002					
162	12/02/21	05:00:00	14.002					
163	12/02/21	06:00:00	14.002					
164	12/02/21	07:00:00	14.002					
165	12/02/21	08:00:00	13.978					
166	12/02/21	09:00:00	13.978					
167	12/02/21	10:00:00	13.978					
168	12/02/21	11:00:00	13.978					
169	12/02/21	12:00:00	14.002					
170	12/02/21	13:00:00	14.026					
171	12/02/21	14:00:00	14.026					
172	12/02/21	15:00:00	14.050					
173	12/02/21	16:00:00	14.050					
174	12/02/21	17:00:00	14.050					
175	12/02/21	18:00:00	14.050					
176	12/02/21	19:00:00	14.050					
177	12/02/21	20:00:00	14.050					
178	12/02/21	21:00:00	14.026					
179	12/02/21	22:00:00	14.026					
180	12/02/21	23:00:00	14.026					
181	13/02/21	00:00:00	14.002					
182	13/02/21	01:00:00	14.002					
183	13/02/21	02:00:00	13.978					
184	13/02/21	03:00:00	13.978					
185	13/02/21	04:00:00	13.978					
186	13/02/21	05:00:00	13.978					
187	13/02/21	06:00:00	13.954					
188	13/02/21	07:00:00	13.954					
189	13/02/21	08:00:00	13.954					
190	13/02/21	09:00:00	13.954					
191	13/02/21	10:00:00	13.930					
192	13/02/21	11:00:00	13.930					
193	13/02/21	12:00:00	13.930					
194	13/02/21	13:00:00	13.930					
195	13/02/21	14:00:00	13.954					
196	13/02/21	15:00:00	13.978					
197	13/02/21	16:00:00	13.978					
198	13/02/21	17:00:00	13.978					
199	13/02/21	18:00:00	13.954					
200	13/02/21	19:00:00	13.978					
201	13/02/21	20:00:00	13.954					
202	13/02/21	21:00:00	13.954					
203	13/02/21	22:00:00	13.954					
204	13/02/21	23:00:00	13.954					
205	14/02/21	00:00:00	13.954					
206	14/02/21	01:00:00	13.954					
207	14/02/21	02:00:00	13.930					
208	14/02/21	03:00:00	13.930					
209	14/02/21	04:00:00	13.930					
210	14/02/21	05:00:00	13.930					
211	14/02/21	06:00:00	13.930					
212	14/02/21	07:00:00	13.906					
213	14/02/21	08:00:00	13.906					
214	14/02/21	09:00:00	13.906					
215	14/02/21	10:00:00	13.882					
216	14/02/21	11:00:00	13.882					
217	14/02/21	12:00:00	13.882					
218	14/02/21	13:00:00	13.882					
219	14/02/21	14:00:00	13.906					
220	14/02/21	15:00:00	13.882					
221	14/02/21	16:00:00	13.858					
222	14/02/21	17:00:00	13.858					
223	14/02/21	18:00:00	13.858					
224	14/02/21	19:00:00	13.834					
225	14/02/21	20:00:00	13.834					
226	14/02/21	21:00:00	13.834					
227	14/02/21	22:00:00	13.810					
228	14/02/21	23:00:00	13.810					
229	15/02/21	00:00:00	13.810					
230	15/02/21	01:00:00	13.810					
231	15/02/21	02:00:00	13.786					
232	15/02/21	03:00:00	13.786					
233	15/02/21	04:00:00	13.786					
234	15/02/21	05:00:00	13.786					
235	15/02/21	06:00:00	13.786					
236	15/02/21	07:00:00	13.762					
237	15/02/21	08:00:00	13.762					
238	15/02/21	09:00:00	13.762					
239	15/02/21	10:00:00	13.786					
240	15/02/21	11:00:00	13.786					
241	15/02/21	12:00:00	13.810					
242	15/02/21	13:00:00	13.834					
243	15/02/21	14:00:00	13.834					
244	15/02/21	15:00:00	13.810					
245	15/02/21	16:00:00	13.786					
246	15/02/21	17:00:00	13.762					
247	15/02/21	18:00:00	13.762					
248	15/02/21	19:00:00	13.762					
249	15/02/21	20:00:00	13.762					
250	15/02/21	21:00:00	13.762					
251	15/02/21	22:00:00	13.762					
252	15/02/21	23:00:00	13.762					
253	16/02/21	00:00:00	13.762					
254	16/02/21	01:00:00	13.762					
255	16/02/21	02:00:00	13.738					
256	16/02/21	03:00:00	13.738					
257	16/02/21	04:00:00	13.738					
258	16/02/21	05:00:00	13.714					
259	16/02/21	06:00:00	13.714					
260	16/02/21	07:00:00	13.714					
261	16/02/21	08:00:00	13.714					
