"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10933124, SEN S/N: 10933124, LBL: Aire_10m_Febrero_2021)"	"Acoplador separado (LGR S/N: 10933124, SEN S/N: 10933124)"	"Acoplador adjunto (LGR S/N: 10933124, SEN S/N: 10933124)"	"Host conectado (LGR S/N: 10933124, SEN S/N: 10933124)"	"Parado (LGR S/N: 10933124, SEN S/N: 10933124)"	"Final de archivo (LGR S/N: 10933124, SEN S/N: 10933124)"
1	04/02/21	14:00:00	14.242	Registrado				
2	04/02/21	15:00:00	14.290					
3	04/02/21	16:00:00	14.266					
4	04/02/21	17:00:00	14.266					
5	04/02/21	18:00:00	14.218					
6	04/02/21	19:00:00	14.218					
7	04/02/21	20:00:00	14.433					
8	04/02/21	21:00:00	14.385					
9	04/02/21	22:00:00	14.218					
10	04/02/21	23:00:00	14.266					
11	05/02/21	00:00:00	14.290					
12	05/02/21	01:00:00	14.290					
13	05/02/21	02:00:00	14.314					
14	05/02/21	03:00:00	14.266					
15	05/02/21	04:00:00	14.242					
16	05/02/21	05:00:00	14.218					
17	05/02/21	06:00:00	14.194					
18	05/02/21	07:00:00	14.170					
19	05/02/21	08:00:00	14.170					
20	05/02/21	09:00:00	14.170					
21	05/02/21	10:00:00	14.194					
22	05/02/21	11:00:00	14.457					
23	05/02/21	12:00:00	14.577					
24	05/02/21	13:00:00	14.529					
25	05/02/21	14:00:00	14.457					
26	05/02/21	15:00:00	14.385					
27	05/02/21	16:00:00	14.888					
28	05/02/21	17:00:00	14.529					
29	05/02/21	18:00:00	14.385					
30	05/02/21	19:00:00	14.337					
31	05/02/21	20:00:00	14.385					
32	05/02/21	21:00:00	14.337					
33	05/02/21	22:00:00	14.242					
34	05/02/21	23:00:00	14.266					
35	06/02/21	00:00:00	14.481					
36	06/02/21	01:00:00	14.577					
37	06/02/21	02:00:00	14.673					
38	06/02/21	03:00:00	14.673					
39	06/02/21	04:00:00	14.697					
40	06/02/21	05:00:00	14.721					
41	06/02/21	06:00:00	14.721					
42	06/02/21	07:00:00	14.721					
43	06/02/21	08:00:00	14.721					
44	06/02/21	09:00:00	14.697					
45	06/02/21	10:00:00	14.385					
46	06/02/21	11:00:00	14.457					
47	06/02/21	12:00:00	14.505					
48	06/02/21	13:00:00	14.385					
49	06/02/21	14:00:00	14.385					
50	06/02/21	15:00:00	14.290					
51	06/02/21	16:00:00	14.385					
52	06/02/21	17:00:00	14.553					
53	06/02/21	18:00:00	14.553					
54	06/02/21	19:00:00	14.601					
55	06/02/21	20:00:00	14.577					
56	06/02/21	21:00:00	14.385					
57	06/02/21	22:00:00	14.481					
58	06/02/21	23:00:00	14.385					
59	07/02/21	00:00:00	14.409					
60	07/02/21	01:00:00	14.385					
61	07/02/21	02:00:00	14.337					
62	07/02/21	03:00:00	14.194					
63	07/02/21	04:00:00	14.170					
64	07/02/21	05:00:00	14.194					
65	07/02/21	06:00:00	14.218					
66	07/02/21	07:00:00	14.290					
67	07/02/21	08:00:00	14.266					
68	07/02/21	09:00:00	14.218					
69	07/02/21	10:00:00	14.194					
70	07/02/21	11:00:00	14.314					
71	07/02/21	12:00:00	14.314					
72	07/02/21	13:00:00	14.337					
73	07/02/21	14:00:00	14.242					
74	07/02/21	15:00:00	14.194					
75	07/02/21	16:00:00	14.194					
76	07/02/21	17:00:00	14.170					
77	07/02/21	18:00:00	14.170					
78	07/02/21	19:00:00	14.146					
79	07/02/21	20:00:00	14.146					
80	07/02/21	21:00:00	14.146					
81	07/02/21	22:00:00	14.146					
82	07/02/21	23:00:00	14.433					
83	08/02/21	00:00:00	14.481					
84	08/02/21	01:00:00	14.481					
85	08/02/21	02:00:00	14.505					
86	08/02/21	03:00:00	14.505					
