"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20364089, SEN S/N: 20364089, LBL: Porros_20m)"	"Acoplador separado (LGR S/N: 20364089, SEN S/N: 20364089)"	"Acoplador adjunto (LGR S/N: 20364089, SEN S/N: 20364089)"	"Host conectado (LGR S/N: 20364089, SEN S/N: 20364089)"	"Parado (LGR S/N: 20364089, SEN S/N: 20364089)"	"Final de archivo (LGR S/N: 20364089, SEN S/N: 20364089)"
1	18/05/22	10:00:00	20.793	Registrado				
2	18/05/22	11:00:00	22.321					
3	18/05/22	12:00:00	20.007					
4	18/05/22	13:00:00	23.112					
5	18/05/22	14:00:00	24.146					
6	18/05/22	15:00:00	18.414					
7	18/05/22	16:00:00	18.366					
8	18/05/22	17:00:00	18.200					
9	18/05/22	18:00:00	18.105					
10	18/05/22	19:00:00	18.057					
11	18/05/22	20:00:00	18.057					
12	18/05/22	21:00:00	17.915					
13	18/05/22	22:00:00	17.772					
14	18/05/22	23:00:00	17.605					
15	19/05/22	00:00:00	17.819					
16	19/05/22	01:00:00	17.344					
17	19/05/22	02:00:00	17.534					
18	19/05/22	03:00:00	17.629					
19	19/05/22	04:00:00	17.962					
20	19/05/22	05:00:00	17.748					
21	19/05/22	06:00:00	17.463					
22	19/05/22	07:00:00	17.772					
23	19/05/22	08:00:00	17.272					
24	19/05/22	09:00:00	17.153					
25	19/05/22	10:00:00	17.106					
26	19/05/22	11:00:00	16.963					
27	19/05/22	12:00:00	16.987					
28	19/05/22	13:00:00	17.034					
29	19/05/22	14:00:00	17.082					
30	19/05/22	15:00:00	17.106					
31	19/05/22	16:00:00	16.963					
32	19/05/22	17:00:00	16.868					
33	19/05/22	18:00:00	16.939					
34	19/05/22	19:00:00	16.773					
35	19/05/22	20:00:00	16.654					
36	19/05/22	21:00:00	16.463					
37	19/05/22	22:00:00	16.820					
38	19/05/22	23:00:00	16.511					
39	20/05/22	00:00:00	16.534					
40	20/05/22	01:00:00	16.463					
41	20/05/22	02:00:00	16.558					
42	20/05/22	03:00:00	16.511					
43	20/05/22	04:00:00	16.582					
44	20/05/22	05:00:00	16.677					
45	20/05/22	06:00:00	16.749					
46	20/05/22	07:00:00	16.749					
47	20/05/22	08:00:00	16.749					
48	20/05/22	09:00:00	16.677					
49	20/05/22	10:00:00	16.725					
50	20/05/22	11:00:00	16.773					
51	20/05/22	12:00:00	16.844					
52	20/05/22	13:00:00	16.868					
53	20/05/22	14:00:00	16.939					
54	20/05/22	15:00:00	16.915					
55	20/05/22	16:00:00	16.963					
56	20/05/22	17:00:00	16.820					
57	20/05/22	18:00:00	16.868					
58	20/05/22	19:00:00	16.677					
59	20/05/22	20:00:00	16.606					
60	20/05/22	21:00:00	16.773					
61	20/05/22	22:00:00	16.606					
62	20/05/22	23:00:00	16.558					
63	21/05/22	00:00:00	16.796					
64	21/05/22	01:00:00	17.034					
65	21/05/22	02:00:00	17.082					
66	21/05/22	03:00:00	17.082					
67	21/05/22	04:00:00	17.106					
68	21/05/22	05:00:00	17.629					
69	21/05/22	06:00:00	17.915					
70	21/05/22	07:00:00	18.200					
71	21/05/22	08:00:00	17.724					
72	21/05/22	09:00:00	17.486					
73	21/05/22	10:00:00	17.153					
74	21/05/22	11:00:00	17.796					
75	21/05/22	12:00:00	18.390					
76	21/05/22	13:00:00	18.200					
77	21/05/22	14:00:00	18.343					
78	21/05/22	15:00:00	18.390					
79	21/05/22	16:00:00	18.794					
80	21/05/22	17:00:00	18.319					
81	21/05/22	18:00:00	18.390					
82	21/05/22	19:00:00	19.175					
83	21/05/22	20:00:00	18.937					
84	21/05/22	21:00:00	18.176					
85	21/05/22	22:00:00	18.152					
86	21/05/22	23:00:00	18.271					
87	22/05/22	00:00:00	18.771					
88	22/05/22	01:00:00	19.603					
89	22/05/22	02:00:00	19.318					
90	22/05/22	03:00:00	18.913					
91	22/05/22	04:00:00	19.151					
92	22/05/22	05:00:00	19.912					
93	22/05/22	06:00:00	18.247					
94	22/05/22	07:00:00	18.461					
95	22/05/22	08:00:00	18.604					
96	22/05/22	09:00:00	20.269					
97	22/05/22	10:00:00	20.484					
98	22/05/22	11:00:00	20.341					
99	22/05/22	12:00:00	20.317					
100	22/05/22	13:00:00	19.841					
101	22/05/22	14:00:00	19.460					
102	22/05/22	15:00:00	19.984					
103	22/05/22	16:00:00	19.674					
104	22/05/22	17:00:00	20.246					
105	22/05/22	18:00:00	19.341					
106	22/05/22	19:00:00	18.818					
107	22/05/22	20:00:00	19.175					
108	22/05/22	21:00:00	19.508					
109	22/05/22	22:00:00	19.413					
110	22/05/22	23:00:00	18.723					
111	23/05/22	00:00:00	18.366					
112	23/05/22	01:00:00	19.365					
113	23/05/22	02:00:00	18.438					
114	23/05/22	03:00:00	18.057					
115	23/05/22	04:00:00	18.105					
116	23/05/22	05:00:00	18.176					
117	23/05/22	06:00:00	19.555					
118	23/05/22	07:00:00	18.247					
119	23/05/22	08:00:00	19.793					
120	23/05/22	09:00:00	18.295					
121	23/05/22	10:00:00	18.438					
122	23/05/22	11:00:00	19.793					
123	23/05/22	12:00:00	19.912					
124	23/05/22	13:00:00	19.936					
125	23/05/22	14:00:00	20.079					
126	23/05/22	15:00:00	19.246					
127	23/05/22	16:00:00	19.460					
128	23/05/22	17:00:00	19.389					
129	23/05/22	18:00:00	20.079					
130	23/05/22	19:00:00	20.317					
131	23/05/22	20:00:00	20.412					
132	23/05/22	21:00:00	20.507					
133	23/05/22	22:00:00	19.674					
134	23/05/22	23:00:00	18.842					
135	24/05/22	00:00:00	18.818					
136	24/05/22	01:00:00	18.247					
137	24/05/22	02:00:00	18.604					
