"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21202617, SEN S/N: 21202617, LBL: Porros_5m)"	"Acoplador separado (LGR S/N: 21202617, SEN S/N: 21202617)"	"Acoplador adjunto (LGR S/N: 21202617, SEN S/N: 21202617)"	"Host conectado (LGR S/N: 21202617, SEN S/N: 21202617)"	"Parado (LGR S/N: 21202617, SEN S/N: 21202617)"	"Final de archivo (LGR S/N: 21202617, SEN S/N: 21202617)"
1	18/05/22	10:00:00	21.079	Registrado				
2	18/05/22	11:00:00	22.848					
3	18/05/22	12:00:00	20.293					
4	18/05/22	13:00:00	19.318					
5	18/05/22	14:00:00	19.722					
6	18/05/22	15:00:00	19.746					
7	18/05/22	16:00:00	19.722					
8	18/05/22	17:00:00	19.389					
9	18/05/22	18:00:00	19.532					
10	18/05/22	19:00:00	19.389					
11	18/05/22	20:00:00	19.127					
12	18/05/22	21:00:00	18.675					
13	18/05/22	22:00:00	18.675					
14	18/05/22	23:00:00	18.675					
15	19/05/22	00:00:00	18.699					
16	19/05/22	01:00:00	18.652					
17	19/05/22	02:00:00	18.675					
18	19/05/22	03:00:00	18.771					
19	19/05/22	04:00:00	18.818					
20	19/05/22	05:00:00	19.222					
21	19/05/22	06:00:00	19.817					
22	19/05/22	07:00:00	19.103					
23	19/05/22	08:00:00	19.103					
24	19/05/22	09:00:00	19.032					
25	19/05/22	10:00:00	19.032					
26	19/05/22	11:00:00	19.199					
27	19/05/22	12:00:00	19.246					
28	19/05/22	13:00:00	19.318					
29	19/05/22	14:00:00	19.318					
30	19/05/22	15:00:00	19.270					
31	19/05/22	16:00:00	19.175					
32	19/05/22	17:00:00	19.341					
33	19/05/22	18:00:00	19.341					
34	19/05/22	19:00:00	19.246					
35	19/05/22	20:00:00	19.246					
36	19/05/22	21:00:00	18.747					
37	19/05/22	22:00:00	18.771					
38	19/05/22	23:00:00	18.509					
39	20/05/22	00:00:00	18.105					
40	20/05/22	01:00:00	18.366					
41	20/05/22	02:00:00	18.557					
42	20/05/22	03:00:00	18.628					
43	20/05/22	04:00:00	18.747					
44	20/05/22	05:00:00	18.747					
45	20/05/22	06:00:00	18.842					
46	20/05/22	07:00:00	18.224					
47	20/05/22	08:00:00	18.105					
48	20/05/22	09:00:00	18.010					
49	20/05/22	10:00:00	18.295					
50	20/05/22	11:00:00	18.747					
51	20/05/22	12:00:00	19.080					
52	20/05/22	13:00:00	18.675					
53	20/05/22	14:00:00	18.842					
54	20/05/22	15:00:00	19.270					
55	20/05/22	16:00:00	18.604					
56	20/05/22	17:00:00	18.176					
57	20/05/22	18:00:00	17.986					
58	20/05/22	19:00:00	17.986					
59	20/05/22	20:00:00	17.819					
60	20/05/22	21:00:00	17.819					
61	20/05/22	22:00:00	18.580					
62	20/05/22	23:00:00	18.557					
63	21/05/22	00:00:00	17.891					
64	21/05/22	01:00:00	18.319					
65	21/05/22	02:00:00	18.675					
66	21/05/22	03:00:00	19.698					
67	21/05/22	04:00:00	19.413					
68	21/05/22	05:00:00	19.270					
69	21/05/22	06:00:00	19.318					
70	21/05/22	07:00:00	18.628					
71	21/05/22	08:00:00	19.080					
72	21/05/22	09:00:00	19.199					
73	21/05/22	10:00:00	19.389					
74	21/05/22	11:00:00	19.651					
75	21/05/22	12:00:00	19.579					
76	21/05/22	13:00:00	19.888					
77	21/05/22	14:00:00	20.150					
78	21/05/22	15:00:00	19.960					
79	21/05/22	16:00:00	20.293					
80	21/05/22	17:00:00	20.889					
81	21/05/22	18:00:00	20.960					
82	21/05/22	19:00:00	20.960					
83	21/05/22	20:00:00	20.936					
84	21/05/22	21:00:00	21.079					
85	21/05/22	22:00:00	21.008					
86	21/05/22	23:00:00	20.960					
87	22/05/22	00:00:00	21.032					
88	22/05/22	01:00:00	21.175					
89	22/05/22	02:00:00	21.103					
90	22/05/22	03:00:00	21.199					
91	22/05/22	04:00:00	21.461					
92	22/05/22	05:00:00	21.748					
93	22/05/22	06:00:00	21.533					
94	22/05/22	07:00:00	21.342					
95	22/05/22	08:00:00	20.936					
96	22/05/22	09:00:00	21.437					
97	22/05/22	10:00:00	20.889					
98	22/05/22	11:00:00	21.008					
99	22/05/22	12:00:00	21.223					
100	22/05/22	13:00:00	21.413					
101	22/05/22	14:00:00	21.390					
102	22/05/22	15:00:00	21.437					
103	22/05/22	16:00:00	21.437					
104	22/05/22	17:00:00	21.318					
105	22/05/22	18:00:00	21.604					
106	22/05/22	19:00:00	21.151					
107	22/05/22	20:00:00	21.032					
108	22/05/22	21:00:00	21.056					
109	22/05/22	22:00:00	21.437					
110	22/05/22	23:00:00	21.628					
111	23/05/22	00:00:00	21.581					
112	23/05/22	01:00:00	21.581					
113	23/05/22	02:00:00	21.604					
114	23/05/22	03:00:00	21.533					
115	23/05/22	04:00:00	21.509					
116	23/05/22	05:00:00	21.127					
117	23/05/22	06:00:00	21.461					
118	23/05/22	07:00:00	21.390					
119	23/05/22	08:00:00	21.485					
120	23/05/22	09:00:00	21.581					
121	23/05/22	10:00:00	21.557					
122	23/05/22	11:00:00	21.461					
123	23/05/22	12:00:00	21.628					
124	23/05/22	13:00:00	21.557					
125	23/05/22	14:00:00	21.604					
126	23/05/22	15:00:00	21.581					
127	23/05/22	16:00:00	21.652					
128	23/05/22	17:00:00	21.557					
129	23/05/22	18:00:00	21.557					
130	23/05/22	19:00:00	21.533					
131	23/05/22	20:00:00	21.485					
132	23/05/22	21:00:00	21.485					
133	23/05/22	22:00:00	21.509					
134	23/05/22	23:00:00	21.485					
135	24/05/22	00:00:00	21.557					
136	24/05/22	01:00:00	21.628					
137	24/05/22	02:00:00	21.604					
138	24/05/22	03:00:00	21.772					
139	24/05/22	04:00:00	21.581					
140	24/05/22	05:00:00	21.533					
141	24/05/22	06:00:00	21.485					
142	24/05/22	07:00:00	21.533					
143	24/05/22	08:00:00	21.485					
144	24/05/22	09:00:00	21.437					
145	24/05/22	10:00:00	21.461					
146	24/05/22	11:00:00	21.437					
147	24/05/22	12:00:00	21.390					
148	24/05/22	13:00:00	21.032					
149	24/05/22	14:00:00	21.103					
150	24/05/22	15:00:00	21.151					
151	24/05/22	16:00:00	20.603					
152	24/05/22	17:00:00	20.698					
153	24/05/22	18:00:00	20.555					
154	24/05/22	19:00:00	20.007					
155	24/05/22	20:00:00	19.722					
156	24/05/22	21:00:00	18.604					
157	24/05/22	22:00:00	18.438					
158	24/05/22	23:00:00	17.938					
159	25/05/22	00:00:00	17.772					
160	25/05/22	01:00:00	17.629					
161	25/05/22	02:00:00	17.415					
162	25/05/22	03:00:00	16.582					
163	25/05/22	04:00:00	16.034					
164	25/05/22	05:00:00	15.939					
165	25/05/22	06:00:00	15.724					
166	25/05/22	07:00:00	15.700					
167	25/05/22	08:00:00	15.700					
168	25/05/22	09:00:00	15.700					
169	25/05/22	10:00:00	15.915					
170	25/05/22	11:00:00	15.796					
171	25/05/22	12:00:00	15.939					
172	25/05/22	13:00:00	16.082					
173	25/05/22	14:00:00	16.487					
174	25/05/22	15:00:00	16.201					
175	25/05/22	16:00:00	16.249					
176	25/05/22	17:00:00	16.201					
177	25/05/22	18:00:00	16.082					
178	25/05/22	19:00:00	16.249					
179	25/05/22	20:00:00	16.439					
180	25/05/22	21:00:00	16.415					
181	25/05/22	22:00:00	16.511					
182	25/05/22	23:00:00	16.582					
183	26/05/22	00:00:00	16.630					
184	26/05/22	01:00:00	16.630					
185	26/05/22	02:00:00	16.749					
186	26/05/22	03:00:00	16.820					
187	26/05/22	04:00:00	17.177					
188	26/05/22	05:00:00	17.344					
189	26/05/22	06:00:00	17.201					
190	26/05/22	07:00:00	16.249					
191	26/05/22	08:00:00	16.415					
192	26/05/22	09:00:00	16.987					
193	26/05/22	10:00:00	17.391					
194	26/05/22	11:00:00	17.368					
195	26/05/22	12:00:00	17.415					
196	26/05/22	13:00:00	17.153					
197	26/05/22	14:00:00	17.034					
198	26/05/22	15:00:00	17.344					
199	26/05/22	16:00:00	17.463					
200	26/05/22	17:00:00	17.558					
201	26/05/22	18:00:00	17.486					
202	26/05/22	19:00:00	17.439					
203	26/05/22	20:00:00	17.439					
204	26/05/22	21:00:00	17.463					
205	26/05/22	22:00:00	17.558					
206	26/05/22	23:00:00	17.629					
207	27/05/22	00:00:00	17.653					
208	27/05/22	01:00:00	17.748					
209	27/05/22	02:00:00	17.724					
210	27/05/22	03:00:00	17.701					
211	27/05/22	04:00:00	17.653					
212	27/05/22	05:00:00	17.629					
213	27/05/22	06:00:00	17.534					
214	27/05/22	07:00:00	17.415					
215	27/05/22	08:00:00	17.534					
216	27/05/22	09:00:00	17.558					
217	27/05/22	10:00:00	17.558					
218	27/05/22	11:00:00	17.439					
219	27/05/22	12:00:00	17.296					
220	27/05/22	13:00:00	17.415					
221	27/05/22	14:00:00	17.510					
222	27/05/22	15:00:00	17.653					
223	27/05/22	16:00:00	17.629					
224	27/05/22	17:00:00	17.701					
225	27/05/22	18:00:00	17.819					
226	27/05/22	19:00:00	17.701					
227	27/05/22	20:00:00	17.653					
228	27/05/22	21:00:00	17.724					
229	27/05/22	22:00:00	17.796					
230	27/05/22	23:00:00	17.843					
231	28/05/22	00:00:00	17.915					
232	28/05/22	01:00:00	17.915					
233	28/05/22	02:00:00	17.915					
234	28/05/22	03:00:00	17.915					
235	28/05/22	04:00:00	17.938					
236	28/05/22	05:00:00	17.915					
237	28/05/22	06:00:00	17.891					
238	28/05/22	07:00:00	17.891					
239	28/05/22	08:00:00	17.867					
240	28/05/22	09:00:00	17.891					
241	28/05/22	10:00:00	17.915					
242	28/05/22	11:00:00	17.962					
243	28/05/22	12:00:00	18.010					
244	28/05/22	13:00:00	18.057					
245	28/05/22	14:00:00	18.152					
246	28/05/22	15:00:00	18.105					
247	28/05/22	16:00:00	18.129					
248	28/05/22	17:00:00	18.081					
249	28/05/22	18:00:00	18.057					
250	28/05/22	19:00:00	18.105					
251	28/05/22	20:00:00	18.224					
252	28/05/22	21:00:00	18.247					
253	28/05/22	22:00:00	18.224					
254	28/05/22	23:00:00	18.390					
255	29/05/22	00:00:00	18.866					
256	29/05/22	01:00:00	18.628					
257	29/05/22	02:00:00	19.103					
258	29/05/22	03:00:00	19.127					
259	29/05/22	04:00:00	19.318					
260	29/05/22	05:00:00	19.127					
261	29/05/22	06:00:00	19.960					
262	29/05/22	07:00:00	19.936					
263	29/05/22	08:00:00	19.793					
264	29/05/22	09:00:00	19.555					
265	29/05/22	10:00:00	19.603					
266	29/05/22	11:00:00	19.651					
267	29/05/22	12:00:00	19.603					
268	29/05/22	13:00:00	19.817					
269	29/05/22	14:00:00	19.770					
270	29/05/22	15:00:00	19.841					
271	29/05/22	16:00:00	19.270					
272	29/05/22	17:00:00	19.127					
273	29/05/22	18:00:00	19.151					
274	29/05/22	19:00:00	19.103					
275	29/05/22	20:00:00	19.008					
276	29/05/22	21:00:00	19.175					
277	29/05/22	22:00:00	19.365					
278	29/05/22	23:00:00	19.460					
279	30/05/22	00:00:00	19.532					
280	30/05/22	01:00:00	19.532					
281	30/05/22	02:00:00	19.460					
282	30/05/22	03:00:00	19.460					
283	30/05/22	04:00:00	19.484					
284	30/05/22	05:00:00	19.436					
285	30/05/22	06:00:00	19.056					
286	30/05/22	07:00:00	19.270					
287	30/05/22	08:00:00	19.389					
288	30/05/22	09:00:00	19.484					
289	30/05/22	10:00:00	19.555					
290	30/05/22	11:00:00	19.484					
291	30/05/22	12:00:00	19.532					
292	30/05/22	13:00:00	19.555					
293	30/05/22	14:00:00	19.555					
294	30/05/22	15:00:00	19.413					
295	30/05/22	16:00:00	19.389					
296	30/05/22	17:00:00	19.341					
297	30/05/22	18:00:00	19.151					
298	30/05/22	19:00:00	19.103					
299	30/05/22	20:00:00	19.103					
