"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954378, SEN S/N: 20954378, LBL: Aire_5m)"	"Acoplador separado (LGR S/N: 20954378, SEN S/N: 20954378)"	"Acoplador adjunto (LGR S/N: 20954378, SEN S/N: 20954378)"	"Host conectado (LGR S/N: 20954378, SEN S/N: 20954378)"	"Parado (LGR S/N: 20954378, SEN S/N: 20954378)"	"Final de archivo (LGR S/N: 20954378, SEN S/N: 20954378)"
1	17/05/22	10:00:00	21.461	Registrado				
2	17/05/22	11:00:00	22.824					
3	17/05/22	12:00:00	19.151					
4	17/05/22	13:00:00	18.533					
5	17/05/22	14:00:00	18.057					
6	17/05/22	15:00:00	18.010					
7	17/05/22	16:00:00	17.510					
8	17/05/22	17:00:00	17.296					
9	17/05/22	18:00:00	17.391					
10	17/05/22	19:00:00	17.249					
11	17/05/22	20:00:00	17.320					
12	17/05/22	21:00:00	18.010					
13	17/05/22	22:00:00	17.748					
14	17/05/22	23:00:00	17.605					
15	18/05/22	00:00:00	17.986					
16	18/05/22	01:00:00	18.295					
17	18/05/22	02:00:00	18.485					
18	18/05/22	03:00:00	18.771					
19	18/05/22	04:00:00	18.771					
20	18/05/22	05:00:00	18.723					
21	18/05/22	06:00:00	18.224					
22	18/05/22	07:00:00	17.843					
23	18/05/22	08:00:00	17.558					
24	18/05/22	09:00:00	17.439					
25	18/05/22	10:00:00	17.391					
26	18/05/22	11:00:00	17.701					
27	18/05/22	12:00:00	18.105					
28	18/05/22	13:00:00	19.175					
29	18/05/22	14:00:00	18.628					
30	18/05/22	15:00:00	18.105					
31	18/05/22	16:00:00	18.224					
32	18/05/22	17:00:00	18.152					
33	18/05/22	18:00:00	18.152					
34	18/05/22	19:00:00	17.891					
35	18/05/22	20:00:00	17.819					
36	18/05/22	21:00:00	17.344					
37	18/05/22	22:00:00	17.249					
38	18/05/22	23:00:00	17.677					
39	19/05/22	00:00:00	18.390					
40	19/05/22	01:00:00	18.794					
41	19/05/22	02:00:00	19.008					
42	19/05/22	03:00:00	18.105					
43	19/05/22	04:00:00	17.938					
44	19/05/22	05:00:00	17.677					
45	19/05/22	06:00:00	17.463					
46	19/05/22	07:00:00	17.320					
47	19/05/22	08:00:00	17.320					
48	19/05/22	09:00:00	18.247					
49	19/05/22	10:00:00	18.461					
50	19/05/22	11:00:00	18.747					
51	19/05/22	12:00:00	19.579					
52	19/05/22	13:00:00	20.198					
53	19/05/22	14:00:00	19.484					
54	19/05/22	15:00:00	20.055					
55	19/05/22	16:00:00	19.413					
56	19/05/22	17:00:00	17.962					
57	19/05/22	18:00:00	18.343					
58	19/05/22	19:00:00	21.175					
59	19/05/22	20:00:00	20.412					
60	19/05/22	21:00:00	19.984					
61	19/05/22	22:00:00	19.127					
62	19/05/22	23:00:00	18.295					
63	20/05/22	00:00:00	19.555					
64	20/05/22	01:00:00	19.460					
65	20/05/22	02:00:00	20.246					
66	20/05/22	03:00:00	21.008					
67	20/05/22	04:00:00	20.960					
68	20/05/22	05:00:00	20.913					
69	20/05/22	06:00:00	19.722					
70	20/05/22	07:00:00	19.888					
71	20/05/22	08:00:00	18.295					
72	20/05/22	09:00:00	19.936					
73	20/05/22	10:00:00	18.794					
74	20/05/22	11:00:00	19.912					
75	20/05/22	12:00:00	20.555					
76	20/05/22	13:00:00	20.722					
77	20/05/22	14:00:00	20.770					
78	20/05/22	15:00:00	21.032					
79	20/05/22	16:00:00	21.175					
80	20/05/22	17:00:00	20.746					
81	20/05/22	18:00:00	21.342					
82	20/05/22	19:00:00	21.032					
83	20/05/22	20:00:00	20.126					
84	20/05/22	21:00:00	20.603					
85	20/05/22	22:00:00	21.175					
86	20/05/22	23:00:00	21.032					
87	21/05/22	00:00:00	21.008					
88	21/05/22	01:00:00	20.698					
89	21/05/22	02:00:00	19.746					
90	21/05/22	03:00:00	20.841					
91	21/05/22	04:00:00	20.436					
92	21/05/22	05:00:00	20.460					
93	21/05/22	06:00:00	18.580					
94	21/05/22	07:00:00	17.867					
95	21/05/22	08:00:00	19.817					
96	21/05/22	09:00:00	19.294					
97	21/05/22	10:00:00	19.841					
98	21/05/22	11:00:00	18.580					
99	21/05/22	12:00:00	18.889					
100	21/05/22	13:00:00	19.294					
101	21/05/22	14:00:00	19.841					
102	21/05/22	15:00:00	20.198					
103	21/05/22	16:00:00	21.939					
104	21/05/22	17:00:00	21.079					
105	21/05/22	18:00:00	20.365					
106	21/05/22	19:00:00	19.484					
107	21/05/22	20:00:00	18.699					
108	21/05/22	21:00:00	18.176					
109	21/05/22	22:00:00	17.772					
110	21/05/22	23:00:00	17.344					
111	22/05/22	00:00:00	19.032					
112	22/05/22	01:00:00	19.008					
113	22/05/22	02:00:00	19.127					
114	22/05/22	03:00:00	20.150					
115	22/05/22	04:00:00	20.436					
116	22/05/22	05:00:00	18.057					
117	22/05/22	06:00:00	19.127					
118	22/05/22	07:00:00	18.057					
119	22/05/22	08:00:00	17.701					
120	22/05/22	09:00:00	17.391					
121	22/05/22	10:00:00	17.320					
122	22/05/22	11:00:00	17.558					
123	22/05/22	12:00:00	17.605					
124	22/05/22	13:00:00	18.485					
125	22/05/22	14:00:00	18.319					
126	22/05/22	15:00:00	17.986					
127	22/05/22	16:00:00	18.937					
128	22/05/22	17:00:00	21.915					
129	22/05/22	18:00:00	20.913					
130	22/05/22	19:00:00	19.294					
131	22/05/22	20:00:00	18.699					
132	22/05/22	21:00:00	17.986					
133	22/05/22	22:00:00	18.818					
134	22/05/22	23:00:00	18.794					
135	23/05/22	00:00:00	18.533					
136	23/05/22	01:00:00	18.129					
137	23/05/22	02:00:00	19.199					
138	23/05/22	03:00:00	19.341					
139	23/05/22	04:00:00	18.390					
140	23/05/22	05:00:00	17.891					
141	23/05/22	06:00:00	18.485					
142	23/05/22	07:00:00	19.912					
143	23/05/22	08:00:00	18.485					
144	23/05/22	09:00:00	17.915					
145	23/05/22	10:00:00	17.938					
146	23/05/22	11:00:00	18.557					
147	23/05/22	12:00:00	18.818					
148	23/05/22	13:00:00	17.819					
149	23/05/22	14:00:00	18.010					
150	23/05/22	15:00:00	19.484					
151	23/05/22	16:00:00	18.247					
152	23/05/22	17:00:00	18.414					
153	23/05/22	18:00:00	18.152					
154	23/05/22	19:00:00	18.319					
155	23/05/22	20:00:00	18.580					
156	23/05/22	21:00:00	19.627					
157	23/05/22	22:00:00	18.105					
158	23/05/22	23:00:00	19.888					
159	24/05/22	00:00:00	18.200					
160	24/05/22	01:00:00	17.796					
161	24/05/22	02:00:00	18.866					
162	24/05/22	03:00:00	18.723					
163	24/05/22	04:00:00	18.961					
164	24/05/22	05:00:00	19.151					
165	24/05/22	06:00:00	19.627					
166	24/05/22	07:00:00	20.269					
167	24/05/22	08:00:00	20.293					
168	24/05/22	09:00:00	20.198					
169	24/05/22	10:00:00	20.126					
170	24/05/22	11:00:00	19.888					
171	24/05/22	12:00:00	19.912					
172	24/05/22	13:00:00	19.246					
173	24/05/22	14:00:00	20.198					
174	24/05/22	15:00:00	20.031					
175	24/05/22	16:00:00	20.460					
176	24/05/22	17:00:00	20.603					
177	24/05/22	18:00:00	20.722					
178	24/05/22	19:00:00	20.817					
179	24/05/22	20:00:00	20.841					
180	24/05/22	21:00:00	20.817					
181	24/05/22	22:00:00	20.841					
182	24/05/22	23:00:00	20.579					
183	25/05/22	00:00:00	20.103					
184	25/05/22	01:00:00	20.722					
185	25/05/22	02:00:00	20.627					
186	25/05/22	03:00:00	20.650					
187	25/05/22	04:00:00	20.770					
188	25/05/22	05:00:00	20.293					
189	25/05/22	06:00:00	20.198					
190	25/05/22	07:00:00	20.341					
191	25/05/22	08:00:00	20.412					
192	25/05/22	09:00:00	20.007					
193	25/05/22	10:00:00	19.151					
194	25/05/22	11:00:00	19.698					
195	25/05/22	12:00:00	19.056					
196	25/05/22	13:00:00	19.793					
197	25/05/22	14:00:00	19.746					
198	25/05/22	15:00:00	19.770					
199	25/05/22	16:00:00	20.007					
200	25/05/22	17:00:00	20.126					
201	25/05/22	18:00:00	20.198					
202	25/05/22	19:00:00	20.150					
203	25/05/22	20:00:00	20.341					
204	25/05/22	21:00:00	20.365					
205	25/05/22	22:00:00	20.365					
206	25/05/22	23:00:00	20.341					
207	26/05/22	00:00:00	20.317					
208	26/05/22	01:00:00	20.269					
209	26/05/22	02:00:00	20.269					
210	26/05/22	03:00:00	20.246					
211	26/05/22	04:00:00	20.198					
212	26/05/22	05:00:00	20.055					
213	26/05/22	06:00:00	20.007					
214	26/05/22	07:00:00	20.007					
215	26/05/22	08:00:00	20.007					
