"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20361913, SEN S/N: 20361913, LBL: Porros_10m_020621)"	"Acoplador separado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Acoplador adjunto (LGR S/N: 20361913, SEN S/N: 20361913)"	"Host conectado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Parado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Final de archivo (LGR S/N: 20361913, SEN S/N: 20361913)"
1	02/06/21	12:00:00	19.698	Registrado				
2	02/06/21	13:00:00	19.722					
3	02/06/21	14:00:00	19.841					
4	02/06/21	15:00:00	19.936					
5	02/06/21	16:00:00	19.841					
6	02/06/21	17:00:00	19.793					
7	02/06/21	18:00:00	19.722					
8	02/06/21	19:00:00	19.698					
9	02/06/21	20:00:00	19.627					
10	02/06/21	21:00:00	19.627					
11	02/06/21	22:00:00	19.579					
12	02/06/21	23:00:00	19.603					
13	03/06/21	00:00:00	19.627					
14	03/06/21	01:00:00	19.651					
15	03/06/21	02:00:00	19.555					
16	03/06/21	03:00:00	19.484					
17	03/06/21	04:00:00	19.603					
18	03/06/21	05:00:00	19.532					
19	03/06/21	06:00:00	19.603					
20	03/06/21	07:00:00	19.627					
21	03/06/21	08:00:00	20.007					
22	03/06/21	09:00:00	19.698					
23	03/06/21	10:00:00	19.698					
24	03/06/21	11:00:00	19.746					
25	03/06/21	12:00:00	19.746					
26	03/06/21	13:00:00	19.722					
27	03/06/21	14:00:00	19.579					
28	03/06/21	15:00:00	19.841					
29	03/06/21	16:00:00	19.627					
30	03/06/21	17:00:00	19.651					
31	03/06/21	18:00:00	19.674					
32	03/06/21	19:00:00	19.555					
33	03/06/21	20:00:00	19.508					
34	03/06/21	21:00:00	19.627					
35	03/06/21	22:00:00	19.841					
36	03/06/21	23:00:00	19.674					
37	04/06/21	00:00:00	19.436					
38	04/06/21	01:00:00	19.579					
39	04/06/21	02:00:00	18.913					
40	04/06/21	03:00:00	18.771					
41	04/06/21	04:00:00	18.889					
42	04/06/21	05:00:00	18.771					
43	04/06/21	06:00:00	19.746					
44	04/06/21	07:00:00	19.555					
45	04/06/21	08:00:00	19.698					
46	04/06/21	09:00:00	19.865					
47	04/06/21	10:00:00	19.746					
48	04/06/21	11:00:00	19.698					
49	04/06/21	12:00:00	19.674					
50	04/06/21	13:00:00	19.698					
51	04/06/21	14:00:00	19.770					
52	04/06/21	15:00:00	19.579					
53	04/06/21	16:00:00	19.365					
54	04/06/21	17:00:00	19.532					
55	04/06/21	18:00:00	19.484					
56	04/06/21	19:00:00	19.436					
57	04/06/21	20:00:00	19.341					
58	04/06/21	21:00:00	19.365					
59	04/06/21	22:00:00	19.627					
60	04/06/21	23:00:00	19.841					
61	05/06/21	00:00:00	19.888					
62	05/06/21	01:00:00	19.865					
63	05/06/21	02:00:00	19.912					
64	05/06/21	03:00:00	19.960					
65	05/06/21	04:00:00	19.888					
66	05/06/21	05:00:00	19.722					
67	05/06/21	06:00:00	19.722					
68	05/06/21	07:00:00	19.603					
69	05/06/21	08:00:00	19.651					
70	05/06/21	09:00:00	19.722					
71	05/06/21	10:00:00	19.651					
72	05/06/21	11:00:00	19.651					
73	05/06/21	12:00:00	19.698					
74	05/06/21	13:00:00	19.746					
75	05/06/21	14:00:00	19.817					
76	05/06/21	15:00:00	19.841					
77	05/06/21	16:00:00	19.888					
78	05/06/21	17:00:00	19.793					
79	05/06/21	18:00:00	19.698					
80	05/06/21	19:00:00	19.555					
81	05/06/21	20:00:00	19.674					
82	05/06/21	21:00:00	19.555					
83	05/06/21	22:00:00	19.508					
84	05/06/21	23:00:00	19.460					
85	06/06/21	00:00:00	19.318					
86	06/06/21	01:00:00	19.508					
87	06/06/21	02:00:00	19.508					
88	06/06/21	03:00:00	19.579					
89	06/06/21	04:00:00	19.603					
90	06/06/21	05:00:00	19.151					
91	06/06/21	06:00:00	19.127					
92	06/06/21	07:00:00	19.008					
93	06/06/21	08:00:00	19.294					
94	06/06/21	09:00:00	19.318					
95	06/06/21	10:00:00	19.151					
96	06/06/21	11:00:00	19.413					
97	06/06/21	12:00:00	19.746					
98	06/06/21	13:00:00	19.865					
99	06/06/21	14:00:00	19.936					
100	06/06/21	15:00:00	19.936					
101	06/06/21	16:00:00	20.031					
102	06/06/21	17:00:00	20.055					
103	06/06/21	18:00:00	20.079					
104	06/06/21	19:00:00	20.079					
105	06/06/21	20:00:00	20.103					
106	06/06/21	21:00:00	20.103					
107	06/06/21	22:00:00	19.888					
108	06/06/21	23:00:00	19.841					
109	07/06/21	00:00:00	19.722					
110	07/06/21	01:00:00	20.055					
111	07/06/21	02:00:00	20.103					
112	07/06/21	03:00:00	20.150					
113	07/06/21	04:00:00	20.198					
114	07/06/21	05:00:00	20.198					
115	07/06/21	06:00:00	20.222					
116	07/06/21	07:00:00	20.222					
117	07/06/21	08:00:00	19.912					
118	07/06/21	09:00:00	19.960					
119	07/06/21	10:00:00	20.293					
120	07/06/21	11:00:00	20.222					
121	07/06/21	12:00:00	20.126					
122	07/06/21	13:00:00	20.150					
123	07/06/21	14:00:00	20.150					
124	07/06/21	15:00:00	20.126					
125	07/06/21	16:00:00	20.126					
126	07/06/21	17:00:00	19.960					
127	07/06/21	18:00:00	19.746					
128	07/06/21	19:00:00	20.007					
129	07/06/21	20:00:00	20.055					
130	07/06/21	21:00:00	20.126					
131	07/06/21	22:00:00	20.174					
132	07/06/21	23:00:00	20.150					
133	08/06/21	00:00:00	20.174					
134	08/06/21	01:00:00	20.198					
135	08/06/21	02:00:00	20.222					
136	08/06/21	03:00:00	20.246					
137	08/06/21	04:00:00	20.198					
138	08/06/21	05:00:00	20.484					
139	08/06/21	06:00:00	20.484					
140	08/06/21	07:00:00	20.793					
141	08/06/21	08:00:00	20.222					
142	08/06/21	09:00:00	20.198					
143	08/06/21	10:00:00	20.126					
144	08/06/21	11:00:00	19.960					
145	08/06/21	12:00:00	20.079					
146	08/06/21	13:00:00	20.198					
147	08/06/21	14:00:00	20.222					
148	08/06/21	15:00:00	20.317					
149	08/06/21	16:00:00	20.484					
150	08/06/21	17:00:00	20.579					
151	08/06/21	18:00:00	20.603					
152	08/06/21	19:00:00	20.436					
153	08/06/21	20:00:00	20.317					
154	08/06/21	21:00:00	20.317					
155	08/06/21	22:00:00	20.436					
156	08/06/21	23:00:00	20.579					
157	09/06/21	00:00:00	20.913					
158	09/06/21	01:00:00	20.817					
159	09/06/21	02:00:00	20.817					
160	09/06/21	03:00:00	20.841					
