"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10566618, SEN S/N: 10566618, LBL: Porros_10m)"	"Acoplador separado (LGR S/N: 10566618, SEN S/N: 10566618)"	"Acoplador adjunto (LGR S/N: 10566618, SEN S/N: 10566618)"	"Host conectado (LGR S/N: 10566618, SEN S/N: 10566618)"	"Parado (LGR S/N: 10566618, SEN S/N: 10566618)"	"Final de archivo (LGR S/N: 10566618, SEN S/N: 10566618)"
1	05/02/21	12:00:00	18.390	Registrado				
2	05/02/21	13:00:00	14.385					
3	05/02/21	14:00:00	14.409					
4	05/02/21	15:00:00	14.433					
5	05/02/21	16:00:00	14.409					
6	05/02/21	17:00:00	14.409					
7	05/02/21	18:00:00	14.385					
8	05/02/21	19:00:00	14.361					
9	05/02/21	20:00:00	14.361					
10	05/02/21	21:00:00	14.337					
11	05/02/21	22:00:00	14.314					
12	05/02/21	23:00:00	14.290					
13	06/02/21	00:00:00	14.290					
14	06/02/21	01:00:00	14.290					
15	06/02/21	02:00:00	14.290					
16	06/02/21	03:00:00	14.314					
17	06/02/21	04:00:00	14.314					
18	06/02/21	05:00:00	14.314					
19	06/02/21	06:00:00	14.290					
20	06/02/21	07:00:00	14.290					
21	06/02/21	08:00:00	14.290					
22	06/02/21	09:00:00	14.290					
23	06/02/21	10:00:00	14.290					
24	06/02/21	11:00:00	14.290					
25	06/02/21	12:00:00	14.314					
26	06/02/21	13:00:00	14.314					
27	06/02/21	14:00:00	14.290					
28	06/02/21	15:00:00	14.290					
29	06/02/21	16:00:00	14.242					
30	06/02/21	17:00:00	14.290					
31	06/02/21	18:00:00	14.314					
32	06/02/21	19:00:00	14.290					
33	06/02/21	20:00:00	14.337					
34	06/02/21	21:00:00	14.290					
35	06/02/21	22:00:00	14.290					
36	06/02/21	23:00:00	14.290					
37	07/02/21	00:00:00	14.290					
38	07/02/21	01:00:00	14.266					
39	07/02/21	02:00:00	14.266					
40	07/02/21	03:00:00	14.266					
41	07/02/21	04:00:00	14.266					
42	07/02/21	05:00:00	14.266					
43	07/02/21	06:00:00	14.266					
44	07/02/21	07:00:00	14.266					
45	07/02/21	08:00:00	14.266					
46	07/02/21	09:00:00	14.266					
47	07/02/21	10:00:00	14.290					
48	07/02/21	11:00:00	14.290					
49	07/02/21	12:00:00	14.290					
50	07/02/21	13:00:00	14.290					
51	07/02/21	14:00:00	14.290					
52	07/02/21	15:00:00	14.266					
53	07/02/21	16:00:00	14.266					
54	07/02/21	17:00:00	14.242					
55	07/02/21	18:00:00	14.266					
56	07/02/21	19:00:00	14.266					
57	07/02/21	20:00:00	14.266					
58	07/02/21	21:00:00	14.242					
59	07/02/21	22:00:00	14.242					
60	07/02/21	23:00:00	14.218					
61	08/02/21	00:00:00	14.218					
62	08/02/21	01:00:00	14.218					
63	08/02/21	02:00:00	14.194					
64	08/02/21	03:00:00	14.194					
65	08/02/21	04:00:00	14.194					
66	08/02/21	05:00:00	14.194					
67	08/02/21	06:00:00	14.194					
68	08/02/21	07:00:00	14.194					
69	08/02/21	08:00:00	14.170					
70	08/02/21	09:00:00	14.170					
71	08/02/21	10:00:00	14.170					
72	08/02/21	11:00:00	14.170					
73	08/02/21	12:00:00	14.194					
74	08/02/21	13:00:00	14.170					
75	08/02/21	14:00:00	14.194					
76	08/02/21	15:00:00	14.194					
77	08/02/21	16:00:00	14.194					
78	08/02/21	17:00:00	14.194					
79	08/02/21	18:00:00	14.194					
80	08/02/21	19:00:00	14.194					
81	08/02/21	20:00:00	14.170					
