"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10933127, SEN S/N: 10933127, LBL: Aire15m_Febrero_2021)"	"Acoplador separado (LGR S/N: 10933127, SEN S/N: 10933127)"	"Acoplador adjunto (LGR S/N: 10933127, SEN S/N: 10933127)"	"Host conectado (LGR S/N: 10933127, SEN S/N: 10933127)"	"Parado (LGR S/N: 10933127, SEN S/N: 10933127)"	"Final de archivo (LGR S/N: 10933127, SEN S/N: 10933127)"
1	04/02/21	14:00:00	14.266	Registrado				
2	04/02/21	15:00:00	14.290					
3	04/02/21	16:00:00	14.290					
4	04/02/21	17:00:00	14.290					
5	04/02/21	18:00:00	14.242					
6	04/02/21	19:00:00	14.242					
7	04/02/21	20:00:00	14.457					
8	04/02/21	21:00:00	14.290					
9	04/02/21	22:00:00	14.266					
10	04/02/21	23:00:00	14.242					
11	05/02/21	00:00:00	14.290					
12	05/02/21	01:00:00	14.314					
13	05/02/21	02:00:00	14.337					
14	05/02/21	03:00:00	14.314					
15	05/02/21	04:00:00	14.290					
16	05/02/21	05:00:00	14.266					
17	05/02/21	06:00:00	14.242					
18	05/02/21	07:00:00	14.218					
19	05/02/21	08:00:00	14.194					
20	05/02/21	09:00:00	14.194					
21	05/02/21	10:00:00	14.218					
22	05/02/21	11:00:00	14.361					
23	05/02/21	12:00:00	14.266					
24	05/02/21	13:00:00	14.290					
25	05/02/21	14:00:00	14.361					
26	05/02/21	15:00:00	14.385					
27	05/02/21	16:00:00	14.792					
28	05/02/21	17:00:00	14.385					
29	05/02/21	18:00:00	14.385					
30	05/02/21	19:00:00	14.290					
31	05/02/21	20:00:00	14.337					
32	05/02/21	21:00:00	14.361					
33	05/02/21	22:00:00	14.290					
34	05/02/21	23:00:00	14.314					
35	06/02/21	00:00:00	14.529					
36	06/02/21	01:00:00	14.601					
37	06/02/21	02:00:00	14.697					
38	06/02/21	03:00:00	14.721					
39	06/02/21	04:00:00	14.745					
40	06/02/21	05:00:00	14.745					
41	06/02/21	06:00:00	14.768					
42	06/02/21	07:00:00	14.768					
43	06/02/21	08:00:00	14.768					
44	06/02/21	09:00:00	14.745					
45	06/02/21	10:00:00	14.409					
46	06/02/21	11:00:00	14.481					
47	06/02/21	12:00:00	14.505					
48	06/02/21	13:00:00	14.337					
49	06/02/21	14:00:00	14.337					
50	06/02/21	15:00:00	14.290					
51	06/02/21	16:00:00	14.385					
52	06/02/21	17:00:00	14.529					
53	06/02/21	18:00:00	14.577					
54	06/02/21	19:00:00	14.625					
55	06/02/21	20:00:00	14.553					
56	06/02/21	21:00:00	14.337					
57	06/02/21	22:00:00	14.505					
58	06/02/21	23:00:00	14.409					
59	07/02/21	00:00:00	14.457					
60	07/02/21	01:00:00	14.409					
61	07/02/21	02:00:00	14.337					
62	07/02/21	03:00:00	14.218					
63	07/02/21	04:00:00	14.218					
64	07/02/21	05:00:00	14.194					
65	07/02/21	06:00:00	14.242					
66	07/02/21	07:00:00	14.314					
67	07/02/21	08:00:00	14.266					
68	07/02/21	09:00:00	14.242					
69	07/02/21	10:00:00	14.242					
70	07/02/21	11:00:00	14.337					
71	07/02/21	12:00:00	14.361					
72	07/02/21	13:00:00	14.385					
73	07/02/21	14:00:00	14.290					
74	07/02/21	15:00:00	14.242					
75	07/02/21	16:00:00	14.242					
76	07/02/21	17:00:00	14.218					
77	07/02/21	18:00:00	14.218					
78	07/02/21	19:00:00	14.218					
79	07/02/21	20:00:00	14.194					
80	07/02/21	21:00:00	14.194					
81	07/02/21	22:00:00	14.194					
82	07/02/21	23:00:00	14.433					
83	08/02/21	00:00:00	14.505					
84	08/02/21	01:00:00	14.529					
85	08/02/21	02:00:00	14.553					
86	08/02/21	03:00:00	14.553					
87	08/02/21	04:00:00	14.529					
88	08/02/21	05:00:00	14.481					
89	08/02/21	06:00:00	14.433					
90	08/02/21	07:00:00	14.385					
91	08/02/21	08:00:00	14.314					
92	08/02/21	09:00:00	14.314					
93	08/02/21	10:00:00	14.290					
94	08/02/21	11:00:00	14.266					
95	08/02/21	12:00:00	14.266					
96	08/02/21	13:00:00	14.242					
97	08/02/21	14:00:00	14.266					
98	08/02/21	15:00:00	14.242					
99	08/02/21	16:00:00	14.242					
100	08/02/21	17:00:00	14.242					
101	08/02/21	18:00:00	14.242					
102	08/02/21	19:00:00	14.242					
103	08/02/21	20:00:00	14.170					
104	08/02/21	21:00:00	14.170					
105	08/02/21	22:00:00	14.194					
106	08/02/21	23:00:00	14.170					
107	09/02/21	00:00:00	14.146					
108	09/02/21	01:00:00	14.170					
109	09/02/21	02:00:00	14.194					
110	09/02/21	03:00:00	14.170					
111	09/02/21	04:00:00	14.170					
112	09/02/21	05:00:00	14.146					
113	09/02/21	06:00:00	14.146					
114	09/02/21	07:00:00	14.146					
115	09/02/21	08:00:00	14.146					
116	09/02/21	09:00:00	14.146					
117	09/02/21	10:00:00	14.146					
118	09/02/21	11:00:00	14.122					
119	09/02/21	12:00:00	14.146					
120	09/02/21	13:00:00	14.146					
121	09/02/21	14:00:00	14.170					
122	09/02/21	15:00:00	14.170					
123	09/02/21	16:00:00	14.170					
124	09/02/21	17:00:00	14.170					
125	09/02/21	18:00:00	14.194					
126	09/02/21	19:00:00	14.194					
127	09/02/21	20:00:00	14.290					
