"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10933123, SEN S/N: 10933123, LBL: Aire20m_Febrero_2021)"	"Acoplador separado (LGR S/N: 10933123, SEN S/N: 10933123)"	"Acoplador adjunto (LGR S/N: 10933123, SEN S/N: 10933123)"	"Host conectado (LGR S/N: 10933123, SEN S/N: 10933123)"	"Parado (LGR S/N: 10933123, SEN S/N: 10933123)"	"Final de archivo (LGR S/N: 10933123, SEN S/N: 10933123)"
1	04/02/21	14:00:00	14.194	Registrado				
2	04/02/21	15:00:00	14.218					
3	04/02/21	16:00:00	14.194					
4	04/02/21	17:00:00	14.194					
5	04/02/21	18:00:00	14.218					
6	04/02/21	19:00:00	14.194					
7	04/02/21	20:00:00	14.218					
8	04/02/21	21:00:00	14.218					
9	04/02/21	22:00:00	14.194					
10	04/02/21	23:00:00	14.194					
11	05/02/21	00:00:00	14.170					
12	05/02/21	01:00:00	14.266					
13	05/02/21	02:00:00	14.290					
14	05/02/21	03:00:00	14.242					
15	05/02/21	04:00:00	14.242					
16	05/02/21	05:00:00	14.218					
17	05/02/21	06:00:00	14.194					
18	05/02/21	07:00:00	14.194					
19	05/02/21	08:00:00	14.170					
20	05/02/21	09:00:00	14.146					
21	05/02/21	10:00:00	14.146					
22	05/02/21	11:00:00	14.170					
23	05/02/21	12:00:00	14.170					
24	05/02/21	13:00:00	14.170					
25	05/02/21	14:00:00	14.170					
26	05/02/21	15:00:00	14.218					
27	05/02/21	16:00:00	14.314					
28	05/02/21	17:00:00	14.314					
29	05/02/21	18:00:00	14.290					
30	05/02/21	19:00:00	14.242					
31	05/02/21	20:00:00	14.266					
32	05/02/21	21:00:00	14.290					
33	05/02/21	22:00:00	14.242					
34	05/02/21	23:00:00	14.290					
35	06/02/21	00:00:00	14.385					
36	06/02/21	01:00:00	14.577					
37	06/02/21	02:00:00	14.673					
38	06/02/21	03:00:00	14.697					
39	06/02/21	04:00:00	14.697					
40	06/02/21	05:00:00	14.721					
41	06/02/21	06:00:00	14.721					
42	06/02/21	07:00:00	14.721					
43	06/02/21	08:00:00	14.745					
44	06/02/21	09:00:00	14.673					
45	06/02/21	10:00:00	14.337					
46	06/02/21	11:00:00	14.290					
47	06/02/21	12:00:00	14.290					
48	06/02/21	13:00:00	14.266					
49	06/02/21	14:00:00	14.242					
50	06/02/21	15:00:00	14.242					
51	06/02/21	16:00:00	14.242					
52	06/02/21	17:00:00	14.385					
53	06/02/21	18:00:00	14.457					
54	06/02/21	19:00:00	14.601					
55	06/02/21	20:00:00	14.361					
56	06/02/21	21:00:00	14.242					
