"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20291508, SEN S/N: 20291508, LBL: Porros_25m_05022021)"	"Acoplador separado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Acoplador adjunto (LGR S/N: 20291508, SEN S/N: 20291508)"	"Host conectado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Parado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Final de archivo (LGR S/N: 20291508, SEN S/N: 20291508)"
1	05/02/21	12:00:00	18.271	Registrado				
2	05/02/21	13:00:00	14.409					
3	05/02/21	14:00:00	14.433					
4	05/02/21	15:00:00	14.457					
5	05/02/21	16:00:00	14.481					
6	05/02/21	17:00:00	14.481					
7	05/02/21	18:00:00	14.457					
8	05/02/21	19:00:00	14.457					
9	05/02/21	20:00:00	14.433					
10	05/02/21	21:00:00	14.290					
11	05/02/21	22:00:00	14.290					
12	05/02/21	23:00:00	14.337					
13	06/02/21	00:00:00	14.337					
14	06/02/21	01:00:00	14.290					
15	06/02/21	02:00:00	14.290					
16	06/02/21	03:00:00	14.314					
17	06/02/21	04:00:00	14.337					
18	06/02/21	05:00:00	14.385					
19	06/02/21	06:00:00	14.385					
20	06/02/21	07:00:00	14.385					
21	06/02/21	08:00:00	14.385					
22	06/02/21	09:00:00	14.361					
23	06/02/21	10:00:00	14.337					
24	06/02/21	11:00:00	14.361					
25	06/02/21	12:00:00	14.361					
26	06/02/21	13:00:00	14.385					
27	06/02/21	14:00:00	14.361					
28	06/02/21	15:00:00	14.361					
29	06/02/21	16:00:00	14.337					
30	06/02/21	17:00:00	14.337					
31	06/02/21	18:00:00	14.361					
32	06/02/21	19:00:00	14.385					
33	06/02/21	20:00:00	14.385					
34	06/02/21	21:00:00	14.361					
35	06/02/21	22:00:00	14.361					
36	06/02/21	23:00:00	14.361					
37	07/02/21	00:00:00	14.337					
38	07/02/21	01:00:00	14.337					
39	07/02/21	02:00:00	14.361					
40	07/02/21	03:00:00	14.361					
41	07/02/21	04:00:00	14.361					
42	07/02/21	05:00:00	14.361					
43	07/02/21	06:00:00	14.361					
44	07/02/21	07:00:00	14.361					
45	07/02/21	08:00:00	14.361					
46	07/02/21	09:00:00	14.361					
47	07/02/21	10:00:00	14.361					
48	07/02/21	11:00:00	14.361					
49	07/02/21	12:00:00	14.361					
50	07/02/21	13:00:00	14.361					
51	07/02/21	14:00:00	14.361					
52	07/02/21	15:00:00	14.361					
53	07/02/21	16:00:00	14.361					
54	07/02/21	17:00:00	14.337					
55	07/02/21	18:00:00	14.337					
56	07/02/21	19:00:00	14.361					
57	07/02/21	20:00:00	14.361					
58	07/02/21	21:00:00	14.337					
59	07/02/21	22:00:00	14.337					
60	07/02/21	23:00:00	14.314					
61	08/02/21	00:00:00	14.314					
62	08/02/21	01:00:00	14.290					
63	08/02/21	02:00:00	14.290					
64	08/02/21	03:00:00	14.290					
65	08/02/21	04:00:00	14.290					
66	08/02/21	05:00:00	14.290					
67	08/02/21	06:00:00	14.290					
68	08/02/21	07:00:00	14.290					
69	08/02/21	08:00:00	14.290					
70	08/02/21	09:00:00	14.266					
71	08/02/21	10:00:00	14.266					
72	08/02/21	11:00:00	14.266					
73	08/02/21	12:00:00	14.266					
74	08/02/21	13:00:00	14.266					
75	08/02/21	14:00:00	14.266					
76	08/02/21	15:00:00	14.290					
77	08/02/21	16:00:00	14.290					
78	08/02/21	17:00:00	14.290					
79	08/02/21	18:00:00	14.290					
80	08/02/21	19:00:00	14.290					
81	08/02/21	20:00:00	14.290					
82	08/02/21	21:00:00	14.266					
83	08/02/21	22:00:00	14.266					
84	08/02/21	23:00:00	14.266					
85	09/02/21	00:00:00	14.290					
86	09/02/21	01:00:00	14.266					
87	09/02/21	02:00:00	14.266					
88	09/02/21	03:00:00	14.266					
89	09/02/21	04:00:00	14.242					
90	09/02/21	05:00:00	14.242					
91	09/02/21	06:00:00	14.242					
92	09/02/21	07:00:00	14.242					
93	09/02/21	08:00:00	14.218					
94	09/02/21	09:00:00	14.218					
95	09/02/21	10:00:00	14.218					
96	09/02/21	11:00:00	14.242					
97	09/02/21	12:00:00	14.266					
98	09/02/21	13:00:00	14.266					
99	09/02/21	14:00:00	14.290					
100	09/02/21	15:00:00	14.290					
101	09/02/21	16:00:00	14.290					
102	09/02/21	17:00:00	14.290					
103	09/02/21	18:00:00	14.266					
104	09/02/21	19:00:00	14.242					
105	09/02/21	20:00:00	14.242					
106	09/02/21	21:00:00	14.218					
107	09/02/21	22:00:00	14.218					
108	09/02/21	23:00:00	14.218					
109	10/02/21	00:00:00	14.218					
110	10/02/21	01:00:00	14.218					
111	10/02/21	02:00:00	14.218					
112	10/02/21	03:00:00	14.218					
113	10/02/21	04:00:00	14.194					
114	10/02/21	05:00:00	14.218					
115	10/02/21	06:00:00	14.218					
116	10/02/21	07:00:00	14.218					
117	10/02/21	08:00:00	14.194					
118	10/02/21	09:00:00	14.194					
119	10/02/21	10:00:00	14.194					
120	10/02/21	11:00:00	14.170					
121	10/02/21	12:00:00	14.170					
122	10/02/21	13:00:00	14.170					
123	10/02/21	14:00:00	14.170					
124	10/02/21	15:00:00	14.194					
125	10/02/21	16:00:00	14.194					
126	10/02/21	17:00:00	14.194					
127	10/02/21	18:00:00	14.194					
128	10/02/21	19:00:00	14.170					
129	10/02/21	20:00:00	14.146					
130	10/02/21	21:00:00	14.146					
131	10/02/21	22:00:00	14.122					
132	10/02/21	23:00:00	14.122					
133	11/02/21	00:00:00	14.122					
134	11/02/21	01:00:00	14.122					
135	11/02/21	02:00:00	14.122					
136	11/02/21	03:00:00	14.098					
137	11/02/21	04:00:00	14.098					
138	11/02/21	05:00:00	14.098					
139	11/02/21	06:00:00	14.098					
140	11/02/21	07:00:00	14.098					
141	11/02/21	08:00:00	14.098					
142	11/02/21	09:00:00	14.098					
143	11/02/21	10:00:00	14.098					
144	11/02/21	11:00:00	14.098					
145	11/02/21	12:00:00	14.098					
146	11/02/21	13:00:00	14.098					
147	11/02/21	14:00:00	14.098					
148	11/02/21	15:00:00	14.098					
149	11/02/21	16:00:00	14.098					
150	11/02/21	17:00:00	14.098					
151	11/02/21	18:00:00	14.194					
152	11/02/21	19:00:00	14.146					
153	11/02/21	20:00:00	14.122					
154	11/02/21	21:00:00	14.098					
155	11/02/21	22:00:00	14.122					
156	11/02/21	23:00:00	14.122					
157	12/02/21	00:00:00	14.122					
158	12/02/21	01:00:00	14.122					
159	12/02/21	02:00:00	14.146					
160	12/02/21	03:00:00	14.146					
161	12/02/21	04:00:00	14.098					
162	12/02/21	05:00:00	14.098					
163	12/02/21	06:00:00	14.122					
164	12/02/21	07:00:00	14.098					
165	12/02/21	08:00:00	14.098					
166	12/02/21	09:00:00	14.098					
167	12/02/21	10:00:00	14.098					
168	12/02/21	11:00:00	14.098					
169	12/02/21	12:00:00	14.098					
170	12/02/21	13:00:00	14.098					
171	12/02/21	14:00:00	14.122					
172	12/02/21	15:00:00	14.170					
173	12/02/21	16:00:00	14.170					
174	12/02/21	17:00:00	14.194					
175	12/02/21	18:00:00	14.170					
176	12/02/21	19:00:00	14.170					
177	12/02/21	20:00:00	14.170					
178	12/02/21	21:00:00	14.146					
179	12/02/21	22:00:00	14.146					
180	12/02/21	23:00:00	14.146					
181	13/02/21	00:00:00	14.122					
182	13/02/21	01:00:00	14.122					
183	13/02/21	02:00:00	14.098					
184	13/02/21	03:00:00	14.098					
185	13/02/21	04:00:00	14.098					
186	13/02/21	05:00:00	14.098					
187	13/02/21	06:00:00	14.098					
188	13/02/21	07:00:00	14.098					
189	13/02/21	08:00:00	14.098					
190	13/02/21	09:00:00	14.074					
191	13/02/21	10:00:00	14.050					
192	13/02/21	11:00:00	14.050					
193	13/02/21	12:00:00	14.050					
194	13/02/21	13:00:00	14.050					
195	13/02/21	14:00:00	14.098					
196	13/02/21	15:00:00	14.098					
197	13/02/21	16:00:00	14.098					
198	13/02/21	17:00:00	14.098					
199	13/02/21	18:00:00	14.098					
200	13/02/21	19:00:00	14.098					
201	13/02/21	20:00:00	14.098					
202	13/02/21	21:00:00	14.098					
203	13/02/21	22:00:00	14.098					
204	13/02/21	23:00:00	14.098					
205	14/02/21	00:00:00	14.074					
206	14/02/21	01:00:00	14.074					
207	14/02/21	02:00:00	14.074					
208	14/02/21	03:00:00	14.074					
209	14/02/21	04:00:00	14.074					
210	14/02/21	05:00:00	14.050					
211	14/02/21	06:00:00	14.050					
212	14/02/21	07:00:00	14.050					
213	14/02/21	08:00:00	14.026					
214	14/02/21	09:00:00	14.026					
215	14/02/21	10:00:00	14.002					
216	14/02/21	11:00:00	14.002					
217	14/02/21	12:00:00	14.002					
218	14/02/21	13:00:00	14.002					
219	14/02/21	14:00:00	14.026					
220	14/02/21	15:00:00	14.002					
221	14/02/21	16:00:00	14.002					
222	14/02/21	17:00:00	13.978					
223	14/02/21	18:00:00	13.978					
224	14/02/21	19:00:00	13.954					
225	14/02/21	20:00:00	13.954					
226	14/02/21	21:00:00	13.954					
227	14/02/21	22:00:00	13.954					
228	14/02/21	23:00:00	13.930					
229	15/02/21	00:00:00	13.930					
230	15/02/21	01:00:00	13.930					
231	15/02/21	02:00:00	13.906					
232	15/02/21	03:00:00	13.930					
