"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20291509, SEN S/N: 20291509, LBL: Porros 5m_22052019)"	"Acoplador separado (LGR S/N: 20291509, SEN S/N: 20291509)"	"Acoplador adjunto (LGR S/N: 20291509, SEN S/N: 20291509)"	"Host conectado (LGR S/N: 20291509, SEN S/N: 20291509)"	"Parado (LGR S/N: 20291509, SEN S/N: 20291509)"	"Final de archivo (LGR S/N: 20291509, SEN S/N: 20291509)"
1	01/07/20	12:00:00	23.545	Registrado				
2	01/07/20	13:00:00	23.689					
3	01/07/20	14:00:00	23.881					
4	01/07/20	15:00:00	23.930					
5	01/07/20	16:00:00	23.881					
6	01/07/20	17:00:00	24.002					
7	01/07/20	18:00:00	23.978					
8	01/07/20	19:00:00	23.978					
9	01/07/20	20:00:00	24.267					
10	01/07/20	21:00:00	24.557					
11	01/07/20	22:00:00	24.702					
12	01/07/20	23:00:00	24.944					
13	02/07/20	00:00:00	24.992					
14	02/07/20	01:00:00	25.016					
15	02/07/20	02:00:00	24.992					
16	02/07/20	03:00:00	24.992					
17	02/07/20	04:00:00	24.968					
18	02/07/20	05:00:00	24.726					
19	02/07/20	06:00:00	24.243					
20	02/07/20	07:00:00	24.243					
21	02/07/20	08:00:00	24.195					
22	02/07/20	09:00:00	24.219					
23	02/07/20	10:00:00	24.388					
24	02/07/20	11:00:00	24.508					
25	02/07/20	12:00:00	24.532					
26	02/07/20	13:00:00	24.484					
27	02/07/20	14:00:00	24.412					
28	02/07/20	15:00:00	24.388					
29	02/07/20	16:00:00	24.339					
30	02/07/20	17:00:00	24.363					
31	02/07/20	18:00:00	24.267					
32	02/07/20	19:00:00	24.195					
33	02/07/20	20:00:00	24.412					
34	02/07/20	21:00:00	24.847					
35	02/07/20	22:00:00	24.436					
36	02/07/20	23:00:00	24.653					
37	03/07/20	00:00:00	24.460					
38	03/07/20	01:00:00	24.412					
39	03/07/20	02:00:00	24.146					
40	03/07/20	03:00:00	23.761					
41	03/07/20	04:00:00	23.304					
42	03/07/20	05:00:00	22.992					
43	03/07/20	06:00:00	22.345					
44	03/07/20	07:00:00	22.202					
45	03/07/20	08:00:00	22.226					
46	03/07/20	09:00:00	22.321					
47	03/07/20	10:00:00	22.298					
48	03/07/20	11:00:00	22.130					
49	03/07/20	12:00:00	22.441					
50	03/07/20	13:00:00	22.298					
51	03/07/20	14:00:00	22.465					
52	03/07/20	15:00:00	22.441					
53	03/07/20	16:00:00	22.130					
54	03/07/20	17:00:00	22.250					
55	03/07/20	18:00:00	22.226					
56	03/07/20	19:00:00	21.987					
57	03/07/20	20:00:00	22.202					
58	03/07/20	21:00:00	22.321					
59	03/07/20	22:00:00	21.819					
60	03/07/20	23:00:00	22.034					
61	04/07/20	00:00:00	22.178					
62	04/07/20	01:00:00	22.321					
63	04/07/20	02:00:00	22.250					
64	04/07/20	03:00:00	21.461					
65	04/07/20	04:00:00	20.174					
66	04/07/20	05:00:00	20.269					
67	04/07/20	06:00:00	20.365					
68	04/07/20	07:00:00	21.533					
69	04/07/20	08:00:00	21.915					
70	04/07/20	09:00:00	22.226					
71	04/07/20	10:00:00	22.082					
72	04/07/20	11:00:00	22.298					
73	04/07/20	12:00:00	22.298					
74	04/07/20	13:00:00	22.441					
75	04/07/20	14:00:00	22.585					
76	04/07/20	15:00:00	22.465					
77	04/07/20	16:00:00	22.393					
78	04/07/20	17:00:00	22.298					
79	04/07/20	18:00:00	22.417					
80	04/07/20	19:00:00	22.441					
81	04/07/20	20:00:00	22.298					
82	04/07/20	21:00:00	22.393					
83	04/07/20	22:00:00	22.441					
84	04/07/20	23:00:00	22.705					
85	05/07/20	00:00:00	22.776					
86	05/07/20	01:00:00	22.776					
87	05/07/20	02:00:00	22.800					
88	05/07/20	03:00:00	22.896					
89	05/07/20	04:00:00	23.016					
90	05/07/20	05:00:00	22.992					
91	05/07/20	06:00:00	22.968					
92	05/07/20	07:00:00	22.944					
93	05/07/20	08:00:00	22.681					
94	05/07/20	09:00:00	22.489					
95	05/07/20	10:00:00	22.633					
96	05/07/20	11:00:00	22.729					
97	05/07/20	12:00:00	22.896					
98	05/07/20	13:00:00	22.920					
99	05/07/20	14:00:00	22.968					
100	05/07/20	15:00:00	23.016					
101	05/07/20	16:00:00	23.040					
102	05/07/20	17:00:00	22.992					
103	05/07/20	18:00:00	23.737					
104	05/07/20	19:00:00	23.761					
105	05/07/20	20:00:00	23.809					
106	05/07/20	21:00:00	23.833					
107	05/07/20	22:00:00	24.074					
108	05/07/20	23:00:00	24.050					
109	06/07/20	00:00:00	23.881					
110	06/07/20	01:00:00	23.930					
111	06/07/20	02:00:00	24.074					
112	06/07/20	03:00:00	24.171					
113	06/07/20	04:00:00	24.243					
114	06/07/20	05:00:00	24.267					
115	06/07/20	06:00:00	24.122					
116	06/07/20	07:00:00	24.171					
117	06/07/20	08:00:00	24.219					
118	06/07/20	09:00:00	24.267					
119	06/07/20	10:00:00	24.412					
120	06/07/20	11:00:00	24.508					
121	06/07/20	12:00:00	24.581					
122	06/07/20	13:00:00	24.581					
123	06/07/20	14:00:00	24.726					
124	06/07/20	15:00:00	24.750					
125	06/07/20	16:00:00	24.677					
126	06/07/20	17:00:00	24.702					
127	06/07/20	18:00:00	24.605					
128	06/07/20	19:00:00	24.532					
129	06/07/20	20:00:00	24.605					
130	06/07/20	21:00:00	24.605					
131	06/07/20	22:00:00	24.605					
132	06/07/20	23:00:00	24.605					
133	07/07/20	00:00:00	24.581					
134	07/07/20	01:00:00	24.581					
135	07/07/20	02:00:00	24.460					
136	07/07/20	03:00:00	24.291					
137	07/07/20	04:00:00	24.002					
138	07/07/20	05:00:00	23.376					
139	07/07/20	06:00:00	22.848					
140	07/07/20	07:00:00	22.657					
141	07/07/20	08:00:00	22.441					
142	07/07/20	09:00:00	21.676					
143	07/07/20	10:00:00	21.795					
144	07/07/20	11:00:00	21.987					
145	07/07/20	12:00:00	23.016					
146	07/07/20	13:00:00	23.521					
147	07/07/20	14:00:00	23.689					
