"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954376, SEN S/N: 20954376, LBL: Aire_20m_120722)"	"Acoplador separado (LGR S/N: 20954376, SEN S/N: 20954376)"	"Acoplador adjunto (LGR S/N: 20954376, SEN S/N: 20954376)"	"Host conectado (LGR S/N: 20954376, SEN S/N: 20954376)"	"Parado (LGR S/N: 20954376, SEN S/N: 20954376)"	"Final de archivo (LGR S/N: 20954376, SEN S/N: 20954376)"
1	12/07/22	10:00:00	27.677	Registrado				
2	12/07/22	11:00:00	29.715					
3	12/07/22	12:00:00	26.061					
4	12/07/22	13:00:00	21.246					
5	12/07/22	14:00:00	20.650					
6	12/07/22	15:00:00	20.198					
7	12/07/22	16:00:00	20.484					
8	12/07/22	17:00:00	21.676					
9	12/07/22	18:00:00	20.317					
10	12/07/22	19:00:00	21.867					
11	12/07/22	20:00:00	22.513					
12	12/07/22	21:00:00	23.136					
13	12/07/22	22:00:00	24.557					
14	12/07/22	23:00:00	25.162					
15	13/07/22	00:00:00	25.574					
16	13/07/22	01:00:00	21.294					
17	13/07/22	02:00:00	21.008					
18	13/07/22	03:00:00	19.960					
19	13/07/22	04:00:00	20.198					
20	13/07/22	05:00:00	19.579					
21	13/07/22	06:00:00	18.866					
22	13/07/22	07:00:00	18.723					
23	13/07/22	08:00:00	21.270					
24	13/07/22	09:00:00	23.208					
25	13/07/22	10:00:00	21.963					
26	13/07/22	11:00:00	22.130					
27	13/07/22	12:00:00	23.280					
28	13/07/22	13:00:00	22.106					
29	13/07/22	14:00:00	23.737					
30	13/07/22	15:00:00	23.930					
31	13/07/22	16:00:00	21.079					
32	13/07/22	17:00:00	22.681					
33	13/07/22	18:00:00	19.341					
34	13/07/22	19:00:00	19.318					
35	13/07/22	20:00:00	20.055					
36	13/07/22	21:00:00	21.843					
37	13/07/22	22:00:00	24.363					
38	13/07/22	23:00:00	23.448					
39	14/07/22	00:00:00	22.202					
40	14/07/22	01:00:00	21.366					
41	14/07/22	02:00:00	23.689					
42	14/07/22	03:00:00	21.724					
43	14/07/22	04:00:00	24.243					
44	14/07/22	05:00:00	21.223					
45	14/07/22	06:00:00	20.150					
46	14/07/22	07:00:00	20.531					
47	14/07/22	08:00:00	20.507					
48	14/07/22	09:00:00	22.657					
49	14/07/22	10:00:00	22.298					
50	14/07/22	11:00:00	23.040					
51	14/07/22	12:00:00	24.484					
52	14/07/22	13:00:00	21.795					
53	14/07/22	14:00:00	21.366					
54	14/07/22	15:00:00	21.700					
55	14/07/22	16:00:00	20.817					
56	14/07/22	17:00:00	22.250					
57	14/07/22	18:00:00	21.318					
58	14/07/22	19:00:00	22.776					
59	14/07/22	20:00:00	23.064					
60	14/07/22	21:00:00	23.184					
61	14/07/22	22:00:00	23.785					
62	14/07/22	23:00:00	23.641					
63	15/07/22	00:00:00	23.521					
64	15/07/22	01:00:00	21.987					
65	15/07/22	02:00:00	22.106					
66	15/07/22	03:00:00	22.609					
67	15/07/22	04:00:00	22.106					
68	15/07/22	05:00:00	22.537					
69	15/07/22	06:00:00	22.178					
70	15/07/22	07:00:00	23.160					
71	15/07/22	08:00:00	20.603					
72	15/07/22	09:00:00	22.776					
73	15/07/22	10:00:00	24.219					
