"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20364086, SEN S/N: 20364086, LBL: Aire_25m)"	"Acoplador separado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Acoplador adjunto (LGR S/N: 20364086, SEN S/N: 20364086)"	"Host conectado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Parado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Final de archivo (LGR S/N: 20364086, SEN S/N: 20364086)"
1	17/05/22	10:00:00	21.413	Registrado				
2	17/05/22	11:00:00	23.424					
3	17/05/22	12:00:00	16.201					
4	17/05/22	13:00:00	16.249					
5	17/05/22	14:00:00	16.272					
6	17/05/22	15:00:00	16.344					
7	17/05/22	16:00:00	16.320					
8	17/05/22	17:00:00	16.392					
9	17/05/22	18:00:00	16.439					
10	17/05/22	19:00:00	16.487					
11	17/05/22	20:00:00	16.392					
12	17/05/22	21:00:00	16.201					
13	17/05/22	22:00:00	16.106					
14	17/05/22	23:00:00	16.106					
15	18/05/22	00:00:00	16.320					
16	18/05/22	01:00:00	16.249					
17	18/05/22	02:00:00	16.177					
18	18/05/22	03:00:00	16.106					
19	18/05/22	04:00:00	16.153					
20	18/05/22	05:00:00	16.153					
21	18/05/22	06:00:00	16.201					
22	18/05/22	07:00:00	16.558					
23	18/05/22	08:00:00	16.796					
24	18/05/22	09:00:00	16.725					
25	18/05/22	10:00:00	16.582					
26	18/05/22	11:00:00	16.606					
27	18/05/22	12:00:00	16.701					
28	18/05/22	13:00:00	16.773					
29	18/05/22	14:00:00	16.820					
30	18/05/22	15:00:00	16.773					
31	18/05/22	16:00:00	16.773					
32	18/05/22	17:00:00	16.796					
33	18/05/22	18:00:00	16.844					
34	18/05/22	19:00:00	16.844					
35	18/05/22	20:00:00	16.820					
36	18/05/22	21:00:00	16.915					
37	18/05/22	22:00:00	16.820					
38	18/05/22	23:00:00	16.796					
39	19/05/22	00:00:00	16.820					
40	19/05/22	01:00:00	16.796					
41	19/05/22	02:00:00	16.892					
42	19/05/22	03:00:00	16.939					
43	19/05/22	04:00:00	16.915					
44	19/05/22	05:00:00	16.892					
45	19/05/22	06:00:00	16.606					
46	19/05/22	07:00:00	16.487					
47	19/05/22	08:00:00	16.415					
48	19/05/22	09:00:00	16.415					
49	19/05/22	10:00:00	16.392					
50	19/05/22	11:00:00	16.558					
51	19/05/22	12:00:00	16.987					
52	19/05/22	13:00:00	17.034					
53	19/05/22	14:00:00	16.963					
54	19/05/22	15:00:00	16.987					
55	19/05/22	16:00:00	16.844					
56	19/05/22	17:00:00	16.773					
57	19/05/22	18:00:00	17.201					
58	19/05/22	19:00:00	17.177					
59	19/05/22	20:00:00	17.034					
60	19/05/22	21:00:00	16.892					
61	19/05/22	22:00:00	16.725					
62	19/05/22	23:00:00	16.511					
63	20/05/22	00:00:00	16.463					
64	20/05/22	01:00:00	16.939					
65	20/05/22	02:00:00	16.487					
66	20/05/22	03:00:00	16.915					
67	20/05/22	04:00:00	16.915					
68	20/05/22	05:00:00	17.058					
69	20/05/22	06:00:00	17.058					
70	20/05/22	07:00:00	17.034					
71	20/05/22	08:00:00	16.868					
72	20/05/22	09:00:00	16.630					
73	20/05/22	10:00:00	16.487					
74	20/05/22	11:00:00	16.487					
75	20/05/22	12:00:00	16.487					
76	20/05/22	13:00:00	16.582					
77	20/05/22	14:00:00	16.749					
78	20/05/22	15:00:00	16.725					
79	20/05/22	16:00:00	16.677					
80	20/05/22	17:00:00	16.701					
81	20/05/22	18:00:00	16.725					
82	20/05/22	19:00:00	16.844					
83	20/05/22	20:00:00	16.892					
84	20/05/22	21:00:00	16.439					
