Date	Time	15
30/06/2021	14:30:00	22.73
30/06/2021	14:45:00	22.52
30/06/2021	15:00:00	21.92
30/06/2021	15:15:00	21.83
30/06/2021	15:30:00	21.36
30/06/2021	15:45:00	21.75
30/06/2021	16:00:00	21.36
30/06/2021	16:15:00	21.19
30/06/2021	16:30:00	20.59
30/06/2021	16:45:00	21.28
30/06/2021	17:00:00	21.79
30/06/2021	17:15:00	22.61
30/06/2021	17:30:00	22.86
30/06/2021	17:45:00	22.95
30/06/2021	18:00:00	23.51
30/06/2021	18:15:00	23.94
30/06/2021	18:30:00	24.02
30/06/2021	18:45:00	23.89
30/06/2021	19:00:00	23.85
30/06/2021	19:15:00	22.43
30/06/2021	19:30:00	21.53
30/06/2021	19:45:00	21.19
30/06/2021	20:00:00	20.89
30/06/2021	20:15:00	21.36
30/06/2021	20:30:00	21.45
30/06/2021	20:45:00	21.83
30/06/2021	21:00:00	22.13
30/06/2021	21:15:00	22.22
30/06/2021	21:30:00	21.92
30/06/2021	21:45:00	21.45
30/06/2021	22:00:00	21.28
30/06/2021	22:15:00	20.93
30/06/2021	22:30:00	20.63
30/06/2021	22:45:00	20.25
30/06/2021	23:00:00	20.03
30/06/2021	23:15:00	19.43
30/06/2021	23:30:00	19.3
30/06/2021	23:45:00	19.22
01/07/2021	00:00:00	19.43
01/07/2021	00:15:00	19.95
01/07/2021	00:30:00	19.6
01/07/2021	00:45:00	19.52
01/07/2021	01:00:00	19.3
01/07/2021	01:15:00	18.96
01/07/2021	01:30:00	18.79
01/07/2021	01:45:00	18.92
01/07/2021	02:00:00	19.04
01/07/2021	02:15:00	19.09
01/07/2021	02:30:00	18.83
01/07/2021	02:45:00	18.79
01/07/2021	03:00:00	18.66
01/07/2021	03:15:00	18.57
01/07/2021	03:30:00	18.66
01/07/2021	03:45:00	18.66
01/07/2021	04:00:00	18.79
01/07/2021	04:15:00	18.74
01/07/2021	04:30:00	18.44
01/07/2021	04:45:00	18.19
01/07/2021	05:00:00	18.7
01/07/2021	05:15:00	18.62
01/07/2021	05:30:00	18.87
01/07/2021	05:45:00	19.3
01/07/2021	06:00:00	19.13
01/07/2021	06:15:00	19.35
01/07/2021	06:30:00	19.3
01/07/2021	06:45:00	19.6
01/07/2021	07:00:00	19.73
01/07/2021	07:15:00	19.3
01/07/2021	07:30:00	19.13
01/07/2021	07:45:00	19.04
01/07/2021	08:00:00	19.22
01/07/2021	08:15:00	19
01/07/2021	08:30:00	19.26
01/07/2021	08:45:00	19.52
01/07/2021	09:00:00	19.35
01/07/2021	09:15:00	18.74
01/07/2021	09:30:00	18.87
01/07/2021	09:45:00	18.74
01/07/2021	10:00:00	18.79
01/07/2021	10:15:00	18.92
01/07/2021	10:30:00	18.49
01/07/2021	10:45:00	18.57
01/07/2021	11:00:00	18.49
01/07/2021	11:15:00	18.44
01/07/2021	11:30:00	18.74
01/07/2021	11:45:00	18.96
01/07/2021	12:00:00	18.92
01/07/2021	12:15:00	18.92
01/07/2021	12:30:00	19
01/07/2021	12:45:00	18.96
01/07/2021	13:00:00	18.92
01/07/2021	13:15:00	18.96
01/07/2021	13:30:00	18.92
01/07/2021	13:45:00	18.92
01/07/2021	14:00:00	19.04
01/07/2021	14:15:00	19.09
01/07/2021	14:30:00	19.04
