"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21151957, SEN S/N: 21151957, LBL: 30m)"	"Acoplador separado (LGR S/N: 21151957, SEN S/N: 21151957)"	"Acoplador adjunto (LGR S/N: 21151957, SEN S/N: 21151957)"	"Host conectado (LGR S/N: 21151957, SEN S/N: 21151957)"	"Parado (LGR S/N: 21151957, SEN S/N: 21151957)"	"Final de archivo (LGR S/N: 21151957, SEN S/N: 21151957)"
1	05/04/23	10:00:00	17.177	Registrado				
2	05/04/23	11:00:00	14.242					
3	05/04/23	12:00:00	14.529					
4	05/04/23	13:00:00	14.529					
5	05/04/23	14:00:00	14.529					
6	05/04/23	15:00:00	14.505					
7	05/04/23	16:00:00	14.457					
8	05/04/23	17:00:00	14.457					
9	05/04/23	18:00:00	14.457					
10	05/04/23	19:00:00	14.481					
11	05/04/23	20:00:00	14.481					
12	05/04/23	21:00:00	14.409					
13	05/04/23	22:00:00	14.457					
14	05/04/23	23:00:00	14.457					
15	06/04/23	00:00:00	14.433					
16	06/04/23	01:00:00	14.457					
17	06/04/23	02:00:00	14.481					
18	06/04/23	03:00:00	14.481					
19	06/04/23	04:00:00	14.457					
20	06/04/23	05:00:00	14.457					
21	06/04/23	06:00:00	14.457					
22	06/04/23	07:00:00	14.457					
23	06/04/23	08:00:00	14.457					
24	06/04/23	09:00:00	14.433					
25	06/04/23	10:00:00	14.409					
26	06/04/23	11:00:00	14.409					
27	06/04/23	12:00:00	14.385					
28	06/04/23	13:00:00	14.409					
29	06/04/23	14:00:00	14.433					
30	06/04/23	15:00:00	14.433					
31	06/04/23	16:00:00	14.433					
32	06/04/23	17:00:00	14.433					
33	06/04/23	18:00:00	14.433					
34	06/04/23	19:00:00	14.433					
35	06/04/23	20:00:00	14.433					
36	06/04/23	21:00:00	14.457					
37	06/04/23	22:00:00	14.481					
38	06/04/23	23:00:00	14.505					
39	07/04/23	00:00:00	14.505					
40	07/04/23	01:00:00	14.505					
41	07/04/23	02:00:00	14.505					
42	07/04/23	03:00:00	14.505					
43	07/04/23	04:00:00	14.529					
44	07/04/23	05:00:00	14.529					
45	07/04/23	06:00:00	14.553					
46	07/04/23	07:00:00	14.577					
47	07/04/23	08:00:00	14.577					
48	07/04/23	09:00:00	14.553					
49	07/04/23	10:00:00	14.553					
50	07/04/23	11:00:00	14.529					
51	07/04/23	12:00:00	14.553					
52	07/04/23	13:00:00	14.601					
53	07/04/23	14:00:00	14.577					
54	07/04/23	15:00:00	14.649					
55	07/04/23	16:00:00	14.625					
56	07/04/23	17:00:00	14.601					
57	07/04/23	18:00:00	14.601					
58	07/04/23	19:00:00	14.601					
59	07/04/23	20:00:00	14.601					
60	07/04/23	21:00:00	14.577					
61	07/04/23	22:00:00	14.553					
62	07/04/23	23:00:00	14.553					
63	08/04/23	00:00:00	14.529					
64	08/04/23	01:00:00	14.529					
65	08/04/23	02:00:00	14.553					
66	08/04/23	03:00:00	14.529					
67	08/04/23	04:00:00	14.553					
68	08/04/23	05:00:00	14.553					
69	08/04/23	06:00:00	14.553					
70	08/04/23	07:00:00	14.529					
71	08/04/23	08:00:00	14.505					
72	08/04/23	09:00:00	14.505					
73	08/04/23	10:00:00	14.505					
74	08/04/23	11:00:00	14.529					
75	08/04/23	12:00:00	14.553					
76	08/04/23	13:00:00	14.553					
77	08/04/23	14:00:00	14.553					
78	08/04/23	15:00:00	14.457					
79	08/04/23	16:00:00	14.529					
80	08/04/23	17:00:00	14.553					
81	08/04/23	18:00:00	14.529					
82	08/04/23	19:00:00	14.529					
83	08/04/23	20:00:00	14.481					
84	08/04/23	21:00:00	14.505					
85	08/04/23	22:00:00	14.529					
86	08/04/23	23:00:00	14.553					
87	09/04/23	00:00:00	14.553					
88	09/04/23	01:00:00	14.553					
89	09/04/23	02:00:00	14.529					
90	09/04/23	03:00:00	14.553					
91	09/04/23	04:00:00	14.553					
92	09/04/23	05:00:00	14.553					
93	09/04/23	06:00:00	14.553					
94	09/04/23	07:00:00	14.553					
95	09/04/23	08:00:00	14.529					
96	09/04/23	09:00:00	14.529					
97	09/04/23	10:00:00	14.529					
98	09/04/23	11:00:00	14.505					
99	09/04/23	12:00:00	14.553					
100	09/04/23	13:00:00	14.601					
101	09/04/23	14:00:00	14.625					
102	09/04/23	15:00:00	14.673					
103	09/04/23	16:00:00	14.625					
104	09/04/23	17:00:00	14.601					
105	09/04/23	18:00:00	14.601					
106	09/04/23	19:00:00	14.601					
107	09/04/23	20:00:00	14.601					
108	09/04/23	21:00:00	14.577					
109	09/04/23	22:00:00	14.529					
110	09/04/23	23:00:00	14.553					
111	10/04/23	00:00:00	14.529					
112	10/04/23	01:00:00	14.553					
