"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235955, SEN S/N: 20235955, LBL: 20 mètres)"	"Acoplador separado (LGR S/N: 20235955, SEN S/N: 20235955)"	"Acoplador adjunto (LGR S/N: 20235955, SEN S/N: 20235955)"	"Host conectado (LGR S/N: 20235955, SEN S/N: 20235955)"	"Parado (LGR S/N: 20235955, SEN S/N: 20235955)"	"Final de archivo (LGR S/N: 20235955, SEN S/N: 20235955)"
1	05/04/23	10:00:00	14.721	Registrado				
2	05/04/23	11:00:00	14.816					
3	05/04/23	12:00:00	14.984					
4	05/04/23	13:00:00	14.481					
5	05/04/23	14:00:00	14.481					
6	05/04/23	15:00:00	14.457					
7	05/04/23	16:00:00	14.361					
8	05/04/23	17:00:00	14.361					
9	05/04/23	18:00:00	14.337					
10	05/04/23	19:00:00	14.337					
11	05/04/23	20:00:00	14.337					
12	05/04/23	21:00:00	14.337					
13	05/04/23	22:00:00	14.337					
14	05/04/23	23:00:00	14.337					
15	06/04/23	00:00:00	14.337					
16	06/04/23	01:00:00	14.361					
17	06/04/23	02:00:00	14.361					
18	06/04/23	03:00:00	14.361					
19	06/04/23	04:00:00	14.361					
20	06/04/23	05:00:00	14.361					
21	06/04/23	06:00:00	14.361					
22	06/04/23	07:00:00	14.361					
23	06/04/23	08:00:00	14.361					
24	06/04/23	09:00:00	14.409					
25	06/04/23	10:00:00	14.433					
26	06/04/23	11:00:00	14.433					
27	06/04/23	12:00:00	14.409					
28	06/04/23	13:00:00	14.409					
29	06/04/23	14:00:00	14.409					
30	06/04/23	15:00:00	14.385					
31	06/04/23	16:00:00	14.409					
32	06/04/23	17:00:00	14.409					
33	06/04/23	18:00:00	14.409					
34	06/04/23	19:00:00	14.433					
35	06/04/23	20:00:00	14.433					
36	06/04/23	21:00:00	14.433					
37	06/04/23	22:00:00	14.457					
38	06/04/23	23:00:00	14.457					
39	07/04/23	00:00:00	14.457					
40	07/04/23	01:00:00	14.457					
41	07/04/23	02:00:00	14.481					
42	07/04/23	03:00:00	14.481					
43	07/04/23	04:00:00	14.457					
44	07/04/23	05:00:00	14.481					
45	07/04/23	06:00:00	14.457					
46	07/04/23	07:00:00	14.457					
47	07/04/23	08:00:00	14.433					
48	07/04/23	09:00:00	14.457					
49	07/04/23	10:00:00	14.481					
50	07/04/23	11:00:00	14.577					
51	07/04/23	12:00:00	14.577					
52	07/04/23	13:00:00	14.601					
53	07/04/23	14:00:00	14.625					
54	07/04/23	15:00:00	14.577					
55	07/04/23	16:00:00	14.577					
56	07/04/23	17:00:00	14.529					
57	07/04/23	18:00:00	14.529					
58	07/04/23	19:00:00	14.505					
59	07/04/23	20:00:00	14.481					
60	07/04/23	21:00:00	14.481					
61	07/04/23	22:00:00	14.481					
62	07/04/23	23:00:00	14.457					
63	08/04/23	00:00:00	14.457					
64	08/04/23	01:00:00	14.433					
65	08/04/23	02:00:00	14.433					
66	08/04/23	03:00:00	14.433					
67	08/04/23	04:00:00	14.433					
68	08/04/23	05:00:00	14.433					
