"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235948, SEN S/N: 20235948, LBL: 15 mètres)"	"Acoplador separado (LGR S/N: 20235948, SEN S/N: 20235948)"	"Acoplador adjunto (LGR S/N: 20235948, SEN S/N: 20235948)"	"Host conectado (LGR S/N: 20235948, SEN S/N: 20235948)"	"Parado (LGR S/N: 20235948, SEN S/N: 20235948)"	"Final de archivo (LGR S/N: 20235948, SEN S/N: 20235948)"
1	02/05/23	13:00:00	23.184	Registrado				
2	02/05/23	14:00:00	24.388					
3	02/05/23	15:00:00	17.772					
4	02/05/23	16:00:00	15.915					
5	02/05/23	17:00:00	15.915					
6	02/05/23	18:00:00	15.867					
7	02/05/23	19:00:00	15.819					
8	02/05/23	20:00:00	15.843					
9	02/05/23	21:00:00	15.867					
10	02/05/23	22:00:00	15.915					
11	02/05/23	23:00:00	15.939					
12	03/05/23	00:00:00	15.939					
13	03/05/23	01:00:00	15.867					
14	03/05/23	02:00:00	15.843					
15	03/05/23	03:00:00	15.891					
16	03/05/23	04:00:00	15.843					
17	03/05/23	05:00:00	15.819					
18	03/05/23	06:00:00	15.891					
19	03/05/23	07:00:00	15.843					
20	03/05/23	08:00:00	15.843					
21	03/05/23	09:00:00	15.939					
22	03/05/23	10:00:00	16.153					
23	03/05/23	11:00:00	16.153					
24	03/05/23	12:00:00	16.129					
25	03/05/23	13:00:00	16.249					
26	03/05/23	14:00:00	16.249					
27	03/05/23	15:00:00	16.272					
28	03/05/23	16:00:00	16.296					
29	03/05/23	17:00:00	16.296					
30	03/05/23	18:00:00	16.272					
31	03/05/23	19:00:00	16.225					
32	03/05/23	20:00:00	16.201					
33	03/05/23	21:00:00	16.201					
34	03/05/23	22:00:00	16.225					
35	03/05/23	23:00:00	16.249					
36	04/05/23	00:00:00	16.249					
37	04/05/23	01:00:00	16.225					
38	04/05/23	02:00:00	16.153					
39	04/05/23	03:00:00	16.106					
40	04/05/23	04:00:00	16.082					
41	04/05/23	05:00:00	16.082					
42	04/05/23	06:00:00	16.058					
43	04/05/23	07:00:00	15.986					
44	04/05/23	08:00:00	16.058					
45	04/05/23	09:00:00	16.106					
46	04/05/23	10:00:00	16.249					
47	04/05/23	11:00:00	16.392					
48	04/05/23	12:00:00	16.201					
49	04/05/23	13:00:00	16.534					
50	04/05/23	14:00:00	16.320					
51	04/05/23	15:00:00	16.177					
52	04/05/23	16:00:00	16.177					
53	04/05/23	17:00:00	16.249					
54	04/05/23	18:00:00	16.320					
55	04/05/23	19:00:00	16.296					
56	04/05/23	20:00:00	16.296					
57	04/05/23	21:00:00	16.272					
58	04/05/23	22:00:00	16.153					
59	04/05/23	23:00:00	16.153					
60	05/05/23	00:00:00	16.153					
61	05/05/23	01:00:00	16.153					
62	05/05/23	02:00:00	16.129					
63	05/05/23	03:00:00	16.082					
64	05/05/23	04:00:00	15.986					
65	05/05/23	05:00:00	15.963					
66	05/05/23	06:00:00	15.963					
67	05/05/23	07:00:00	15.986					
68	05/05/23	08:00:00	16.034					
69	05/05/23	09:00:00	16.153					
70	05/05/23	10:00:00	16.129					
71	05/05/23	11:00:00	16.058					
72	05/05/23	12:00:00	16.010					
73	05/05/23	13:00:00	15.939					
74	05/05/23	14:00:00	15.963					
75	05/05/23	15:00:00	15.986					
76	05/05/23	16:00:00	16.010					
77	05/05/23	17:00:00	16.082					
78	05/05/23	18:00:00	16.153					
79	05/05/23	19:00:00	16.225					
80	05/05/23	20:00:00	16.249					
81	05/05/23	21:00:00	16.249					
82	05/05/23	22:00:00	16.058					
83	05/05/23	23:00:00	15.963					
84	06/05/23	00:00:00	15.963					
85	06/05/23	01:00:00	15.963					
86	06/05/23	02:00:00	15.915					
87	06/05/23	03:00:00	15.772					
88	06/05/23	04:00:00	15.772					
89	06/05/23	05:00:00	15.772					
90	06/05/23	06:00:00	15.796					
91	06/05/23	07:00:00	15.843					
92	06/05/23	08:00:00	15.963					
93	06/05/23	09:00:00	16.129					
94	06/05/23	10:00:00	16.272					
95	06/05/23	11:00:00	16.153					
96	06/05/23	12:00:00	16.010					
97	06/05/23	13:00:00	16.010					
98	06/05/23	14:00:00	16.058					
99	06/05/23	15:00:00	16.082					
100	06/05/23	16:00:00	16.106					
101	06/05/23	17:00:00	16.249					
102	06/05/23	18:00:00	16.296					
103	06/05/23	19:00:00	16.296					
104	06/05/23	20:00:00	16.177					
105	06/05/23	21:00:00	16.010					
106	06/05/23	22:00:00	15.891					
107	06/05/23	23:00:00	15.772					
108	07/05/23	00:00:00	15.557					
109	07/05/23	01:00:00	15.581					
110	07/05/23	02:00:00	15.605					
111	07/05/23	03:00:00	15.629					
112	07/05/23	04:00:00	15.629					
113	07/05/23	05:00:00	15.652					
114	07/05/23	06:00:00	15.652					
115	07/05/23	07:00:00	15.724					
116	07/05/23	08:00:00	15.772					
117	07/05/23	09:00:00	15.772					
118	07/05/23	10:00:00	15.939					
119	07/05/23	11:00:00	15.939					
120	07/05/23	12:00:00	15.939					
121	07/05/23	13:00:00	15.796					
122	07/05/23	14:00:00	15.581					
123	07/05/23	15:00:00	15.366					
124	07/05/23	16:00:00	15.390					
125	07/05/23	17:00:00	15.485					
126	07/05/23	18:00:00	15.843					
127	07/05/23	19:00:00	16.129					
128	07/05/23	20:00:00	16.129					
129	07/05/23	21:00:00	16.129					
130	07/05/23	22:00:00	16.106					
131	07/05/23	23:00:00	16.034					
132	08/05/23	00:00:00	15.819					
133	08/05/23	01:00:00	15.724					
134	08/05/23	02:00:00	15.748					
135	08/05/23	03:00:00	15.557					
136	08/05/23	04:00:00	15.318					
137	08/05/23	05:00:00	15.318					
138	08/05/23	06:00:00	15.342					
139	08/05/23	07:00:00	15.366					
