"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21151960, SEN S/N: 21151960, LBL: Sagro 35m)"	"Acoplador separado (LGR S/N: 21151960, SEN S/N: 21151960)"	"Acoplador adjunto (LGR S/N: 21151960, SEN S/N: 21151960)"	"Host conectado (LGR S/N: 21151960, SEN S/N: 21151960)"	"Parado (LGR S/N: 21151960, SEN S/N: 21151960)"	"Final de archivo (LGR S/N: 21151960, SEN S/N: 21151960)"
1	11/04/23	14:00:00	22.657	Registrado				
2	11/04/23	15:00:00	25.939					
3	11/04/23	16:00:00	14.505					
4	11/04/23	17:00:00	14.553					
5	11/04/23	18:00:00	14.553					
6	11/04/23	19:00:00	14.553					
7	11/04/23	20:00:00	14.577					
8	11/04/23	21:00:00	14.577					
9	11/04/23	22:00:00	14.625					
10	11/04/23	23:00:00	14.601					
11	12/04/23	00:00:00	14.601					
12	12/04/23	01:00:00	14.577					
13	12/04/23	02:00:00	14.577					
14	12/04/23	03:00:00	14.577					
15	12/04/23	04:00:00	14.433					
16	12/04/23	05:00:00	14.409					
17	12/04/23	06:00:00	14.409					
18	12/04/23	07:00:00	14.409					
19	12/04/23	08:00:00	14.409					
20	12/04/23	09:00:00	14.457					
21	12/04/23	10:00:00	14.481					
22	12/04/23	11:00:00	14.481					
23	12/04/23	12:00:00	14.505					
24	12/04/23	13:00:00	14.577					
25	12/04/23	14:00:00	14.601					
26	12/04/23	15:00:00	14.553					
27	12/04/23	16:00:00	14.601					
28	12/04/23	17:00:00	14.625					
29	12/04/23	18:00:00	14.601					
30	12/04/23	19:00:00	14.625					
31	12/04/23	20:00:00	14.625					
32	12/04/23	21:00:00	14.625					
33	12/04/23	22:00:00	14.649					
34	12/04/23	23:00:00	14.673					
35	13/04/23	00:00:00	14.673					
36	13/04/23	01:00:00	14.673					
37	13/04/23	02:00:00	14.697					
38	13/04/23	03:00:00	14.697					
39	13/04/23	04:00:00	14.673					
40	13/04/23	05:00:00	14.673					
41	13/04/23	06:00:00	14.697					
42	13/04/23	07:00:00	14.697					
43	13/04/23	08:00:00	14.697					
44	13/04/23	09:00:00	14.673					
45	13/04/23	10:00:00	14.697					
46	13/04/23	11:00:00	14.673					
47	13/04/23	12:00:00	14.697					
48	13/04/23	13:00:00	14.697					
49	13/04/23	14:00:00	14.697					
50	13/04/23	15:00:00	14.697					
51	13/04/23	16:00:00	14.649					
52	13/04/23	17:00:00	14.337					
53	13/04/23	18:00:00	14.337					
54	13/04/23	19:00:00	14.337					
55	13/04/23	20:00:00	14.361					
56	13/04/23	21:00:00	14.337					
57	13/04/23	22:00:00	14.337					
58	13/04/23	23:00:00	14.337					
59	14/04/23	00:00:00	14.337					
60	14/04/23	01:00:00	14.433					
61	14/04/23	02:00:00	14.505					
62	14/04/23	03:00:00	14.529					
63	14/04/23	04:00:00	14.529					
64	14/04/23	05:00:00	14.505					
65	14/04/23	06:00:00	14.505					
66	14/04/23	07:00:00	14.505					
67	14/04/23	08:00:00	14.505					
68	14/04/23	09:00:00	14.505					
69	14/04/23	10:00:00	14.529					
70	14/04/23	11:00:00	14.553					
71	14/04/23	12:00:00	14.529					
72	14/04/23	13:00:00	14.505					
