"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235938, SEN S/N: 20235938, LBL: Sagro 10m)"	"Acoplador separado (LGR S/N: 20235938, SEN S/N: 20235938)"	"Acoplador adjunto (LGR S/N: 20235938, SEN S/N: 20235938)"	"Host conectado (LGR S/N: 20235938, SEN S/N: 20235938)"	"Parado (LGR S/N: 20235938, SEN S/N: 20235938)"	"Final de archivo (LGR S/N: 20235938, SEN S/N: 20235938)"
1	02/05/23	13:00:00	22.657	Registrado				
2	02/05/23	14:00:00	23.160					
3	02/05/23	15:00:00	17.986					
4	02/05/23	16:00:00	15.915					
5	02/05/23	17:00:00	15.915					
6	02/05/23	18:00:00	15.819					
7	02/05/23	19:00:00	15.819					
8	02/05/23	20:00:00	15.819					
9	02/05/23	21:00:00	15.843					
10	02/05/23	22:00:00	15.867					
11	02/05/23	23:00:00	15.867					
12	03/05/23	00:00:00	15.891					
13	03/05/23	01:00:00	15.891					
14	03/05/23	02:00:00	15.891					
15	03/05/23	03:00:00	15.891					
16	03/05/23	04:00:00	15.867					
17	03/05/23	05:00:00	15.867					
18	03/05/23	06:00:00	15.891					
19	03/05/23	07:00:00	15.867					
20	03/05/23	08:00:00	15.867					
21	03/05/23	09:00:00	15.891					
22	03/05/23	10:00:00	16.010					
23	03/05/23	11:00:00	16.058					
24	03/05/23	12:00:00	16.201					
25	03/05/23	13:00:00	16.249					
26	03/05/23	14:00:00	16.249					
27	03/05/23	15:00:00	16.225					
28	03/05/23	16:00:00	16.344					
29	03/05/23	17:00:00	16.296					
30	03/05/23	18:00:00	16.249					
31	03/05/23	19:00:00	16.201					
32	03/05/23	20:00:00	16.201					
33	03/05/23	21:00:00	16.201					
34	03/05/23	22:00:00	16.296					
35	03/05/23	23:00:00	16.272					
36	04/05/23	00:00:00	16.320					
37	04/05/23	01:00:00	16.320					
38	04/05/23	02:00:00	16.344					
39	04/05/23	03:00:00	16.296					
40	04/05/23	04:00:00	16.249					
41	04/05/23	05:00:00	16.272					
42	04/05/23	06:00:00	16.129					
43	04/05/23	07:00:00	16.106					
44	04/05/23	08:00:00	16.082					
45	04/05/23	09:00:00	16.201					
46	04/05/23	10:00:00	16.272					
47	04/05/23	11:00:00	16.415					
48	04/05/23	12:00:00	16.511					
49	04/05/23	13:00:00	16.582					
50	04/05/23	14:00:00	16.487					
51	04/05/23	15:00:00	16.534					
52	04/05/23	16:00:00	16.796					
53	04/05/23	17:00:00	16.820					
54	04/05/23	18:00:00	16.749					
55	04/05/23	19:00:00	16.677					
56	04/05/23	20:00:00	16.582					
57	04/05/23	21:00:00	16.487					
58	04/05/23	22:00:00	16.272					
59	04/05/23	23:00:00	16.249					
60	05/05/23	00:00:00	16.225					
61	05/05/23	01:00:00	16.272					
62	05/05/23	02:00:00	16.249					
63	05/05/23	03:00:00	16.153					
64	05/05/23	04:00:00	16.153					
65	05/05/23	05:00:00	16.249					
66	05/05/23	06:00:00	16.177					
67	05/05/23	07:00:00	16.201					
68	05/05/23	08:00:00	16.320					
69	05/05/23	09:00:00	16.225					
70	05/05/23	10:00:00	16.249					
71	05/05/23	11:00:00	16.249					
72	05/05/23	12:00:00	16.249					
73	05/05/23	13:00:00	16.249					
74	05/05/23	14:00:00	16.463					
75	05/05/23	15:00:00	16.296					
76	05/05/23	16:00:00	16.249					
77	05/05/23	17:00:00	16.725					
78	05/05/23	18:00:00	16.534					
79	05/05/23	19:00:00	16.534					
80	05/05/23	20:00:00	16.487					
81	05/05/23	21:00:00	16.511					
82	05/05/23	22:00:00	16.296					
83	05/05/23	23:00:00	16.106					
84	06/05/23	00:00:00	16.249					
85	06/05/23	01:00:00	16.201					
86	06/05/23	02:00:00	16.106					
87	06/05/23	03:00:00	16.010					
88	06/05/23	04:00:00	16.034					
89	06/05/23	05:00:00	16.249					
90	06/05/23	06:00:00	16.177					
91	06/05/23	07:00:00	16.344					
92	06/05/23	08:00:00	16.368					
93	06/05/23	09:00:00	16.344					
94	06/05/23	10:00:00	16.320					
95	06/05/23	11:00:00	16.392					
96	06/05/23	12:00:00	16.320					
97	06/05/23	13:00:00	16.344					
98	06/05/23	14:00:00	16.415					
