"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235965, SEN S/N: 20235965, LBL: Sagro 40m)"	"Acoplador separado (LGR S/N: 20235965, SEN S/N: 20235965)"	"Acoplador adjunto (LGR S/N: 20235965, SEN S/N: 20235965)"	"Host conectado (LGR S/N: 20235965, SEN S/N: 20235965)"	"Parado (LGR S/N: 20235965, SEN S/N: 20235965)"	"Final de archivo (LGR S/N: 20235965, SEN S/N: 20235965)"
1	11/04/23	14:00:00	23.160	Registrado				
2	11/04/23	15:00:00	25.623					
3	11/04/23	16:00:00	14.457					
4	11/04/23	17:00:00	14.505					
5	11/04/23	18:00:00	14.529					
6	11/04/23	19:00:00	14.529					
7	11/04/23	20:00:00	14.553					
8	11/04/23	21:00:00	14.553					
9	11/04/23	22:00:00	14.577					
10	11/04/23	23:00:00	14.577					
11	12/04/23	00:00:00	14.577					
12	12/04/23	01:00:00	14.553					
13	12/04/23	02:00:00	14.553					
14	12/04/23	03:00:00	14.553					
15	12/04/23	04:00:00	14.409					
16	12/04/23	05:00:00	14.385					
17	12/04/23	06:00:00	14.385					
18	12/04/23	07:00:00	14.385					
19	12/04/23	08:00:00	14.385					
20	12/04/23	09:00:00	14.433					
21	12/04/23	10:00:00	14.433					
22	12/04/23	11:00:00	14.433					
23	12/04/23	12:00:00	14.433					
24	12/04/23	13:00:00	14.481					
25	12/04/23	14:00:00	14.529					
26	12/04/23	15:00:00	14.529					
27	12/04/23	16:00:00	14.529					
28	12/04/23	17:00:00	14.577					
29	12/04/23	18:00:00	14.529					
30	12/04/23	19:00:00	14.577					
31	12/04/23	20:00:00	14.577					
32	12/04/23	21:00:00	14.601					
33	12/04/23	22:00:00	14.625					
34	12/04/23	23:00:00	14.649					
35	13/04/23	00:00:00	14.649					
36	13/04/23	01:00:00	14.649					
37	13/04/23	02:00:00	14.673					
38	13/04/23	03:00:00	14.673					
39	13/04/23	04:00:00	14.649					
40	13/04/23	05:00:00	14.649					
41	13/04/23	06:00:00	14.673					
42	13/04/23	07:00:00	14.673					
43	13/04/23	08:00:00	14.673					
44	13/04/23	09:00:00	14.625					
45	13/04/23	10:00:00	14.649					
46	13/04/23	11:00:00	14.625					
47	13/04/23	12:00:00	14.673					
48	13/04/23	13:00:00	14.649					
49	13/04/23	14:00:00	14.649					
50	13/04/23	15:00:00	14.649					
51	13/04/23	16:00:00	14.625					
52	13/04/23	17:00:00	14.314					
53	13/04/23	18:00:00	14.290					
54	13/04/23	19:00:00	14.290					
55	13/04/23	20:00:00	14.314					
56	13/04/23	21:00:00	14.314					
57	13/04/23	22:00:00	14.290					
58	13/04/23	23:00:00	14.290					
59	14/04/23	00:00:00	14.290					
60	14/04/23	01:00:00	14.361					
61	14/04/23	02:00:00	14.457					
62	14/04/23	03:00:00	14.505					
63	14/04/23	04:00:00	14.505					
64	14/04/23	05:00:00	14.481					
65	14/04/23	06:00:00	14.481					
66	14/04/23	07:00:00	14.481					
67	14/04/23	08:00:00	14.481					
68	14/04/23	09:00:00	14.481					
69	14/04/23	10:00:00	14.481					
70	14/04/23	11:00:00	14.481					
71	14/04/23	12:00:00	14.457					
72	14/04/23	13:00:00	14.457					
73	14/04/23	14:00:00	14.457					
74	14/04/23	15:00:00	14.457					
75	14/04/23	16:00:00	14.481					
76	14/04/23	17:00:00	14.481					
77	14/04/23	18:00:00	14.481					
78	14/04/23	19:00:00	14.481					
79	14/04/23	20:00:00	14.481					
80	14/04/23	21:00:00	14.481					
81	14/04/23	22:00:00	14.481					
82	14/04/23	23:00:00	14.505					
83	15/04/23	00:00:00	14.529					
84	15/04/23	01:00:00	14.553					
85	15/04/23	02:00:00	14.577					
86	15/04/23	03:00:00	14.577					
87	15/04/23	04:00:00	14.577					
88	15/04/23	05:00:00	14.577					
89	15/04/23	06:00:00	14.577					
90	15/04/23	07:00:00	14.577					
91	15/04/23	08:00:00	14.577					
92	15/04/23	09:00:00	14.625					
93	15/04/23	10:00:00	14.649					
94	15/04/23	11:00:00	14.649					
95	15/04/23	12:00:00	14.673					
96	15/04/23	13:00:00	14.697					
97	15/04/23	14:00:00	14.721					
98	15/04/23	15:00:00	14.768					
99	15/04/23	16:00:00	14.768					
100	15/04/23	17:00:00	14.745					
101	15/04/23	18:00:00	14.745					
102	15/04/23	19:00:00	14.745					
103	15/04/23	20:00:00	14.768					
104	15/04/23	21:00:00	14.768					
105	15/04/23	22:00:00	14.768					
106	15/04/23	23:00:00	14.792					
107	16/04/23	00:00:00	14.792					
108	16/04/23	01:00:00	14.816					
109	16/04/23	02:00:00	14.768					
110	16/04/23	03:00:00	14.768					
111	16/04/23	04:00:00	14.745					
112	16/04/23	05:00:00	14.721					
113	16/04/23	06:00:00	14.721					
114	16/04/23	07:00:00	14.697					
115	16/04/23	08:00:00	14.697					
116	16/04/23	09:00:00	14.697					
117	16/04/23	10:00:00	14.697					
118	16/04/23	11:00:00	14.697					
119	16/04/23	12:00:00	14.697					
120	16/04/23	13:00:00	14.721					
121	16/04/23	14:00:00	14.721					
122	16/04/23	15:00:00	14.697					
123	16/04/23	16:00:00	14.721					
124	16/04/23	17:00:00	14.721					
125	16/04/23	18:00:00	14.768					
126	16/04/23	19:00:00	14.816					
127	16/04/23	20:00:00	14.864					
128	16/04/23	21:00:00	14.745					
129	16/04/23	22:00:00	14.745					
130	16/04/23	23:00:00	14.721					
131	17/04/23	00:00:00	14.745					
132	17/04/23	01:00:00	14.745					
133	17/04/23	02:00:00	14.745					
134	17/04/23	03:00:00	14.768					
135	17/04/23	04:00:00	14.745					
136	17/04/23	05:00:00	14.697					
137	17/04/23	06:00:00	14.673					
138	17/04/23	07:00:00	14.673					
139	17/04/23	08:00:00	14.697					
140	17/04/23	09:00:00	14.721					
141	17/04/23	10:00:00	14.721					
142	17/04/23	11:00:00	14.697					
143	17/04/23	12:00:00	14.721					
144	17/04/23	13:00:00	14.745					
145	17/04/23	14:00:00	14.768					
146	17/04/23	15:00:00	14.673					
147	17/04/23	16:00:00	14.649					
148	17/04/23	17:00:00	14.625					
149	17/04/23	18:00:00	14.601					
150	17/04/23	19:00:00	14.625					
151	17/04/23	20:00:00	14.625					
