"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21151962, SEN S/N: 21151962, LBL: Sagro 05m)"	"Acoplador separado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Acoplador adjunto (LGR S/N: 21151962, SEN S/N: 21151962)"	"Host conectado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Parado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Final de archivo (LGR S/N: 21151962, SEN S/N: 21151962)"
459	21/05/23	15:00:00	17.938					
460	21/05/23	16:00:00	18.010					
461	21/05/23	17:00:00	17.962					
462	21/05/23	18:00:00	17.867					
463	21/05/23	19:00:00	17.582					
464	21/05/23	20:00:00	17.843					
465	21/05/23	21:00:00	17.986					
466	21/05/23	22:00:00	17.772					
467	21/05/23	23:00:00	17.938					
468	22/05/23	00:00:00	17.843					
469	22/05/23	01:00:00	17.843					
470	22/05/23	02:00:00	17.724					
471	22/05/23	03:00:00	17.938					
472	22/05/23	04:00:00	17.796					
473	22/05/23	05:00:00	17.915					
474	22/05/23	06:00:00	17.938					
475	22/05/23	07:00:00	18.010					
476	22/05/23	08:00:00	18.033					
477	22/05/23	09:00:00	18.105					
478	22/05/23	10:00:00	18.176					
479	22/05/23	11:00:00	18.081					
480	22/05/23	12:00:00	18.033					
481	22/05/23	13:00:00	18.176					
482	22/05/23	14:00:00	18.247					
483	22/05/23	15:00:00	18.247					
484	22/05/23	16:00:00	18.390					
485	22/05/23	17:00:00	18.414					
486	22/05/23	18:00:00	19.270					
487	22/05/23	19:00:00	18.557					
488	22/05/23	20:00:00	18.390					
489	22/05/23	21:00:00	18.152					
490	22/05/23	22:00:00	18.319					
491	22/05/23	23:00:00	18.343					
492	23/05/23	00:00:00	18.485					
493	23/05/23	01:00:00	18.366					
494	23/05/23	02:00:00	18.295					
495	23/05/23	03:00:00	18.271					
496	23/05/23	04:00:00	18.176					
497	23/05/23	05:00:00	18.129					
498	23/05/23	06:00:00	18.152					
499	23/05/23	07:00:00	18.200					
500	23/05/23	08:00:00	18.247					
501	23/05/23	09:00:00	18.200					
502	23/05/23	10:00:00	18.295					
503	23/05/23	11:00:00	18.224					
504	23/05/23	12:00:00	18.366					
505	23/05/23	13:00:00	18.509					
506	23/05/23	14:00:00	18.557					
507	23/05/23	15:00:00	19.318					
508	23/05/23	16:00:00	18.652					
509	23/05/23	17:00:00	18.533					
510	23/05/23	18:00:00	18.152					
511	23/05/23	19:00:00	18.247					
512	23/05/23	20:00:00	18.129					
513	23/05/23	21:00:00	18.057					
514	23/05/23	22:00:00	17.843					
515	23/05/23	23:00:00	17.772					
516	24/05/23	00:00:00	17.629					
517	24/05/23	01:00:00	17.701					
518	24/05/23	02:00:00	17.938					
519	24/05/23	03:00:00	17.843					
520	24/05/23	04:00:00	17.891					
521	24/05/23	05:00:00	17.938					
522	24/05/23	06:00:00	18.033					
523	24/05/23	07:00:00	18.033					
524	24/05/23	08:00:00	18.057					
525	24/05/23	09:00:00	18.271					
526	24/05/23	10:00:00	18.200					
527	24/05/23	11:00:00	18.010					
528	24/05/23	12:00:00	18.010					
529	24/05/23	13:00:00	17.986					
530	24/05/23	14:00:00	18.129					
531	24/05/23	15:00:00	18.200					
532	24/05/23	16:00:00	18.604					
533	24/05/23	17:00:00	18.366					
534	24/05/23	18:00:00	18.081					
535	24/05/23	19:00:00	17.986					
536	24/05/23	20:00:00	17.938					
537	24/05/23	21:00:00	17.819					
538	24/05/23	22:00:00	17.772					
539	24/05/23	23:00:00	16.987					
540	25/05/23	00:00:00	16.439					
541	25/05/23	01:00:00	16.582					
542	25/05/23	02:00:00	16.534					
543	25/05/23	03:00:00	17.344					
544	25/05/23	04:00:00	17.439					
545	25/05/23	05:00:00	17.748					
546	25/05/23	06:00:00	17.843					
547	25/05/23	07:00:00	17.891					
548	25/05/23	08:00:00	17.843					
549	25/05/23	09:00:00	17.772					
550	25/05/23	10:00:00	17.915					
551	25/05/23	11:00:00	18.010					
552	25/05/23	12:00:00	18.105					
553	25/05/23	13:00:00	18.033					
554	25/05/23	14:00:00	17.938					
555	25/05/23	15:00:00	18.438					
556	25/05/23	16:00:00	18.295					
557	25/05/23	17:00:00	17.724					
558	25/05/23	18:00:00	17.915					
559	25/05/23	19:00:00	17.843					
560	25/05/23	20:00:00	17.391					
561	25/05/23	21:00:00	17.629					
562	25/05/23	22:00:00	17.629					
563	25/05/23	23:00:00	17.582					
564	26/05/23	00:00:00	17.605					
565	26/05/23	01:00:00	17.605					
566	26/05/23	02:00:00	17.629					
567	26/05/23	03:00:00	18.557					
568	26/05/23	04:00:00	18.105					
569	26/05/23	05:00:00	18.509					
570	26/05/23	06:00:00	18.129					
571	26/05/23	07:00:00	17.724					
572	26/05/23	08:00:00	17.415					
573	26/05/23	09:00:00	17.915					
574	26/05/23	10:00:00	19.318					
575	26/05/23	11:00:00	19.294					
576	26/05/23	12:00:00	19.151					
577	26/05/23	13:00:00	19.722					
578	26/05/23	14:00:00	19.032					
579	26/05/23	15:00:00	19.865					
580	26/05/23	16:00:00	19.817					
581	26/05/23	17:00:00	19.341					
582	26/05/23	18:00:00	19.770					
583	26/05/23	19:00:00	19.199					
584	26/05/23	20:00:00	19.222					
585	26/05/23	21:00:00	19.555					
586	26/05/23	22:00:00	19.912					
587	26/05/23	23:00:00	19.008					
588	27/05/23	00:00:00	18.818					
589	27/05/23	01:00:00	18.913					
590	27/05/23	02:00:00	18.794					
591	27/05/23	03:00:00	18.985					
592	27/05/23	04:00:00	18.771					
593	27/05/23	05:00:00	18.224					
594	27/05/23	06:00:00	18.794					
595	27/05/23	07:00:00	18.129					
596	27/05/23	08:00:00	18.580					
597	27/05/23	09:00:00	19.484					
598	27/05/23	10:00:00	19.698					
599	27/05/23	11:00:00	19.270					
600	27/05/23	12:00:00	19.413					
601	27/05/23	13:00:00	20.007					
602	27/05/23	14:00:00	19.912					
603	27/05/23	15:00:00	19.817					
604	27/05/23	16:00:00	19.413					
605	27/05/23	17:00:00	19.294					
606	27/05/23	18:00:00	19.246					
607	27/05/23	19:00:00	18.985					
608	27/05/23	20:00:00	20.031					
609	27/05/23	21:00:00	20.126					
610	27/05/23	22:00:00	20.031					
611	27/05/23	23:00:00	19.841					
612	28/05/23	00:00:00	19.651					
613	28/05/23	01:00:00	18.937					
614	28/05/23	02:00:00	18.842					
615	28/05/23	03:00:00	18.913					
616	28/05/23	04:00:00	19.151					
617	28/05/23	05:00:00	19.080					
618	28/05/23	06:00:00	18.985					
619	28/05/23	07:00:00	18.913					
620	28/05/23	08:00:00	18.771					
621	28/05/23	09:00:00	19.080					
622	28/05/23	10:00:00	19.103					
623	28/05/23	11:00:00	19.793					
624	28/05/23	12:00:00	19.341					
625	28/05/23	13:00:00	18.866					
626	28/05/23	14:00:00	21.008					
627	28/05/23	15:00:00	20.650					
628	28/05/23	16:00:00	20.269					
629	28/05/23	17:00:00	20.436					
630	28/05/23	18:00:00	20.674					
631	28/05/23	19:00:00	20.031					
632	28/05/23	20:00:00	19.484					
633	28/05/23	21:00:00	19.365					
634	28/05/23	22:00:00	19.222					
635	28/05/23	23:00:00	19.246					
636	29/05/23	00:00:00	19.365					
637	29/05/23	01:00:00	18.794					
638	29/05/23	02:00:00	18.818					
639	29/05/23	03:00:00	19.365					
640	29/05/23	04:00:00	19.032					
641	29/05/23	05:00:00	18.723					
642	29/05/23	06:00:00	19.103					
643	29/05/23	07:00:00	19.389					
644	29/05/23	08:00:00	19.318					
645	29/05/23	09:00:00	19.341					
646	29/05/23	10:00:00	18.461					
647	29/05/23	11:00:00	19.413					
648	29/05/23	12:00:00	20.722					
649	29/05/23	13:00:00	19.555					
650	29/05/23	14:00:00	20.365					
651	29/05/23	15:00:00	20.770					
652	29/05/23	16:00:00	21.032					
653	29/05/23	17:00:00	20.293					
654	29/05/23	18:00:00	20.913					
655	29/05/23	19:00:00	19.888					
656	29/05/23	20:00:00	20.126					
657	29/05/23	21:00:00	20.055					
658	29/05/23	22:00:00	19.984					
659	29/05/23	23:00:00	19.912					
660	30/05/23	00:00:00	20.031					
661	30/05/23	01:00:00	20.007					
662	30/05/23	02:00:00	19.912					
663	30/05/23	03:00:00	19.888					
664	30/05/23	04:00:00	19.841					
665	30/05/23	05:00:00	19.888					
666	30/05/23	06:00:00	19.841					
667	30/05/23	07:00:00	19.984					
668	30/05/23	08:00:00	20.484					
669	30/05/23	09:00:00	20.507					
670	30/05/23	10:00:00	20.603					
671	30/05/23	11:00:00	20.889					
672	30/05/23	12:00:00	20.079					
673	30/05/23	13:00:00	19.389					
674	30/05/23	14:00:00	20.817					
675	30/05/23	15:00:00	21.223					
676	30/05/23	16:00:00	20.913					
677	30/05/23	17:00:00	20.603					
678	30/05/23	18:00:00	21.008					
679	30/05/23	19:00:00	20.865					
680	30/05/23	20:00:00	20.674					
681	30/05/23	21:00:00	19.080					
682	30/05/23	22:00:00	19.413					
683	30/05/23	23:00:00	21.246					
684	31/05/23	00:00:00	21.652					
