"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235962, SEN S/N: 20235962, LBL: 15m)"	"Acoplador separado (LGR S/N: 20235962, SEN S/N: 20235962)"	"Acoplador adjunto (LGR S/N: 20235962, SEN S/N: 20235962)"	"Host conectado (LGR S/N: 20235962, SEN S/N: 20235962)"	"Parado (LGR S/N: 20235962, SEN S/N: 20235962)"	"Final de archivo (LGR S/N: 20235962, SEN S/N: 20235962)"
1	19/04/23	11:00:00	21.581	Registrado				
2	19/04/23	12:00:00	15.079					
3	19/04/23	13:00:00	14.721					
4	19/04/23	14:00:00	14.792					
5	19/04/23	15:00:00	14.816					
6	19/04/23	16:00:00	14.864					
7	19/04/23	17:00:00	14.888					
8	19/04/23	18:00:00	14.912					
9	19/04/23	19:00:00	14.864					
10	19/04/23	20:00:00	14.864					
11	19/04/23	21:00:00	14.864					
12	19/04/23	22:00:00	14.792					
13	19/04/23	23:00:00	14.912					
14	20/04/23	00:00:00	14.864					
15	20/04/23	01:00:00	14.840					
16	20/04/23	02:00:00	14.816					
17	20/04/23	03:00:00	14.816					
18	20/04/23	04:00:00	14.792					
19	20/04/23	05:00:00	14.816					
20	20/04/23	06:00:00	14.816					
21	20/04/23	07:00:00	14.840					
22	20/04/23	08:00:00	14.888					
23	20/04/23	09:00:00	15.008					
24	20/04/23	10:00:00	15.079					
25	20/04/23	11:00:00	15.079					
26	20/04/23	12:00:00	15.008					
27	20/04/23	13:00:00	15.008					
28	20/04/23	14:00:00	14.936					
29	20/04/23	15:00:00	15.008					
30	20/04/23	16:00:00	14.984					
31	20/04/23	17:00:00	14.936					
32	20/04/23	18:00:00	15.008					
33	20/04/23	19:00:00	15.031					
34	20/04/23	20:00:00	14.960					
35	20/04/23	21:00:00	14.912					
36	20/04/23	22:00:00	14.912					
37	20/04/23	23:00:00	14.840					
38	21/04/23	00:00:00	14.864					
39	21/04/23	01:00:00	15.008					
40	21/04/23	02:00:00	14.984					
41	21/04/23	03:00:00	14.984					
42	21/04/23	04:00:00	15.055					
43	21/04/23	05:00:00	15.079					
44	21/04/23	06:00:00	15.079					
45	21/04/23	07:00:00	15.079					
46	21/04/23	08:00:00	15.127					
47	21/04/23	09:00:00	15.031					
48	21/04/23	10:00:00	15.103					
49	21/04/23	11:00:00	14.840					
50	21/04/23	12:00:00	14.864					
51	21/04/23	13:00:00	15.055					
52	21/04/23	14:00:00	15.175					
53	21/04/23	15:00:00	15.008					
54	21/04/23	16:00:00	15.031					
55	21/04/23	17:00:00	15.079					
56	21/04/23	18:00:00	15.055					
57	21/04/23	19:00:00	14.960					
58	21/04/23	20:00:00	14.673					
59	21/04/23	21:00:00	14.840					
60	21/04/23	22:00:00	14.768					
61	21/04/23	23:00:00	14.816					
62	22/04/23	00:00:00	14.721					
63	22/04/23	01:00:00	14.745					
64	22/04/23	02:00:00	14.912					
65	22/04/23	03:00:00	14.936					
66	22/04/23	04:00:00	14.840					
67	22/04/23	05:00:00	14.721					
68	22/04/23	06:00:00	14.745					
69	22/04/23	07:00:00	14.721					
70	22/04/23	08:00:00	14.745					
71	22/04/23	09:00:00	14.960					
72	22/04/23	10:00:00	15.103					
73	22/04/23	11:00:00	15.199					
74	22/04/23	12:00:00	15.175					
75	22/04/23	13:00:00	15.151					
76	22/04/23	14:00:00	15.055					
77	22/04/23	15:00:00	14.912					
78	22/04/23	16:00:00	15.055					
79	22/04/23	17:00:00	15.247					
80	22/04/23	18:00:00	15.055					
81	22/04/23	19:00:00	14.984					
82	22/04/23	20:00:00	14.960					
83	22/04/23	21:00:00	15.175					
84	22/04/23	22:00:00	15.318					
85	22/04/23	23:00:00	15.103					
86	23/04/23	00:00:00	15.079					
87	23/04/23	01:00:00	15.127					
88	23/04/23	02:00:00	15.103					
89	23/04/23	03:00:00	15.008					
90	23/04/23	04:00:00	14.984					
91	23/04/23	05:00:00	14.888					
92	23/04/23	06:00:00	14.888					
93	23/04/23	07:00:00	15.079					
94	23/04/23	08:00:00	15.223					
95	23/04/23	09:00:00	15.247					
96	23/04/23	10:00:00	15.175					
97	23/04/23	11:00:00	15.079					
98	23/04/23	12:00:00	15.055					
99	23/04/23	13:00:00	15.127					
100	23/04/23	14:00:00	15.079					
101	23/04/23	15:00:00	15.199					
102	23/04/23	16:00:00	15.079					
103	23/04/23	17:00:00	15.055					
104	23/04/23	18:00:00	15.079					
105	23/04/23	19:00:00	15.175					
106	23/04/23	20:00:00	15.103					
107	23/04/23	21:00:00	15.055					
108	23/04/23	22:00:00	15.390					
109	23/04/23	23:00:00	15.700					
110	24/04/23	00:00:00	15.461					
111	24/04/23	01:00:00	15.557					
112	24/04/23	02:00:00	15.509					
113	24/04/23	03:00:00	15.414					
114	24/04/23	04:00:00	15.438					
115	24/04/23	05:00:00	15.485					
116	24/04/23	06:00:00	15.557					
117	24/04/23	07:00:00	15.581					
118	24/04/23	08:00:00	15.652					
119	24/04/23	09:00:00	15.676					
120	24/04/23	10:00:00	15.748					
121	24/04/23	11:00:00	15.724					
122	24/04/23	12:00:00	15.676					
123	24/04/23	13:00:00	15.652					
124	24/04/23	14:00:00	15.652					
125	24/04/23	15:00:00	15.652					
126	24/04/23	16:00:00	15.676					
127	24/04/23	17:00:00	15.676					
128	24/04/23	18:00:00	15.629					
129	24/04/23	19:00:00	15.652					
130	24/04/23	20:00:00	15.629					
131	24/04/23	21:00:00	15.652					
132	24/04/23	22:00:00	15.676					
133	24/04/23	23:00:00	15.724					
134	25/04/23	00:00:00	15.724					
135	25/04/23	01:00:00	15.724					
136	25/04/23	02:00:00	15.700					
137	25/04/23	03:00:00	15.652					
138	25/04/23	04:00:00	15.676					
139	25/04/23	05:00:00	15.652					
140	25/04/23	06:00:00	15.676					
141	25/04/23	07:00:00	15.652					
142	25/04/23	08:00:00	15.652					
143	25/04/23	09:00:00	15.652					
144	25/04/23	10:00:00	15.676					
145	25/04/23	11:00:00	15.676					
146	25/04/23	12:00:00	15.652					
147	25/04/23	13:00:00	15.676					
148	25/04/23	14:00:00	15.700					
149	25/04/23	15:00:00	15.748					
150	25/04/23	16:00:00	15.748					
151	25/04/23	17:00:00	15.724					
