"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21152199, SEN S/N: 21152199, LBL: 20m)"	"Acoplador separado (LGR S/N: 21152199, SEN S/N: 21152199)"	"Acoplador adjunto (LGR S/N: 21152199, SEN S/N: 21152199)"	"Host conectado (LGR S/N: 21152199, SEN S/N: 21152199)"	"Parado (LGR S/N: 21152199, SEN S/N: 21152199)"	"Final de archivo (LGR S/N: 21152199, SEN S/N: 21152199)"
1	15/05/23	13:00:00	22.561	Registrado				
2	15/05/23	14:00:00	20.603					
3	15/05/23	15:00:00	18.033					
4	15/05/23	16:00:00	17.772					
5	15/05/23	17:00:00	17.772					
6	15/05/23	18:00:00	17.772					
7	15/05/23	19:00:00	17.701					
8	15/05/23	20:00:00	17.605					
9	15/05/23	21:00:00	17.724					
10	15/05/23	22:00:00	18.105					
11	15/05/23	23:00:00	18.057					
12	16/05/23	00:00:00	17.796					
13	16/05/23	01:00:00	17.772					
14	16/05/23	02:00:00	17.724					
15	16/05/23	03:00:00	17.772					
16	16/05/23	04:00:00	17.796					
17	16/05/23	05:00:00	17.653					
18	16/05/23	06:00:00	17.629					
19	16/05/23	07:00:00	17.582					
20	16/05/23	08:00:00	17.368					
21	16/05/23	09:00:00	17.653					
22	16/05/23	10:00:00	17.605					
23	16/05/23	11:00:00	17.629					
24	16/05/23	12:00:00	17.605					
25	16/05/23	13:00:00	17.534					
26	16/05/23	14:00:00	17.510					
27	16/05/23	15:00:00	17.463					
28	16/05/23	16:00:00	17.439					
29	16/05/23	17:00:00	17.439					
30	16/05/23	18:00:00	17.415					
31	16/05/23	19:00:00	17.320					
32	16/05/23	20:00:00	17.391					
33	16/05/23	21:00:00	17.368					
34	16/05/23	22:00:00	17.391					
35	16/05/23	23:00:00	17.391					
36	17/05/23	00:00:00	17.439					
37	17/05/23	01:00:00	17.249					
38	17/05/23	02:00:00	17.106					
39	17/05/23	03:00:00	17.082					
40	17/05/23	04:00:00	17.296					
41	17/05/23	05:00:00	17.344					
42	17/05/23	06:00:00	17.368					
43	17/05/23	07:00:00	17.368					
44	17/05/23	08:00:00	17.368					
45	17/05/23	09:00:00	17.415					
46	17/05/23	10:00:00	17.415					
47	17/05/23	11:00:00	17.415					
48	17/05/23	12:00:00	17.463					
49	17/05/23	13:00:00	17.486					
50	17/05/23	14:00:00	17.510					
51	17/05/23	15:00:00	17.463					
52	17/05/23	16:00:00	17.034					
53	17/05/23	17:00:00	17.415					
54	17/05/23	18:00:00	17.153					
55	17/05/23	19:00:00	16.630					
56	17/05/23	20:00:00	17.320					
57	17/05/23	21:00:00	17.320					
58	17/05/23	22:00:00	16.058					
59	17/05/23	23:00:00	17.034					
60	18/05/23	00:00:00	17.296					
61	18/05/23	01:00:00	17.296					
62	18/05/23	02:00:00	17.296					
63	18/05/23	03:00:00	16.892					
64	18/05/23	04:00:00	16.725					
65	18/05/23	05:00:00	15.939					
66	18/05/23	06:00:00	15.748					
67	18/05/23	07:00:00	16.606					
68	18/05/23	08:00:00	16.749					
69	18/05/23	09:00:00	16.963					
70	18/05/23	10:00:00	15.772					
71	18/05/23	11:00:00	16.058					
72	18/05/23	12:00:00	16.511					
73	18/05/23	13:00:00	16.773					
74	18/05/23	14:00:00	16.320					
75	18/05/23	15:00:00	15.986					
76	18/05/23	16:00:00	15.963					
77	18/05/23	17:00:00	16.106					
78	18/05/23	18:00:00	15.819					
79	18/05/23	19:00:00	15.748					
80	18/05/23	20:00:00	16.725					
81	18/05/23	21:00:00	16.487					
82	18/05/23	22:00:00	15.724					
83	18/05/23	23:00:00	15.700					
84	19/05/23	00:00:00	16.487					
85	19/05/23	01:00:00	16.820					
86	19/05/23	02:00:00	16.844					
87	19/05/23	03:00:00	16.630					
88	19/05/23	04:00:00	16.630					
89	19/05/23	05:00:00	16.034					
90	19/05/23	06:00:00	15.724					
91	19/05/23	07:00:00	16.034					
92	19/05/23	08:00:00	16.129					
93	19/05/23	09:00:00	15.819					
94	19/05/23	10:00:00	16.106					
95	19/05/23	11:00:00	16.201					
96	19/05/23	12:00:00	15.963					
97	19/05/23	13:00:00	16.368					
98	19/05/23	14:00:00	16.082					
99	19/05/23	15:00:00	15.963					
100	19/05/23	16:00:00	15.867					
101	19/05/23	17:00:00	15.772					
102	19/05/23	18:00:00	15.724					
103	19/05/23	19:00:00	16.106					
104	19/05/23	20:00:00	16.344					
105	19/05/23	21:00:00	16.844					
106	19/05/23	22:00:00	15.843					
107	19/05/23	23:00:00	15.772					
108	20/05/23	00:00:00	15.963					
109	20/05/23	01:00:00	15.390					
